film_id,categoria_id,nome_categoria
159,5,Comedy
833,3,Children
572,14,Sci-Fi
780,8,Family
715,8,Family
346,4,Classics
484,4,Classics
79,7,Drama
636,12,Music
27,15,Sports
233,16,Travel
149,3,Children
323,15,Sports
246,9,Foreign
854,11,Horror
279,15,Sports
760,13,New
110,3,Children
563,10,Games
380,9,Foreign
420,15,Sports
987,12,Music
922,11,Horror
108,13,New
151,14,Sci-Fi
55,14,Sci-Fi
934,10,Games
507,10,Games
741,12,Music
706,7,Drama
979,7,Drama
35,11,Horror
338,14,Sci-Fi
78,2,Animation
951,4,Classics
268,2,Animation
468,3,Children
218,7,Drama
324,5,Comedy
46,10,Games
415,11,Horror
770,9,Foreign
872,16,Travel
452,9,Foreign
813,15,Sports
942,7,Drama
471,4,Classics
353,9,Foreign
410,5,Comedy
288,16,Travel
588,3,Children
762,10,Games
559,14,Sci-Fi
301,11,Horror
158,12,Music
387,10,Games
705,9,Foreign
938,5,Comedy
154,2,Animation
764,15,Sports
400,6,Documentary
536,4,Classics
7,5,Comedy
827,7,Drama
103,16,Travel
649,2,Animation
457,6,Documentary
450,3,Children
369,14,Sci-Fi
342,16,Travel
782,15,Sports
716,11,Horror
157,3,Children
266,4,Classics
908,9,Foreign
438,10,Games
11,9,Foreign
496,16,Travel
874,4,Classics
510,2,Animation
442,8,Family
584,9,Foreign
719,15,Sports
429,15,Sports
511,1,Action
626,3,Children
416,9,Foreign
831,14,Sci-Fi
569,2,Animation
247,5,Comedy
661,9,Foreign
709,7,Drama
73,14,Sci-Fi
41,16,Travel
447,10,Games
878,16,Travel
227,10,Games
177,14,Sci-Fi
224,16,Travel
795,8,Family
687,6,Documentary
954,13,New
669,9,Foreign
345,8,Family
412,6,Documentary
444,5,Comedy
109,13,New
856,11,Horror
121,2,Animation
56,1,Action
682,8,Family
860,14,Sci-Fi
341,4,Classics
914,16,Travel
190,4,Classics
904,11,Horror
858,5,Comedy
394,14,Sci-Fi
337,9,Foreign
77,13,New
641,9,Foreign
391,8,Family
946,8,Family
193,2,Animation
847,13,New
656,16,Travel
701,10,Games
488,15,Sports
829,8,Family
766,7,Drama
645,16,Travel
291,15,Sports
845,9,Foreign
120,15,Sports
262,8,Family
140,14,Sci-Fi
122,11,Horror
169,16,Travel
47,9,Foreign
74,12,Music
783,16,Travel
13,11,Horror
126,1,Action
788,6,Documentary
498,8,Family
44,14,Sci-Fi
381,10,Games
699,10,Games
890,15,Sports
881,11,Horror
250,1,Action
19,1,Action
127,5,Comedy
28,5,Comedy
90,13,New
506,11,Horror
256,15,Sports
755,3,Children
164,6,Documentary
179,7,Drama
272,7,Drama
59,3,Children
898,15,Sports
271,1,Action
888,6,Documentary
610,8,Family
737,11,Horror
837,5,Comedy
743,2,Animation
866,8,Family
312,14,Sci-Fi
958,7,Drama
859,2,Animation
211,10,Games
221,6,Documentary
941,10,Games
10,15,Sports
597,10,Games
494,11,Horror
207,9,Foreign
217,10,Games
277,11,Horror
304,3,Children
5,8,Family
798,14,Sci-Fi
534,8,Family
528,8,Family
195,14,Sci-Fi
901,2,Animation
435,9,Foreign
317,5,Comedy
350,14,Sci-Fi
219,6,Documentary
573,3,Children
128,9,Foreign
363,12,Music
148,9,Foreign
175,8,Family
183,8,Family
251,13,New
742,10,Games
639,8,Family
756,5,Comedy
948,13,New
385,5,Comedy
601,16,Travel
328,3,Children
807,10,Games
711,14,Sci-Fi
539,7,Drama
680,5,Comedy
143,7,Drama
708,6,Documentary
740,11,Horror
445,4,Classics
607,9,Foreign
259,2,Animation
598,15,Sports
634,8,Family
192,9,Foreign
404,5,Comedy
981,16,Travel
873,3,Children
270,13,New
116,4,Classics
144,13,New
419,8,Family
405,16,Travel
94,8,Family
378,12,Music
913,13,New
918,3,Children
808,4,Classics
189,10,Games
547,3,Children
252,1,Action
843,4,Classics
620,14,Sci-Fi
398,12,Music
785,16,Travel
100,9,Foreign
284,12,Music
644,2,Animation
269,8,Family
990,11,Horror
314,2,Animation
240,14,Sci-Fi
657,5,Comedy
674,9,Foreign
171,11,Horror
848,16,Travel
787,16,Travel
142,6,Documentary
472,16,Travel
483,10,Games
283,13,New
822,8,Family
197,15,Sports
685,13,New
793,1,Action
911,1,Action
628,15,Sports
188,5,Comedy
104,9,Foreign
461,2,Animation
619,15,Sports
751,13,New
145,8,Family
947,9,Foreign
994,13,New
880,2,Animation
727,8,Family
4,11,Horror
