length,release_year,title,replacement_cost,description,language,film_id,original_language_id,rating,rental_rate,rental_duration
86,2006,ACADEMY DINOSAUR,20.99,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,English,1,,PG,0.99,6
48,2006,ACE GOLDFINGER,12.99,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,English,2,,G,4.99,3
50,2006,ADAPTATION HOLES,18.99,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,English,3,,NC-17,2.99,7
117,2006,AFFAIR PREJUDICE,26.99,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,English,4,,G,2.99,5
130,2006,AFRICAN EGG,22.99,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,English,5,,G,2.99,6
169,2006,AGENT TRUMAN,17.99,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,English,6,,PG,2.99,3
62,2006,AIRPLANE SIERRA,28.99,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,English,7,,PG-13,4.99,6
54,2006,AIRPORT POLLOCK,15.99,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,English,8,,R,4.99,6
114,2006,ALABAMA DEVIL,21.99,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,English,9,,PG-13,2.99,3
63,2006,ALADDIN CALENDAR,24.99,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,English,10,,NC-17,4.99,6
126,2006,ALAMO VIDEOTAPE,16.99,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,English,11,,G,0.99,6
136,2006,ALASKA PHANTOM,22.99,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,English,12,,PG,0.99,6
150,2006,ALI FOREVER,21.99,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,English,13,,PG,4.99,4
94,2006,ALICE FANTASIA,23.99,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,English,14,,NC-17,0.99,6
46,2006,ALIEN CENTER,10.99,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,English,15,,NC-17,2.99,5
180,2006,ALLEY EVOLUTION,23.99,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,English,16,,NC-17,2.99,6
82,2006,ALONE TRIP,14.99,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,English,17,,R,0.99,3
57,2006,ALTER VICTORY,27.99,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,English,18,,PG-13,0.99,6
113,2006,AMADEUS HOLY,20.99,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,English,19,,PG,0.99,6
79,2006,AMELIE HELLFIGHTERS,23.99,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,English,20,,R,4.99,4
129,2006,AMERICAN CIRCUS,17.99,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,English,21,,R,4.99,3
85,2006,AMISTAD MIDSUMMER,10.99,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,English,22,,G,2.99,6
92,2006,ANACONDA CONFESSIONS,9.99,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,English,23,,R,0.99,3
181,2006,ANALYZE HOOSIERS,19.99,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,English,24,,R,2.99,6
74,2006,ANGELS LIFE,15.99,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,English,25,,G,2.99,3
86,2006,ANNIE IDENTITY,15.99,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,English,26,,G,0.99,3
179,2006,ANONYMOUS HUMAN,12.99,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,English,27,,NC-17,0.99,7
91,2006,ANTHEM LUKE,16.99,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,English,28,,PG-13,4.99,5
168,2006,ANTITRUST TOMATOES,11.99,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,English,29,,NC-17,2.99,5
82,2006,ANYTHING SAVANNAH,27.99,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,English,30,,R,2.99,4
92,2006,APACHE DIVINE,16.99,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,English,31,,NC-17,4.99,5
119,2006,APOCALYPSE FLAMINGOS,11.99,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,English,32,,R,4.99,6
153,2006,APOLLO TEEN,15.99,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,English,33,,PG-13,2.99,5
62,2006,ARABIA DOGMA,29.99,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,English,34,,NC-17,0.99,6
147,2006,ARACHNOPHOBIA ROLLERCOASTER,24.99,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,English,35,,PG-13,2.99,4
127,2006,ARGONAUTS TOWN,12.99,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,English,36,,PG-13,0.99,7
121,2006,ARIZONA BANG,28.99,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,English,37,,PG,2.99,3
68,2006,ARK RIDGEMONT,25.99,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,English,38,,NC-17,0.99,6
99,2006,ARMAGEDDON LOST,10.99,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,English,39,,G,0.99,5
148,2006,ARMY FLINTSTONES,22.99,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,English,40,,R,0.99,4
137,2006,ARSENIC INDEPENDENCE,17.99,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,English,41,,PG,0.99,4
170,2006,ARTIST COLDBLOODED,10.99,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,English,42,,NC-17,2.99,5
170,2006,ATLANTIS CAUSE,15.99,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,English,43,,G,2.99,6
113,2006,ATTACKS HATE,21.99,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,English,44,,PG-13,4.99,5
83,2006,ATTRACTION NEWTON,14.99,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,English,45,,PG-13,4.99,5
108,2006,AUTUMN CROW,13.99,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,English,46,,G,4.99,3
153,2006,BABY HALL,23.99,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,English,47,,NC-17,4.99,5
118,2006,BACKLASH UNDEFEATED,24.99,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,English,48,,PG-13,4.99,3
162,2006,BADMAN DAWN,22.99,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,English,49,,R,2.99,6
182,2006,BAKED CLEOPATRA,20.99,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,English,50,,G,2.99,3
75,2006,BALLOON HOMEWARD,10.99,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,English,51,,NC-17,2.99,5
173,2006,BALLROOM MOCKINGBIRD,29.99,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,English,52,,G,0.99,6
87,2006,BANG KWAI,25.99,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,English,53,,NC-17,2.99,5
113,2006,BANGER PINOCCHIO,15.99,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,English,54,,R,0.99,5
65,2006,BARBARELLA STREETCAR,27.99,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,English,55,,G,2.99,6
129,2006,BAREFOOT MANCHURIAN,15.99,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,English,56,,G,2.99,6
90,2006,BASIC EASY,18.99,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,English,57,,PG-13,2.99,4
122,2006,BEACH HEARTBREAKERS,16.99,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,English,58,,G,2.99,6
160,2006,BEAR GRACELAND,20.99,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,English,59,,R,2.99,4
89,2006,BEAST HUNCHBACK,22.99,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,English,60,,R,4.99,3
175,2006,BEAUTY GREASE,28.99,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,English,61,,G,4.99,5
106,2006,BED HIGHBALL,23.99,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,English,62,,NC-17,2.99,5
73,2006,BEDAZZLED MARRIED,21.99,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,English,63,,PG,0.99,6
151,2006,BEETHOVEN EXORCIST,26.99,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,English,64,,PG-13,0.99,6
100,2006,BEHAVIOR RUNAWAY,20.99,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,English,65,,PG,4.99,3
53,2006,BENEATH RUSH,27.99,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,English,66,,NC-17,0.99,6
77,2006,BERETS AGENT,24.99,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,English,67,,PG-13,2.99,5
122,2006,BETRAYED REAR,26.99,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,English,68,,NC-17,4.99,5
85,2006,BEVERLY OUTLAW,21.99,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,English,69,,R,2.99,3
142,2006,BIKINI BORROWERS,26.99,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,English,70,,NC-17,4.99,7
100,2006,BILKO ANONYMOUS,25.99,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,English,71,,PG-13,4.99,3
93,2006,BILL OTHERS,12.99,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,English,72,,PG,2.99,6
150,2006,BINGO TALENTED,22.99,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,English,73,,PG-13,2.99,5
162,2006,BIRCH ANTITRUST,18.99,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,English,74,,PG,4.99,4
163,2006,BIRD INDEPENDENCE,14.99,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,English,75,,G,4.99,6
103,2006,BIRDCAGE CASPER,23.99,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,English,76,,NC-17,0.99,4
61,2006,BIRDS PERDITION,15.99,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,English,77,,G,4.99,5
85,2006,BLACKOUT PRIVATE,12.99,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,English,78,,PG,2.99,7
114,2006,BLADE POLISH,10.99,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,English,79,,PG-13,0.99,5
148,2006,BLANKET BEVERLY,21.99,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,English,80,,G,2.99,7
103,2006,BLINDNESS GUN,29.99,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,English,81,,PG-13,4.99,6
