film_id,category_id
246,9
879,12
936,12
475,11
683,7
800,11
781,10
128,9
839,14
149,3
49,14
208,2
956,10
518,16
890,15
488,15
568,5
263,15
226,13
206,6
584,9
786,3
992,6
380,9
432,4
815,4
564,2
811,16
519,15
87,16
629,6
168,3
701,10
832,8
973,6
184,4
904,11
215,10
517,15
927,1
400,6
464,2
101,6
526,16
906,5
524,5
763,15
406,10
53,8
367,14
908,9
237,15
308,5
106,10
292,1
375,1
646,10
126,1
536,4
140,14
858,5
838,1
500,9
425,4
447,10
995,11
495,11
967,14
118,2
531,9
649,2
780,8
281,10
980,12
774,5
754,5
258,11
579,1
264,10
40,6
804,11
36,2
502,5
70,2
199,6
567,9
988,16
384,12
96,13
393,6
173,7
213,8
290,9
512,4
677,13
31,8
270,13
330,2
991,1
203,14
411,12
708,6
851,15
202,5
949,10
30,11
640,9
288,16
626,3
678,15
399,9
165,14
787,16
114,14
325,2
958,7
918,3
642,16
440,9
837,5
389,15
882,7
378,12
276,5
843,4
689,9
211,10
94,8
972,14
920,13
382,10
620,14
335,5
931,16
414,9
850,1
865,2
482,4
318,1
134,2
697,1
7,5
516,12
604,5
420,15
668,15
44,14
951,4
153,14
221,6
24,11
485,3
609,16
923,7
917,15
391,8
62,6
51,12
964,1
279,15
331,10
305,13
122,11
171,11
930,14
653,11
905,5
922,11
142,6
72,6
855,6
621,8
692,2
868,16
710,8
925,6
182,5
265,5
935,13
799,11
795,8
665,11
98,7
376,9
520,14
152,3
757,6
943,6
940,15
77,13
88,16
240,14
313,11
190,4
471,4
643,7
441,6
358,4
596,10
239,2
371,1
452,9
17,12
669,9
350,14
352,10
573,3
681,15
810,8
177,14
23,2
214,3
764,15
234,14
301,11
427,6
527,11
99,5
599,15
255,12
1,6
797,12
543,16
793,1
453,15
29,1
533,9
698,6
570,15
455,9
622,6
914,16
639,8
971,9
501,1
395,1
725,4
339,16
60,4
457,6
38,1
297,4
148,9
913,13
3,6
690,2
942,7
223,2
300,2
672,5
