nome,cognome,attore_id,film_id
GENE,HOPKINS,134,897
VIVIEN,BERGEN,14,415
KENNETH,HOFFMAN,169,849
CAMERON,STREEP,24,335
LAURENCE,BULLOCK,167,626
TOM,MIRANDA,42,648
MICHAEL,BENING,174,809
DARYL,CRAWFORD,129,367
NICK,WAHLBERG,2,105
ALBERT,NOLTE,125,557
SALMA,NOLTE,122,654
MEG,HAWKE,97,947
CUBA,BIRCH,189,940
SALMA,NOLTE,122,795
FAY,WOOD,156,775
WALTER,TORN,102,631
CHRISTIAN,AKROYD,58,135
SALMA,NOLTE,122,470
REESE,KILMER,45,219
MARY,KEITEL,198,1
VIVIEN,BASINGER,158,601
SPENCER,DEPP,100,967
JULIANNE,DENCH,123,43
VAL,BOLGER,37,694
ALBERT,JOHANSSON,146,571
KENNETH,PESCI,88,908
EWAN,GOODING,139,540
CAMERON,ZELLWEGER,111,643
SUSAN,DAVIS,110,650
CHRIS,DEPP,160,883
AUDREY,BAILEY,190,562
ZERO,CAGE,11,429
CHRISTOPHER,WEST,163,996
UMA,WOOD,13,966
DAN,HARRIS,56,226
RALPH,CRUZ,80,619
GROUCHO,WILLIAMS,172,57
AL,GARLAND,165,779
NICK,WAHLBERG,2,754
BETTE,NICHOLSON,6,892
IAN,TANDY,155,361
WOODY,JOLIE,82,480
CHRISTIAN,AKROYD,58,698
GROUCHO,DUNST,106,108
PARKER,GOLDBERG,46,538
GRACE,MOSTEL,7,959
JOE,SWANK,9,815
RIP,WINSLET,68,671
RAY,JOHANSSON,64,921
WOODY,JOLIE,82,750
NICK,WAHLBERG,2,481
MENA,TEMPLE,53,947
GRETA,MALDEN,157,431
UMA,WOOD,13,337
TIM,HACKMAN,32,309
OPRAH,KILMER,162,410
LIZA,BERGMAN,121,479
JAYNE,SILVERSTONE,195,738
FRED,COSTNER,16,267
REESE,KILMER,45,895
MICHAEL,BOLGER,185,631
WOODY,HOFFMAN,28,14
BEN,HARRIS,152,927
ALEC,WAYNE,29,172
JANE,JACKMAN,131,770
JODIE,DEGENERES,41,912
AUDREY,OLIVIER,34,182
LIZA,BERGMAN,121,222
KEVIN,BLOOM,25,86
DAN,TORN,18,842
SISSY,SOBIESKI,31,793
BEN,WILLIS,83,519
BURT,TEMPLE,193,412
MARY,KEITEL,198,264
MINNIE,ZELLWEGER,85,558
CHRISTOPHER,BERRY,91,859
JULIANNE,DENCH,123,151
JADA,RYDER,142,139
MICHELLE,MCCONAUGHEY,70,53
CUBA,OLIVIER,15,886
TIM,HACKMAN,32,523
KEVIN,BLOOM,25,213
JULIA,BARRYMORE,47,25
MERYL,GIBSON,154,111
SUSAN,DAVIS,110,912
JULIA,ZELLWEGER,186,579
GEOFFREY,HESTON,151,370
MICHAEL,BENING,174,677
ANGELA,HUDSON,65,735
RITA,REYNOLDS,135,814
CARY,MCCONAUGHEY,77,22
CUBA,ALLEN,118,938
CUBA,OLIVIER,15,414
LIZA,BERGMAN,121,885
JULIA,MCQUEEN,27,854
RENEE,BALL,187,561
JOHNNY,CAGE,40,744
NATALIE,HOPKINS,50,303
ELVIS,MARX,22,600
JULIA,FAWCETT,199,67
DARYL,WAHLBERG,95,690
JEFF,SILVERSTONE,180,811
JULIA,BARRYMORE,47,273
WILL,WILSON,168,32
LAURENCE,BULLOCK,167,734
KENNETH,PESCI,88,819
KEVIN,BLOOM,25,583
ELVIS,MARX,22,89
KIRK,JOVOVICH,43,42
ALBERT,NOLTE,125,324
KIM,ALLEN,145,692
BETTE,NICHOLSON,6,112
PENELOPE,MONROE,120,898
PARKER,GOLDBERG,46,254
NICK,STALLONE,44,58
RIP,CRAWFORD,26,340
CHRIS,BRIDGES,98,990
GROUCHO,SINATRA,78,301
DUSTIN,TAUTOU,59,46
MORGAN,MCDORMAND,114,538
PENELOPE,GUINESS,1,939
WOODY,JOLIE,82,838
CAMERON,ZELLWEGER,111,179
RALPH,CRUZ,80,888
MILLA,KEITEL,74,704
HENRY,BERRY,60,142
CHARLIZE,DENCH,89,529
ADAM,GRANT,71,385
ED,GUINESS,179,924
FAY,WOOD,156,262
HENRY,BERRY,60,177
FRANCES,DAY-LEWIS,48,922
JOHNNY,LOLLOBRIGIDA,5,369
CUBA,ALLEN,118,151
FAY,WINSLET,147,341
JEFF,SILVERSTONE,180,820
RICHARD,PENN,133,894
BURT,TEMPLE,193,689
JAYNE,NEESON,62,101
ELVIS,MARX,22,634
