stato,stato_id,città_id,città
Brazil,15,21,Alvorada
Holy See (Vatican City State),41,121,Città del Vaticano
Israel,48,34,Ashdod
Moldova,61,115,Chisinau
Spain,87,181,Gijón
United States,103,187,Greensboro
Japan,50,203,Higashiosaka
Switzerland,91,56,Basel
Russian Federation,80,270,Kirovo-Tšepetsk
India,44,263,Karnal
Australia,8,576,Woodridge
Venezuela,104,132,Cumaná
Germany,38,198,Halle/Saale
China,23,159,Enshi
United States,103,404,Peoria
Egypt,29,216,Idfu
United States,103,262,Kansas City
Colombia,24,405,Pereira
Philippines,75,82,Bislig
China,23,537,Tieli
China,23,468,Shanwei
India,44,8,Adoni
"Congo, The Democratic Republic of the",25,315,Lubumbashi
India,44,9,Ahmadnagar
Turkey,97,142,Denizli
Russian Federation,80,274,Kolpino
China,23,332,Meixian
Hungary,43,512,Székesfehérvár
Brazil,15,190,Águas Lindas de Goiás
China,23,502,Suihua
China,23,46,Baicheng
Pakistan,72,375,Okara
Brazil,15,83,Blumenau
Russian Federation,80,408,Pjatigorsk
India,44,478,Siliguri (Shiliguri)
Mexico,60,131,Cuernavaca
China,23,249,Junan
China,23,599,Zhoushan
France,34,544,Toulouse
South Africa,85,87,Botshabelo
Canada,20,430,Richmond Hill
Mexico,60,130,Cuautla
China,23,594,Zaoyang
United Arab Emirates,101,12,al-Ayn
Japan,50,386,Otsu
Japan,50,260,Kanazawa
Argentina,6,424,Quilmes
United Arab Emirates,101,470,Sharja
Philippines,75,391,Ozamis
India,44,18,Allappuzha (Alleppey)
Mexico,60,154,El Fuerte
South Africa,85,364,Newcastle
Czech Republic,26,378,Olomouc
Mexico,60,129,Cuauhtémoc
United States,103,573,Warren
United States,103,94,Brockton
Poland,76,409,Plock
China,23,592,Zalantun
China,23,362,Nanyang
Spain,87,146,Donostia-San Sebastián
Myanmar,64,349,Myingyan
India,44,78,Bijapur
Germany,38,439,Saarbrücken
Mexico,60,124,Coacalco de Berriozábal
India,44,231,Jaipur
Canada,20,179,Gatineau
Armenia,7,586,Yerevan
India,44,395,Palghat (Palakkad)
Brazil,15,183,Goiânia
Colombia,24,96,Buenaventura
China,23,241,Jining
French Guiana,35,105,Cayenne
Turkey,97,180,Gaziantep
India,44,77,Bhusawal
Iran,46,31,Arak
Nigeria,69,141,Deba Habe
United States,103,11,Akron
Nigeria,69,381,Ondo
South Africa,85,85,Boksburg
Taiwan,92,209,Hsichuh
China,23,291,Laiwu
Brazil,15,248,Juiz de Fora
China,23,293,Laohekou
China,23,193,Haining
South Africa,85,437,Rustenburg
China,23,591,Yuzhou
Oman,71,444,Salala
Morocco,62,68,Beni-Mellal
Japan,50,547,Tsuyama
Switzerland,91,72,Bern
India,44,107,Chandrapur
Mexico,60,451,San Felipe del Progreso
Vietnam,105,366,Nha Trang
Peru,74,503,Sullana
China,23,145,Dongying
Brazil,15,572,Vitória de Santo Antão
Cambodia,18,406,Phnom Penh
Israel,48,36,Ashqelon
India,44,75,Bhimavaram
Argentina,6,289,La Plata
Brazil,15,317,Luziânia
Mexico,60,445,Salamanca
Malaysia,59,223,Ipoh
Russian Federation,80,49,Balašiha
South Africa,85,497,Springs
Bangladesh,12,234,Jamalpur
Nigeria,69,488,Sokoto
Russian Federation,80,278,Korolev
United States,103,245,Joliet
Philippines,75,138,Davao
Germany,38,575,Witten
India,44,418,Purnea (Purnia)
Brazil,15,490,Sorocaba
Canada,20,313,London
Iran,46,162,Esfahan
Senegal,83,600,Ziguinchor
Japan,50,224,Isesaki
France,34,297,Le Mans
Taiwan,92,316,Lungtan
Brazil,15,431,Rio Claro
Ecuador,28,434,Ríobamba
Germany,38,325,Mannheim
Dominican Republic,27,460,Santiago de los Caballeros
Iran,46,467,Shahr-e Kord
India,44,261,Kanchrapara
Nigeria,69,390,Oyo
United Kingdom,102,88,Bradford
Turkey,97,384,Osmaniye
Germany,38,148,Duisburg
Poland,76,255,Kalisz
Russian Federation,80,150,Dzerzinsk
United States,103,155,El Monte
Philippines,75,62,Bayugan
Indonesia,45,301,Lhokseumawe
Nepal,66,81,Birgunj
Russian Federation,80,352,Nabereznyje Tšelny
Paraguay,73,37,Asunción
Japan,50,229,Izumisano
Bulgaria,17,498,Stara Zagora
Argentina,6,43,Avellaneda
Brazil,15,30,Araçatuba
United States,103,185,Grand Prairie
United States,103,499,Sterling Heights
Iraq,47,344,Mosul
Indonesia,45,412,Pontianak
Philippines,75,523,Tanauan
Ukraine,100,258,Kamjanets-Podilskyi
Mexico,60,452,San Juan Bautista Tuxtepec
Malaysia,59,507,Sungai Petani
Kazakstan,51,402,Pavlodar
Argentina,6,457,Santa Fé
Turkey,97,482,Sivas
Venezuela,104,561,Valencia
India,44,176,Gandhinagar
Nigeria,69,596,Zaria
China,23,299,Leshan
Yemen,107,455,Sanaa
Brazil,15,189,Guarujá
Spain,87,459,Santiago de Compostela
South Korea,86,268,Kimchon
India,44,164,Etawah
Russian Federation,80,235,Jaroslavl
Greece,39,38,Athenai
Russian Federation,80,369,Novotšerkassk
India,44,399,Pathankot
Austria,9,307,Linz
Mexico,60,4,Acuña
Japan,50,226,Iwaki
India,44,51,Balurghat
China,23,535,Tianjin
Indonesia,45,118,Ciomas
Yemen,107,206,Hodeida
Nauru,65,583,Yangor
Argentina,6,334,Merlo
Netherlands,67,23,Amersfoort
Mexico,60,213,Huixquilucan
Nigeria,69,220,Ilorin
Oman,71,329,Masqat
Brazil,15,461,Santo André
Bolivia,14,501,Sucre
Nigeria,69,389,Owo
Russian Federation,80,259,Kamyšin
South Africa,85,491,Soshanguve
Russian Federation,80,310,Ljubertsy
India,44,264,Katihar
India,44,398,Parbhani
Mexico,60,188,Guadalajara
Turkey,97,266,Kilis
Algeria,2,483,Skikda
Ukraine,100,275,Konotop
United States,103,306,Lincoln
Lithuania,56,570,Vilnius
Indonesia,45,119,Ciparay
China,23,175,Fuzhou
Japan,50,463,Sasebo
India,44,336,Miraj
Turkey,97,222,Inegöl
Tuvalu,99,173,Funafuti
Italy,49,93,Brindisi
South Africa,85,273,Klerksdorp
China,23,298,Lengshuijiang
Italy,49,91,Brescia
Brazil,15,486,São Leopoldo
India,44,73,Bhavnagar
Venezuela,104,102,Caracas
