personale_id,noleggio_id,cliente_id,ammontare,data_pagamento,pagamento_id
1,1901,292,3.99,2005-06-17 04:35:19,7896
1,9129,125,9.99,2005-07-30 09:51:21,3370
1,2456,147,6.99,2005-06-18 19:36:50,3981
2,1908,358,0.99,2005-06-17 05:10:36,9665
2,5838,202,2.99,2005-07-10 17:04:56,5478
2,11760,545,2.99,2005-08-17 09:44:22,14652
2,6419,311,4.99,2005-07-11 23:36:38,8442
1,15955,349,5.99,2005-08-23 19:19:06,9461
1,10949,389,2.99,2005-08-02 03:24:04,10545
1,6257,492,2.99,2005-07-11 15:23:46,13270
2,4289,231,0.99,2005-07-07 15:45:58,6225
2,11418,91,0.99,2005-08-02 19:45:33,2493
1,14381,391,0.99,2005-08-21 09:55:47,10617
1,5992,54,2.99,2005-07-11 01:06:21,1494
1,11505,34,2.99,2005-08-16 23:18:47,943
1,11110,4,2.99,2005-08-02 08:20:31,98
1,297,48,2.99,2005-05-26 20:48:48,1313
2,8002,449,2.99,2005-07-28 15:11:00,12126
1,9010,152,5.99,2005-07-30 05:12:04,4144
1,14619,338,2.99,2005-08-21 18:10:03,9151
2,8521,402,7.99,2005-07-29 10:12:45,10869
1,9453,221,7.99,2005-07-30 22:20:04,5991
2,3477,476,7.99,2005-07-05 23:05:17,12869
2,13361,107,4.99,2005-08-19 21:07:22,2897
2,7993,353,3.99,2005-07-28 14:56:41,9540
1,9545,594,7.99,2005-07-31 01:46:24,15920
1,12081,597,4.99,2005-08-17 22:10:46,16002
2,544,311,6.99,2005-05-28 07:03:00,8433
2,12342,63,2.99,2005-08-18 07:12:46,1726
1,6716,367,0.99,2005-07-12 13:34:58,9926
2,12995,566,4.99,2005-08-19 07:26:30,15185
2,5010,574,4.99,2005-07-09 01:33:23,15376
2,12644,300,5.99,2005-08-18 18:22:27,8157
1,4846,556,0.99,2005-07-08 18:29:05,14900
1,2280,548,2.99,2005-06-18 06:46:54,14713
1,51,256,4.99,2005-05-25 06:49:10,6889
2,14725,403,4.99,2005-08-21 22:02:08,10909
1,10581,217,5.99,2005-08-01 13:52:30,5895
1,9766,570,4.99,2005-07-31 09:46:29,15281
2,3723,501,6.99,2005-07-06 11:12:02,13495
1,13592,470,4.99,2005-08-20 05:50:35,12720
2,10844,333,4.99,2005-08-01 23:46:58,9005
1,9239,580,3.99,2005-07-30 13:50:52,15547
2,7708,363,4.99,2005-07-28 04:19:15,9820
2,11273,541,0.99,2005-08-02 14:20:55,14565
2,3451,558,10.99,2005-06-21 21:10:39,14939
2,3223,299,2.99,2005-06-21 02:06:45,8113
2,5267,233,5.99,2005-07-09 14:21:10,6277
1,2330,390,7.99,2005-06-18 10:41:19,10560
1,12098,545,4.99,2005-08-17 22:38:31,14653
1,7628,516,4.99,2005-07-28 00:58:04,13899
2,3404,424,0.99,2005-06-21 15:57:52,11453
2,11949,198,2.99,2005-08-17 17:12:26,5382
1,14772,411,5.99,2005-08-21 23:50:39,11145
1,8960,525,4.99,2005-07-30 03:36:31,14127
2,7444,531,2.99,2005-07-27 17:49:16,14293
1,13933,159,0.99,2005-08-20 17:17:07,4342
1,7268,260,1.99,2005-07-27 11:23:09,7027
1,1984,380,2.99,2005-06-17 10:25:28,10273
1,6222,386,2.99,2005-07-11 13:25:49,10455
1,14169,396,4.99,2005-08-21 03:00:31,10735
1,2888,7,4.99,2005-06-20 01:50:56,182
2,7352,429,4.99,2005-07-27 14:38:29,11590
2,5812,581,2.99,2005-07-10 15:27:56,15575
2,3269,17,5.99,2005-06-21 05:06:30,452
1,9261,380,6.99,2005-07-30 14:39:35,10292
1,8494,92,4.99,2005-07-29 09:04:32,2521
