stato,stato_id
Russian Federation,80
Tunisia,96
Madagascar,57
French Guiana,35
Moldova,61
Spain,87
Vietnam,105
Kenya,52
Tonga,95
Greenland,40
Slovakia,84
Sudan,89
Romania,78
Estonia,30
Saudi Arabia,82
Finland,33
Iran,46
Holy See (Vatican City State),41
Iraq,47
Paraguay,73
Ecuador,28
Oman,71
Indonesia,45
Brazil,15
Mexico,60
Zambia,109
Hungary,43
Senegal,83
Australia,8
Japan,50
American Samoa,3
Switzerland,91
Germany,38
Yugoslavia,108
"Virgin Islands, U.S.",106
Malaysia,59
Colombia,24
Kuwait,53
Pakistan,72
Nigeria,69
Nepal,66
Azerbaijan,10
Chile,22
Faroe Islands,32
Israel,48
Greece,39
Saint Vincent and the Grenadines,81
Turkmenistan,98
Bolivia,14
Canada,20
Austria,9
Tuvalu,99
Yemen,107
Liechtenstein,55
Malawi,58
France,34
Italy,49
Latvia,54
Angola,4
Bangladesh,12
Sweden,90
Egypt,29
Bahrain,11
Hong Kong,42
South Korea,86
Bulgaria,17
South Africa,85
Argentina,6
India,44
"Congo, The Democratic Republic of the",25
United Arab Emirates,101
Nauru,65
Anguilla,5
Morocco,62
Brunei,16
New Zealand,68
Philippines,75
Sri Lanka,88
Algeria,2
Afghanistan,1
China,23
Gambia,37
Chad,21
Poland,76
French Polynesia,36
Thailand,94
Dominican Republic,27
Cameroon,19
Peru,74
North Korea,70
Réunion,79
Puerto Rico,77
Myanmar,64
Lithuania,56
Cambodia,18
Turkey,97
Czech Republic,26
Netherlands,67
Tanzania,93
Ethiopia,31
United Kingdom,102
Mozambique,63
United States,103
Taiwan,92
Kazakstan,51
Venezuela,104
Ukraine,100
Belarus,13
Armenia,7
