rating,release_year,language,original_language_id,replacement_cost,length,rental_rate,rental_duration,film_id,description,title
PG,2006,English,,20.99,86,0.99,6,1,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,ACADEMY DINOSAUR
G,2006,English,,12.99,48,4.99,3,2,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,ACE GOLDFINGER
NC-17,2006,English,,18.99,50,2.99,7,3,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,ADAPTATION HOLES
G,2006,English,,26.99,117,2.99,5,4,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,AFFAIR PREJUDICE
G,2006,English,,22.99,130,2.99,6,5,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,AFRICAN EGG
PG,2006,English,,17.99,169,2.99,3,6,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,AGENT TRUMAN
PG-13,2006,English,,28.99,62,4.99,6,7,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,AIRPLANE SIERRA
R,2006,English,,15.99,54,4.99,6,8,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,AIRPORT POLLOCK
PG-13,2006,English,,21.99,114,2.99,3,9,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,ALABAMA DEVIL
NC-17,2006,English,,24.99,63,4.99,6,10,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,ALADDIN CALENDAR
G,2006,English,,16.99,126,0.99,6,11,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,ALAMO VIDEOTAPE
PG,2006,English,,22.99,136,0.99,6,12,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,ALASKA PHANTOM
PG,2006,English,,21.99,150,4.99,4,13,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,ALI FOREVER
