film_id,negozio_id,inventario_id
18,1,88
317,1,1445
737,1,3355
936,2,4298
443,1,2032
606,2,2762
738,2,3366
86,2,391
486,1,2249
991,1,4538
208,1,939
578,1,2633
218,1,974
859,2,3943
870,1,3992
622,2,2836
48,2,215
591,2,2693
888,1,4075
308,2,1408
856,1,3921
271,2,1224
657,1,2995
186,1,848
846,2,3870
654,1,2982
190,2,863
1,2,8
919,1,4229
304,1,1387
931,2,4279
509,2,2341
284,1,1283
509,2,2340
350,2,1603
934,2,4289
503,1,2317
477,2,2206
210,2,945
915,2,4211
175,2,805
460,1,2122
645,2,2939
957,1,4379
595,2,2711
107,2,483
755,1,3444
779,2,3566
353,1,1615
72,2,324
461,2,2133
795,1,3640
315,2,1442
231,1,1031
522,2,2393
509,2,2342
458,2,2116
142,1,656
973,1,4453
650,1,2964
474,2,2192
301,1,1366
19,2,98
844,2,3857
731,2,3325
52,2,233
630,2,2874
11,1,56
812,2,3715
307,2,1403
322,1,1473
738,1,3361
561,1,2562
924,2,4253
96,1,433
324,2,1483
266,2,1197
897,2,4129
124,2,573
459,2,2118
306,1,1398
45,2,206
476,2,2202
916,1,4213
839,2,3832
595,2,2714
735,1,3344
893,1,4101
526,2,2412
570,2,2597
211,1,949
626,2,2860
338,2,1545
833,2,3806
922,1,4240
577,1,2631
213,1,958
869,2,3988
478,2,2212
534,2,2448
322,2,1474
906,2,4168
775,2,3547
361,2,1655
46,2,209
426,2,1955
427,1,1958
464,1,2146
851,2,3899
638,2,2906
838,1,3826
683,2,3113
816,1,3730
142,2,658
341,2,1556
473,2,2191
398,2,1835
139,1,640
13,2,68
358,2,1646
827,2,3777
293,1,1325
840,1,3833
285,1,1290
605,2,2758
58,2,260
776,1,3549
757,2,3455
115,1,520
187,2,851
797,2,3651
650,2,2966
567,2,2586
123,1,567
596,2,2717
518,2,2378
820,1,3750
995,1,4560
58,2,261
945,2,4337
377,1,1730
587,1,2676
433,1,1984
354,1,1621
620,1,2823
702,2,3197
184,1,840
11,2,57
601,1,2738
622,2,2837
581,1,2651
35,1,163
369,2,1696
833,1,3803
120,1,551
89,1,400
880,2,4047
253,1,1143
610,2,2781
17,2,86
786,2,3597
897,1,4126
382,2,1762
863,2,3962
277,1,1253
10,1,49
101,1,459
121,1,556
350,2,1602
924,2,4252
471,1,2178
872,2,4005
280,2,1264
174,1,796
295,1,1337
277,1,1255
57,2,259
116,2,530
402,2,1848
334,1,1527
15,2,75
670,1,3051
796,1,3644
908,2,4177
976,1,4467
692,2,3151
979,1,4478
114,2,518
706,2,3215
473,2,2190
746,1,3401
776,2,3550
216,2,973
416,2,1915
806,2,3687
514,2,2363
387,1,1780
361,2,1656
245,1,1103
632,1,2881
337,1,1539
410,1,1881
402,1,1844
956,1,4377
285,2,1293
97,1,439
435,1,1999
382,2,1761
270,2,1219
119,2,547
774,1,3539
147,1,674
511,2,2349
249,1,1121
800,2,3664
173,1,792
74,1,336
382,2,1763
204,1,917
156,2,715
264,2,1186
77,1,348
7,1,33
624,2,2847
702,1,3195
285,1,1288
380,1,1748
122,2,564
309,2,1412
507,2,2336
502,1,2309
641,2,2921
339,2,1546
823,1,3761
141,1,651
780,2,3569
1000,1,4574
204,1,918
832,1,3799
467,2,2162
853,1,3911
271,1,1222
916,2,4216
905,1,4163
140,1,644
973,2,4456
711,2,3242
182,1,833
1,1,4
438,2,2015
439,2,2021
303,1,1379
451,1,2080
160,1,732
327,2,1496
163,2,745
619,2,2821
245,1,1104
428,1,1961
981,1,4490
48,1,212
678,1,3087
720,1,3267
90,1,405
948,2,4351
917,2,4221
50,2,225
587,1,2677
820,2,3752
502,2,2314
697,2,3176
882,1,4053
235,1,1056
748,1,3411
623,1,2839
259,1,1169
317,2,1450
637,1,2896
985,1,4510
469,2,2175
667,2,3042
524,1,2396
994,1,4556
381,2,1756
840,1,3834
641,2,2920
158,2,721
153,1,698
643,2,2925
8,2,39
552,2,2513
135,1,619
453,1,2089
641,1,2917
545,1,2486
207,1,934
716,1,3253
764,1,3487
715,1,3247
572,2,2610
677,1,3078
483,2,2235
377,1,1729
766,1,3497
119,1,546
852,1,3902
891,2,4091
300,2,1361
468,2,2171
113,2,511
901,1,4148
683,2,3114
705,1,3208
58,2,262
993,2,4552
823,2,3763
662,2,3017
113,2,509
444,2,2043
149,2,682
977,2,4472
50,2,226
199,1,891
265,1,1190
799,1,3658
982,1,4496
369,1,1693
816,2,3735
92,1,419
525,1,2403
611,1,2784
433,2,1988
415,1,1906
333,1,1522
514,1,2360
922,1,4241
572,1,2605
822,2,3757
367,1,1681
833,2,3807
159,1,726
200,1,900
655,1,2986
151,1,691
803,1,3666
175,1,803
437,2,2009
573,1,2614
443,2,2035
677,2,3080
679,2,3090
933,1,4285
649,2,2960
903,2,4160
679,1,3088
129,1,589
917,1,4217
68,1,300
727,2,3304
267,1,1200
993,2,4551
486,1,2247
326,2,1488
434,2,1995
336,2,1537
737,2,3359
130,1,595
534,1,2445
225,1,1004
838,2,3827
352,2,1610
329,1,1502
579,2,2644
624,1,2843
937,1,4299
525,1,2405
434,1,1991
871,2,4003
115,1,519
22,2,112
118,1,540
933,1,4286
510,1,2343
958,2,4387
391,1,1797
788,2,3607
929,1,4268
403,2,1853
666,1,3035
464,2,2149
970,2,4440
536,2,2457
174,2,800
260,2,1174
392,1,1806
502,1,2311
608,2,2770
110,1,496
170,2,779
729,2,3311
862,1,3952
129,2,592
413,1,1898
816,2,3736
54,1,238
48,1,213
782,1,3573
692,2,3152
60,1,271
974,1,4459
61,2,276
797,2,3652
215,1,964
820,1,3747
59,2,267
269,2,1210
794,1,3637
145,2,666
141,2,652
634,2,2887
596,2,2718
804,1,3673
314,1,1435
762,2,3475
19,1,96
111,2,498
944,1,4328
996,1,4563
231,2,1034
363,1,1663
931,2,4280
762,2,3477
111,2,500
184,2,842
696,1,3167
362,1,1659
975,2,4465
