stato_id,città_id,città
23,580,Xintai
75,517,Taguig
19,52,Bamenda
22,428,Rancagua
12,143,Dhaka
103,322,Manchester
60,124,Coacalco de Berriozábal
50,547,Tsuyama
86,539,Tonghae
60,451,San Felipe del Progreso
23,193,Haining
15,215,Ibirité
102,88,Bradford
54,137,Daugavpils
93,593,Zanzibar
50,203,Higashiosaka
103,123,Clarksville
72,472,Shikarpur
63,534,Tete
92,209,Hsichuh
50,227,Iwakuni
13,340,Molodetšno
34,543,Toulon
21,363,NDjamna
103,446,Salinas
44,75,Bhimavaram
67,23,Amersfoort
103,295,Laredo
23,584,Yantai
20,196,Halifax
44,554,Uluberia
6,165,Ezeiza
30,530,Tartu
77,32,Arecibo
100,479,Simferopol
15,247,Juazeiro do Norte
77,411,Ponce
69,390,Oyo
103,433,Roanoke
6,567,Vicente López
99,173,Funafuti
56,570,Vilnius
49,17,Alessandria
103,306,Lincoln
3,516,Tafuna
103,573,Warren
11,14,al-Manama
48,36,Ashqelon
44,211,Hubli-Dharwad
66,81,Birgunj
92,108,Changhwa
64,342,Monywa
15,569,Vila Velha
102,495,Southend-on-Sea
103,41,Augusta-Richmond County
23,139,Daxian
105,571,Vinh
44,73,Bhavnagar
104,132,Cumaná
50,555,Urawa
23,422,Qinhuangdao
60,212,Huejutla de Reyes
38,198,Halle/Saale
23,298,Lengshuijiang
44,550,Udaipur
80,235,Jaroslavl
20,430,Richmond Hill
28,311,Loja
44,231,Jaipur
79,442,Saint-Denis
92,526,Tanshui
44,169,Firozabad
24,170,Florencia
44,564,Valparai
44,191,Gulbarga
15,44,Bagé
60,106,Celaya
44,478,Siliguri (Shiliguri)
102,496,Southport
34,297,Le Mans
20,565,Vancouver
23,47,Baiyin
23,540,Tongliao
15,410,Poá
23,594,Zaoyang
4,67,Benguela
80,597,Zeleznogorsk
49,70,Bergamo
50,228,Iwatsuki
15,485,São Bernardo do Campo
23,432,Rizhao
23,407,Pingxiang
44,78,Bijapur
23,299,Leshan
23,469,Shaoguan
45,232,Jakarta
49,93,Brindisi
72,327,Mardan
19,585,Yaoundé
97,529,Tarsus
60,365,Nezahualcóyotl
60,563,Valle de Santiago
94,394,Pak Kret
97,5,Adana
103,140,Dayton
103,435,Rockford
1,251,Kabul
74,214,Huánuco
82,2,Abha
50,331,Matsue
29,421,Qalyub
34,92,Brest
23,159,Enshi
23,588,Yingkou
89,379,Omdurman
67,151,Ede
44,195,Haldia
80,408,Pjatigorsk
38,325,Mannheim
103,178,Garland
80,49,Balašiha
95,370,Nuku´alofa
75,391,Ozamis
57,319,Mahajanga
63,64,Beira
103,94,Brockton
50,284,Kurashiki
44,76,Bhopal
45,415,Probolinggo
20,179,Gatineau
44,429,Ranchi
85,244,Johannesburg
80,510,Syktyvkar
78,86,Botosani
9,186,Graz
80,270,Kirovo-Tšepetsk
71,329,Masqat
23,157,Emeishan
44,208,Hoshiarpur
107,206,Hodeida
45,318,Madiun
104,373,Ocumare del Tuy
2,483,Skikda
23,277,Korla
69,152,Effon-Alaiye
50,10,Akishima
44,176,Gandhinagar
60,445,Salamanca
50,287,Kuwana
103,171,Fontana
49,91,Brescia
15,189,Guarujá
15,572,Vitória de Santo Antão
94,358,Nakhon Sawan
51,598,Zhezqazghan
80,320,Maikop
80,156,Elista
46,467,Shahr-e Kord
100,506,Sumy
