data_pagamento,noleggio_id,cliente_id,ammontare,pagamento_id,personale_id
2005-06-17 04:35:19,1901,292,3.99,7896,1
2005-07-30 09:51:21,9129,125,9.99,3370,1
2005-06-18 19:36:50,2456,147,6.99,3981,1
2005-06-17 05:10:36,1908,358,0.99,9665,2
2005-07-10 17:04:56,5838,202,2.99,5478,2
2005-08-17 09:44:22,11760,545,2.99,14652,2
2005-07-11 23:36:38,6419,311,4.99,8442,2
2005-08-23 19:19:06,15955,349,5.99,9461,1
2005-08-02 03:24:04,10949,389,2.99,10545,1
2005-07-11 15:23:46,6257,492,2.99,13270,1
2005-07-07 15:45:58,4289,231,0.99,6225,2
2005-08-02 19:45:33,11418,91,0.99,2493,2
2005-08-21 09:55:47,14381,391,0.99,10617,1
2005-07-11 01:06:21,5992,54,2.99,1494,1
2005-08-16 23:18:47,11505,34,2.99,943,1
2005-08-02 08:20:31,11110,4,2.99,98,1
2005-05-26 20:48:48,297,48,2.99,1313,1
2005-07-28 15:11:00,8002,449,2.99,12126,2
2005-07-30 05:12:04,9010,152,5.99,4144,1
2005-08-21 18:10:03,14619,338,2.99,9151,1
2005-07-29 10:12:45,8521,402,7.99,10869,2
2005-07-30 22:20:04,9453,221,7.99,5991,1
2005-07-05 23:05:17,3477,476,7.99,12869,2
2005-08-19 21:07:22,13361,107,4.99,2897,2
2005-07-28 14:56:41,7993,353,3.99,9540,2
2005-07-31 01:46:24,9545,594,7.99,15920,1
2005-08-17 22:10:46,12081,597,4.99,16002,1
2005-05-28 07:03:00,544,311,6.99,8433,2
2005-08-18 07:12:46,12342,63,2.99,1726,2
2005-07-12 13:34:58,6716,367,0.99,9926,1
2005-08-19 07:26:30,12995,566,4.99,15185,2
2005-07-09 01:33:23,5010,574,4.99,15376,2
2005-08-18 18:22:27,12644,300,5.99,8157,2
2005-07-08 18:29:05,4846,556,0.99,14900,1
2005-06-18 06:46:54,2280,548,2.99,14713,1
2005-05-25 06:49:10,51,256,4.99,6889,1
2005-08-21 22:02:08,14725,403,4.99,10909,2
2005-08-01 13:52:30,10581,217,5.99,5895,1
2005-07-31 09:46:29,9766,570,4.99,15281,1
2005-07-06 11:12:02,3723,501,6.99,13495,2
2005-08-20 05:50:35,13592,470,4.99,12720,1
2005-08-01 23:46:58,10844,333,4.99,9005,2
2005-07-30 13:50:52,9239,580,3.99,15547,1
2005-07-28 04:19:15,7708,363,4.99,9820,2
2005-08-02 14:20:55,11273,541,0.99,14565,2
2005-06-21 21:10:39,3451,558,10.99,14939,2
2005-06-21 02:06:45,3223,299,2.99,8113,2
2005-07-09 14:21:10,5267,233,5.99,6277,2
