assay_id,description,src_assay_id,assay_cell_type,cell_id,assay_tissue,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_subcellular_fraction
1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,11087,B,,,,,,
2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,684,F,,,,,,
3,,,,,,15453,B,,,,,,
4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,,17841,B,,,Bos taurus,9913.0,,
5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,163.0,,17430,F,,,Homo sapiens,9606.0,,
6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,163.0,,17430,F,,,Homo sapiens,9606.0,,
7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,143B,163.0,,13799,F,,,Mus musculus,10090.0,,
8,In vitro cell cytotoxicity was determined against 143B cell line,,143B,163.0,,17774,F,,,Homo sapiens,9606.0,,
9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,143B,163.0,,3801,F,,,Homo sapiens,9606.0,,
10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,163.0,,17430,F,,,Homo sapiens,9606.0,,
11,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,163.0,,17430,F,,,Homo sapiens,9606.0,,
12,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,143B,163.0,,17774,F,,,Homo sapiens,9606.0,,
13,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,11324,F,,,Staphylococcus aureus,1280.0,,
14,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,11324,F,,,Staphylococcus aureus,1280.0,,
15,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,11324,F,,,Staphylococcus aureus,1280.0,,
16,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,11324,F,,,Staphylococcus aureus,1280.0,,
17,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,,11347,A,,,Rattus norvegicus,10116.0,,
18,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,16474,B,,,,,,
19,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,10091,B,,,,,,
20,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,16474,B,,,,,,
21,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,16474,B,,,,,,
22,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,16474,B,,,,,,
23,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,16474,B,,,,,,
24,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,16474,B,,,,,,
25,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,14352,B,,,,,,
26,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,,5646,B,,,Oryctolagus cuniculus,9986.0,,
27,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,,,5646,B,,,Oryctolagus cuniculus,9986.0,,
28,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,10997,B,,,,,,
29,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,,6309,B,,,soya bean,3847.0,,
30,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,,,167,B,,,Glycine max,3847.0,,
31,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,,,167,B,,,Glycine max,3847.0,,
32,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,,,11087,B,,,Glycine max,3847.0,,
33,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,,,11087,B,,,Glycine max,3847.0,,
34,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,13622,B,,,Glycine max,3847.0,,
35,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,13622,B,,,Glycine max,3847.0,,
36,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,,,11347,A,,,Rattus norvegicus,10116.0,,
37,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,,,5926,B,,,Escherichia coli,562.0,,
38,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,4567,B,,,,,,
39,Dissociation constant towards 16S rRNA construct A,,,,,3782,B,,,,,,
40,Dissociation constant towards 16S rRNA construct B,,,,,3782,B,,,,,,
41,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,,4466,B,,,Escherichia coli,562.0,,
42,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,,,6592,B,,,Escherichia coli,562.0,,
43,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,898,B,,,,,,
44,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,898,B,,,,,,
45,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,13163,B,,,Homo sapiens,9606.0,,
46,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,13163,B,,,Homo sapiens,9606.0,,
47,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,10691,B,,,Rattus norvegicus,10116.0,,
48,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,10691,B,,,Rattus norvegicus,10116.0,,
49,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,10691,B,,,Rattus norvegicus,10116.0,,
