assays_ASI,assays_ASOR,assays_DOI,assays_ASSCET,assays_SI,assays_ASST,assays_SASSI,assays_ASTI,assays_TII,assays_CURB,assays_CEI,assays_T,assays_RELATIT,assays_CONFISCO,assays_CHEI,assays_BAFOR,assays_VAI
7524,Rattus norvegicus,9866,,1,A,,Kidney,2113.0,Intermediate,,50597,N,1,CHEMBL618647,BAO_0000218,
7525,Rattus norvegicus,9866,,1,A,,Kidney,2113.0,Intermediate,,50597,N,1,CHEMBL618648,BAO_0000218,
7526,Rattus norvegicus,9866,,1,A,,Kidney,2113.0,Intermediate,,50597,N,1,CHEMBL618649,BAO_0000218,
7527,Rattus norvegicus,9866,,1,A,,Liver,2107.0,Intermediate,,50597,N,1,CHEMBL618650,BAO_0000218,
7528,Rattus norvegicus,9866,,1,A,,Liver,2107.0,Intermediate,,50597,N,1,CHEMBL618651,BAO_0000218,
7529,Rattus norvegicus,9866,,1,A,,Liver,2107.0,Intermediate,,50597,N,1,CHEMBL876497,BAO_0000218,
7530,Rattus norvegicus,9866,,1,A,,Lung,2048.0,Intermediate,,50597,N,1,CHEMBL618652,BAO_0000218,
7531,Rattus norvegicus,9866,,1,A,,Lung,2048.0,Intermediate,,50597,N,1,CHEMBL618653,BAO_0000218,
7532,Rattus norvegicus,9866,,1,A,,Lung,2048.0,Intermediate,,50597,N,1,CHEMBL618654,BAO_0000218,
7533,Rattus norvegicus,6351,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618655,BAO_0000218,
7534,Rattus norvegicus,1465,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618656,BAO_0000218,
7535,,5182,,1,P,,,,Intermediate,,22229,U,0,CHEMBL618657,BAO_0000100,
7536,Rattus norvegicus,17847,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618658,BAO_0000218,
7537,Rattus norvegicus,15339,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618659,BAO_0000218,
7538,Rattus norvegicus,5202,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618660,BAO_0000218,
7539,Rattus norvegicus,1088,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618661,BAO_0000218,
7540,Rattus norvegicus,3169,,1,A,,,,Intermediate,,50597,N,1,CHEMBL873807,BAO_0000218,
7541,Rattus norvegicus,5353,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618662,BAO_0000218,
7542,Rattus norvegicus,2864,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618663,BAO_0000218,
7543,Rattus norvegicus,2864,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618664,BAO_0000218,
7544,Rattus norvegicus,2864,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618665,BAO_0000218,
7545,Rattus norvegicus,6362,,1,A,,,,Intermediate,,50597,N,1,CHEMBL876498,BAO_0000218,
7546,Rattus norvegicus,6249,,1,A,,,,Intermediate,,50597,N,1,CHEMBL618666,BAO_0000218,
7547,Rattus norvegicus,3169,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620440,BAO_0000218,
7548,Rattus norvegicus,3169,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620441,BAO_0000218,
7549,Rattus norvegicus,3169,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620442,BAO_0000218,
7550,Rattus norvegicus,17260,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620443,BAO_0000218,
7551,Rattus norvegicus,17260,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620444,BAO_0000218,
7552,Rattus norvegicus,17260,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620445,BAO_0000218,
7553,Rattus norvegicus,17260,,1,A,,,,Intermediate,,50597,N,1,CHEMBL620446,BAO_0000218,
7554,Rattus norvegicus,2879,,1,A,,Plasma,1969.0,Intermediate,,50597,N,1,CHEMBL620447,BAO_0000218,
7555,Rattus norvegicus,2879,,1,A,,Plasma,1969.0,Intermediate,,50597,N,1,CHEMBL621129,BAO_0000218,
7556,Rattus norvegicus,2879,,1,A,,Plasma,1969.0,Intermediate,,50597,N,1,CHEMBL621130,BAO_0000218,
7557,Rattus norvegicus,3184,,1,A,,,,Intermediate,,50597,N,1,CHEMBL873808,BAO_0000218,
7558,Rattus norvegicus,4891,,1,A,,,,Intermediate,,50597,N,1,CHEMBL876598,BAO_0000218,
7559,Rattus norvegicus,429,,1,A,,,,Intermediate,,50597,N,1,CHEMBL621131,BAO_0000218,
7560,Rattus norvegicus,5656,,1,A,,,,Intermediate,,50597,N,1,CHEMBL621132,BAO_0000218,
7561,Rattus norvegicus,4413,,1,A,,,,Intermediate,,50597,N,1,CHEMBL621133,BAO_0000218,
7562,Rattus norvegicus,3598,,1,A,,,,Expert,,50597,N,1,CHEMBL621312,BAO_0000218,
7563,Rattus norvegicus,17267,,1,A,,,,Intermediate,,50597,N,1,CHEMBL621313,BAO_0000218,
7564,Rattus norvegicus,4727,,1,A,,Blood,178.0,Intermediate,,50597,N,1,CHEMBL621314,BAO_0000218,
