ss_d,cnfdnc_scr,ss_rgnsm,dscrptn,ss_tp,ss_tx_d,ss_tss,ss_sbclllr_frctn,ss_ctgr,chmbl_d,dc_d,rltnshp_tp,b_frmt,src_d,tss_d,ss_tst_tp,crtd_b,src_ss_d,cll_d,vrnt_d
7524,1,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,A,10116.0,Kidney,,,CHEMBL618647,9866,N,BAO_0000218,1,2113.0,In vivo,Intermediate,,,
7525,1,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,A,10116.0,Kidney,,,CHEMBL618648,9866,N,BAO_0000218,1,2113.0,In vivo,Intermediate,,,
7526,1,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,A,10116.0,Kidney,,,CHEMBL618649,9866,N,BAO_0000218,1,2113.0,In vivo,Intermediate,,,
7527,1,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,A,10116.0,Liver,,,CHEMBL618650,9866,N,BAO_0000218,1,2107.0,In vivo,Intermediate,,,
7528,1,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,A,10116.0,Liver,,,CHEMBL618651,9866,N,BAO_0000218,1,2107.0,In vivo,Intermediate,,,
7529,1,Rattus norvegicus,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,A,10116.0,Liver,,,CHEMBL876497,9866,N,BAO_0000218,1,2107.0,In vivo,Intermediate,,,
7530,1,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,A,10116.0,Lung,,,CHEMBL618652,9866,N,BAO_0000218,1,2048.0,In vivo,Intermediate,,,
7531,1,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,A,10116.0,Lung,,,CHEMBL618653,9866,N,BAO_0000218,1,2048.0,In vivo,Intermediate,,,
7532,1,Rattus norvegicus,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,A,10116.0,Lung,,,CHEMBL618654,9866,N,BAO_0000218,1,2048.0,In vivo,Intermediate,,,
7533,1,Rattus norvegicus,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,A,10116.0,,,,CHEMBL618655,6351,N,BAO_0000218,1,,,Intermediate,,,
7534,1,Rattus norvegicus,Compound was tested for solubility in water,A,10116.0,,,,CHEMBL618656,1465,N,BAO_0000218,1,,,Intermediate,,,
7535,0,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),P,,,,,CHEMBL618657,5182,U,BAO_0000100,1,,,Intermediate,,,
7536,1,Rattus norvegicus,Solubility was determined,A,10116.0,,,,CHEMBL618658,17847,N,BAO_0000218,1,,,Intermediate,,,
7537,1,Rattus norvegicus,solubility in water (ug/mL) at 37 degree C.,A,10116.0,,,,CHEMBL618659,15339,N,BAO_0000218,1,,,Intermediate,,,
7538,1,Rattus norvegicus,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,A,10116.0,,,,CHEMBL618660,5202,N,BAO_0000218,1,,,Intermediate,,,
7539,1,Rattus norvegicus,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,A,10116.0,,,,CHEMBL618661,1088,N,BAO_0000218,1,,,Intermediate,,,
7540,1,Rattus norvegicus,Half life in rats,A,10116.0,,,,CHEMBL873807,3169,N,BAO_0000218,1,,,Intermediate,,,
7541,1,Rattus norvegicus,Half life in Dawley rat,A,10116.0,,,,CHEMBL618662,5353,N,BAO_0000218,1,,,Intermediate,,,
7542,1,Rattus norvegicus,Half life period after 3 mg/kg iv administration,A,10116.0,,,,CHEMBL618663,2864,N,BAO_0000218,1,,In vivo,Intermediate,,,
7543,1,Rattus norvegicus,Half life period after 3 mg/kg iv administration in rat,A,10116.0,,,,CHEMBL618664,2864,N,BAO_0000218,1,,In vivo,Intermediate,,,
7544,1,Rattus norvegicus,Half life period after 3 mg/kg iv administration in the rat,A,10116.0,,,,CHEMBL618665,2864,N,BAO_0000218,1,,In vivo,Intermediate,,,
7545,1,Rattus norvegicus,Half life period in female Sprague-Dawley rats,A,10116.0,,,,CHEMBL876498,6362,N,BAO_0000218,1,,,Intermediate,,,
7546,1,Rattus norvegicus,Half life period in rat,A,10116.0,,,,CHEMBL618666,6249,N,BAO_0000218,1,,,Intermediate,,,
7547,1,Rattus norvegicus,Half-life in rats was determined,A,10116.0,,,,CHEMBL620440,3169,N,BAO_0000218,1,,,Intermediate,,,
7548,1,Rattus norvegicus,Half-life in rats with metabolic oxidation,A,10116.0,,,,CHEMBL620441,3169,N,BAO_0000218,1,,,Intermediate,,,
7549,1,Rattus norvegicus,Half-life in rats,A,10116.0,,,,CHEMBL620442,3169,N,BAO_0000218,1,,,Intermediate,,,
7550,1,Rattus norvegicus,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,A,10116.0,,,,CHEMBL620443,17260,N,BAO_0000218,1,,In vivo,Intermediate,,,
7551,1,Rattus norvegicus,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,A,10116.0,,,,CHEMBL620444,17260,N,BAO_0000218,1,,In vivo,Intermediate,,,
7552,1,Rattus norvegicus,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,A,10116.0,,,,CHEMBL620445,17260,N,BAO_0000218,1,,In vivo,Intermediate,,,
7553,1,Rattus norvegicus,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,A,10116.0,,,,CHEMBL620446,17260,N,BAO_0000218,1,,In vivo,Intermediate,,,
7554,1,Rattus norvegicus,Biological half-life measured in plasma of rat,A,10116.0,Plasma,,,CHEMBL620447,2879,N,BAO_0000218,1,1969.0,,Intermediate,,,
7555,1,Rattus norvegicus,Biological half-life measured in plasma of rat; 22-25,A,10116.0,Plasma,,,CHEMBL621129,2879,N,BAO_0000218,1,1969.0,,Intermediate,,,
7556,1,Rattus norvegicus,Biological half-life measured in plasma of rat; 9-16,A,10116.0,Plasma,,,CHEMBL621130,2879,N,BAO_0000218,1,1969.0,,Intermediate,,,
7557,1,Rattus norvegicus,Compound was evaluated for its half life when administered intravenously in rat,A,10116.0,,,,CHEMBL873808,3184,N,BAO_0000218,1,,In vivo,Intermediate,,,
7558,1,Rattus norvegicus,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,A,10116.0,,,,CHEMBL876598,4891,N,BAO_0000218,1,,In vivo,Intermediate,,,
7559,1,Rattus norvegicus,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,A,10116.0,,,,CHEMBL621131,429,N,BAO_0000218,1,,In vivo,Intermediate,,,
7560,1,Rattus norvegicus,Half life (T1/2) after oral administration in rat,A,10116.0,,,,CHEMBL621132,5656,N,BAO_0000218,1,,In vivo,Intermediate,,,
7561,1,Rattus norvegicus,Half life of compound after iv administration of 20 mg/kg dose in rat,A,10116.0,,,,CHEMBL621133,4413,N,BAO_0000218,1,,In vivo,Intermediate,,,
7562,1,Rattus norvegicus,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,A,10116.0,,,,CHEMBL621312,3598,N,BAO_0000218,1,,In vivo,Expert,,,
7563,1,Rattus norvegicus,Half life of compound was determined in rat,A,10116.0,,,,CHEMBL621313,17267,N,BAO_0000218,1,,,Intermediate,,,
7564,1,Rattus norvegicus,Half life of compound was determined in rat blood,A,10116.0,Blood,,,CHEMBL621314,4727,N,BAO_0000218,1,178.0,,Intermediate,,,
7565,1,Rattus norvegicus,Half life at 1 mg/kg was determined in rat,A,10116.0,,,,CHEMBL621315,17651,N,BAO_0000218,1,,In vivo,Intermediate,,,
7566,1,Rattus norvegicus,Half life at 10 mg/kg was determined in rat,A,10116.0,,,,CHEMBL621316,17651,N,BAO_0000218,1,,In vivo,Intermediate,,,
7567,1,Rattus norvegicus,Half life in rats,A,10116.0,,,,CHEMBL621317,401,N,BAO_0000218,1,,,Intermediate,,,
7568,1,Rattus norvegicus,Half life in rats in hours,A,10116.0,,,,CHEMBL621318,4942,N,BAO_0000218,1,,,Intermediate,,,
