assay_id,tissue_id,doc_id,assay_tax_id,bao_format,assay_category,src_assay_id,cell_id,curated_by,src_id,assay_organism,assay_test_type,confidence_score,assay_subcellular_fraction,relationship_type,assay_strain,description,assay_type,assay_tissue
1,,11087,,BAO_0000019,,,,Autocuration,1,,,8,,H,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,
2,,684,,BAO_0000219,,,,Autocuration,1,,,0,,U,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,
3,,15453,,BAO_0000019,,,,Autocuration,1,,,0,,U,,,B,
4,,17841,9913.0,BAO_0000249,,,,Autocuration,1,Bos taurus,,4,,H,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,
5,,17430,9606.0,BAO_0000219,,,163.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
6,,17430,9606.0,BAO_0000219,,,163.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
7,,13799,10090.0,BAO_0000219,,,163.0,Intermediate,1,Mus musculus,,1,,N,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,
8,,17774,9606.0,BAO_0000219,,,163.0,Expert,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity was determined against 143B cell line,F,
9,,3801,9606.0,BAO_0000219,,,163.0,Intermediate,1,Homo sapiens,,1,,N,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,
10,,17430,9606.0,BAO_0000219,,,163.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
11,,17430,9606.0,BAO_0000219,,,163.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
12,,17774,9606.0,BAO_0000219,,,163.0,Expert,1,Homo sapiens,,1,,N,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,
13,,11324,1280.0,BAO_0000218,,,,Intermediate,1,Staphylococcus aureus,,1,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
14,,11324,1280.0,BAO_0000218,,,,Intermediate,1,Staphylococcus aureus,,1,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
15,,11324,1280.0,BAO_0000218,,,,Intermediate,1,Staphylococcus aureus,,1,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
16,,11324,1280.0,BAO_0000218,,,,Intermediate,1,Staphylococcus aureus,,1,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
17,,11347,10116.0,BAO_0000357,,,,Expert,1,Rattus norvegicus,,9,,D,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,
18,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,
19,,10091,,BAO_0000019,,,,Autocuration,1,,,8,,H,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,
20,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
21,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,
22,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
23,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
24,,16474,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
25,,14352,,BAO_0000219,,,,Autocuration,1,,,0,,U,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,
26,,5646,9986.0,BAO_0000357,,,,Autocuration,1,Oryctolagus cuniculus,,8,,H,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,
27,,5646,9986.0,BAO_0000357,,,,Autocuration,1,Oryctolagus cuniculus,,8,,H,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,
28,,10997,,BAO_0000219,,,,Autocuration,1,,,8,,H,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,
29,,6309,3847.0,BAO_0000357,,,,Autocuration,1,soya bean,,8,,H,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,
30,,167,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,
31,,167,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,
32,,11087,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,
33,,11087,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,
34,,13622,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
35,,13622,3847.0,BAO_0000357,,,,Autocuration,1,Glycine max,,8,,H,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
36,,11347,10116.0,BAO_0000019,,,,Autocuration,1,Rattus norvegicus,,0,,U,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,
37,,5926,562.0,BAO_0000019,,,,Autocuration,1,Escherichia coli,,0,,U,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,
38,,4567,,BAO_0000019,,,,Autocuration,1,,,0,,U,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,
39,,3782,,BAO_0000225,,,,Intermediate,1,,,3,,M,,Dissociation constant towards 16S rRNA construct A,B,
40,,3782,,BAO_0000225,,,,Intermediate,1,,,3,,M,,Dissociation constant towards 16S rRNA construct B,B,
41,,4466,562.0,BAO_0000225,,,,Expert,1,Escherichia coli,,3,,M,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,
42,,6592,562.0,BAO_0000225,,,,Expert,1,Escherichia coli,,3,,M,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,
43,,898,,BAO_0000019,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
44,,898,,BAO_0000019,,,,Autocuration,1,,,8,,H,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
45,,13163,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,8,,H,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
46,,13163,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,8,,H,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
47,,10691,10116.0,BAO_0000019,,,,Expert,1,Rattus norvegicus,,9,,D,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
48,,10691,10116.0,BAO_0000019,,,,Expert,1,Rattus norvegicus,,9,,D,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
49,,10691,10116.0,BAO_0000019,,,,Expert,1,Rattus norvegicus,,9,,D,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
50,,10691,10116.0,BAO_0000019,,,,Expert,1,Rattus norvegicus,,9,,D,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
51,,898,,BAO_0000019,,,,Autocuration,1,,,8,,H,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
52,,912,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,
53,,912,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,
54,,912,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,
