assay_id,assay_tissue,doc_id,cell_id,assay_type,assay_strain,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,bao_format,tissue_id,variant_id
1,,11087,,B,,H,8,Autocuration,1,,CHEMBL615117,BAO_0000019,,
2,,684,,F,,U,0,Autocuration,1,,CHEMBL615118,BAO_0000219,,
3,,15453,,B,,U,0,Autocuration,1,,CHEMBL615119,BAO_0000019,,
4,,17841,,B,,H,4,Autocuration,1,,CHEMBL615120,BAO_0000249,,
5,,17430,163.0,F,,N,1,Intermediate,1,,CHEMBL615121,BAO_0000219,,
6,,17430,163.0,F,,N,1,Intermediate,1,,CHEMBL615122,BAO_0000219,,
7,,13799,163.0,F,,N,1,Intermediate,1,,CHEMBL615123,BAO_0000219,,
8,,17774,163.0,F,,N,1,Expert,1,,CHEMBL615124,BAO_0000219,,
9,,3801,163.0,F,,N,1,Intermediate,1,,CHEMBL615125,BAO_0000219,,
10,,17430,163.0,F,,N,1,Intermediate,1,,CHEMBL615126,BAO_0000219,,
11,,17430,163.0,F,,N,1,Intermediate,1,,CHEMBL615127,BAO_0000219,,
12,,17774,163.0,F,,N,1,Expert,1,,CHEMBL615128,BAO_0000219,,
13,,11324,,F,,N,1,Intermediate,1,,CHEMBL857900,BAO_0000218,,
14,,11324,,F,,N,1,Intermediate,1,,CHEMBL615129,BAO_0000218,,
15,,11324,,F,,N,1,Intermediate,1,,CHEMBL615130,BAO_0000218,,
16,,11324,,F,,N,1,Intermediate,1,,CHEMBL615131,BAO_0000218,,
17,,11347,,A,,D,9,Expert,1,,CHEMBL884521,BAO_0000357,,
18,,16474,,B,,H,8,Autocuration,1,,CHEMBL615132,BAO_0000357,,
19,,10091,,B,,H,8,Autocuration,1,,CHEMBL615133,BAO_0000019,,
20,,16474,,B,,H,8,Autocuration,1,,CHEMBL615134,BAO_0000357,,
21,,16474,,B,,H,8,Autocuration,1,,CHEMBL615135,BAO_0000357,,
22,,16474,,B,,H,8,Autocuration,1,,CHEMBL615136,BAO_0000357,,
23,,16474,,B,,H,8,Autocuration,1,,CHEMBL615137,BAO_0000357,,
24,,16474,,B,,H,8,Autocuration,1,,CHEMBL615138,BAO_0000357,,
25,,14352,,B,,U,0,Autocuration,1,,CHEMBL836324,BAO_0000219,,
26,,5646,,B,,H,8,Autocuration,1,,CHEMBL615139,BAO_0000357,,
27,,5646,,B,,H,8,Autocuration,1,,CHEMBL615140,BAO_0000357,,
28,,10997,,B,,H,8,Autocuration,1,,CHEMBL615141,BAO_0000219,,
29,,6309,,B,,H,8,Autocuration,1,,CHEMBL615142,BAO_0000357,,
30,,167,,B,,H,8,Autocuration,1,,CHEMBL615143,BAO_0000357,,
31,,167,,B,,H,8,Autocuration,1,,CHEMBL615144,BAO_0000357,,
32,,11087,,B,,H,8,Autocuration,1,,CHEMBL872867,BAO_0000357,,
33,,11087,,B,,H,8,Autocuration,1,,CHEMBL615145,BAO_0000357,,
34,,13622,,B,,H,8,Autocuration,1,,CHEMBL615146,BAO_0000357,,
35,,13622,,B,,H,8,Autocuration,1,,CHEMBL615147,BAO_0000357,,
36,,11347,,A,,U,0,Autocuration,1,,CHEMBL615148,BAO_0000019,,
37,,5926,,B,,U,0,Autocuration,1,,CHEMBL615149,BAO_0000019,,
38,,4567,,B,,U,0,Autocuration,1,,CHEMBL615150,BAO_0000019,,
39,,3782,,B,,M,3,Intermediate,1,,CHEMBL615151,BAO_0000225,,
40,,3782,,B,,M,3,Intermediate,1,,CHEMBL615152,BAO_0000225,,
41,,4466,,B,,M,3,Expert,1,,CHEMBL615153,BAO_0000225,,
42,,6592,,B,,M,3,Expert,1,,CHEMBL615154,BAO_0000225,,
43,,898,,B,,H,8,Autocuration,1,,CHEMBL615155,BAO_0000019,,
44,,898,,B,,H,8,Autocuration,1,,CHEMBL615156,BAO_0000019,,
45,,13163,,B,,H,8,Autocuration,1,,CHEMBL615157,BAO_0000019,,
46,,13163,,B,,H,8,Autocuration,1,,CHEMBL615158,BAO_0000019,,
47,,10691,,B,,D,9,Expert,1,,CHEMBL615159,BAO_0000019,,
48,,10691,,B,,D,9,Expert,1,,CHEMBL615172,BAO_0000019,,
49,,10691,,B,,D,9,Expert,1,,CHEMBL615173,BAO_0000019,,
50,,10691,,B,,D,9,Expert,1,,CHEMBL615174,BAO_0000019,,
51,,898,,B,,H,8,Autocuration,1,,CHEMBL884518,BAO_0000019,,
52,,912,,B,,H,8,Autocuration,1,,CHEMBL615175,BAO_0000357,,
53,,912,,B,,H,8,Autocuration,1,,CHEMBL615176,BAO_0000357,,
54,,912,,B,,H,8,Autocuration,1,,CHEMBL615177,BAO_0000357,,
55,,15103,,B,,D,5,Autocuration,1,,CHEMBL615178,BAO_0000249,,
56,,5116,506.0,F,,N,1,Intermediate,1,,CHEMBL615179,BAO_0000219,,
57,,14578,,F,,D,7,Autocuration,1,,CHEMBL615180,BAO_0000219,,
58,,14578,,F,,D,7,Autocuration,1,,CHEMBL615181,BAO_0000219,,
59,,14578,,F,,D,7,Autocuration,1,,CHEMBL615182,BAO_0000219,,
60,,4787,506.0,F,,N,1,Expert,1,,CHEMBL615183,BAO_0000219,,
61,,4787,506.0,F,,N,1,Intermediate,1,,CHEMBL615184,BAO_0000219,,
62,,3547,506.0,F,,N,1,Intermediate,1,,CHEMBL615185,BAO_0000219,,
63,,3547,506.0,F,,N,1,Intermediate,1,,CHEMBL615186,BAO_0000219,,
64,,6726,506.0,F,,N,1,Intermediate,1,,CHEMBL615187,BAO_0000219,,
65,,3455,506.0,F,,N,1,Expert,1,,CHEMBL885343,BAO_0000219,,
66,,5726,506.0,F,,N,1,Intermediate,1,,CHEMBL615188,BAO_0000219,,
67,,5726,506.0,F,,N,1,Intermediate,1,,CHEMBL615189,BAO_0000219,,
68,,5726,506.0,F,,N,1,Intermediate,1,,CHEMBL615190,BAO_0000219,,
69,,3395,506.0,F,,N,1,Intermediate,1,,CHEMBL615191,BAO_0000219,,
70,,3415,506.0,F,,N,1,Expert,1,,CHEMBL615192,BAO_0000219,,
71,,3415,506.0,F,,N,1,Expert,1,,CHEMBL827083,BAO_0000219,,
72,,17099,506.0,F,,N,1,Expert,1,,CHEMBL615193,BAO_0000219,,
73,,17099,506.0,F,,N,1,Intermediate,1,,CHEMBL615194,BAO_0000219,,
74,,17099,506.0,F,,N,1,Intermediate,1,,CHEMBL615195,BAO_0000219,,
75,,17099,506.0,F,,N,1,Intermediate,1,,CHEMBL615196,BAO_0000219,,
76,,17721,503.0,F,,N,1,Intermediate,1,,CHEMBL615197,BAO_0000219,,
77,,1229,,F,,U,0,Intermediate,1,,CHEMBL615198,BAO_0000019,,
78,,11347,,A,,D,9,Expert,1,,CHEMBL615199,BAO_0000357,,
79,,17117,,B,,H,8,Expert,1,,CHEMBL615200,BAO_0000357,,
80,,17117,,B,,H,8,Expert,1,,CHEMBL615201,BAO_0000357,,
81,,17117,,B,,H,8,Expert,1,,CHEMBL615202,BAO_0000357,,
82,,11375,,B,,H,8,Autocuration,1,,CHEMBL615203,BAO_0000251,,
83,,11375,,B,,H,8,Autocuration,1,,CHEMBL615204,BAO_0000251,,
84,,11375,,B,,H,8,Autocuration,1,,CHEMBL615205,BAO_0000251,,
85,,11375,,B,,H,8,Autocuration,1,,CHEMBL615206,BAO_0000251,,
86,Liver,11375,,B,,H,8,Autocuration,1,,CHEMBL615207,BAO_0000251,2107.0,
87,,791,,B,,H,8,Autocuration,1,,CHEMBL827084,BAO_0000019,,
88,,791,,B,,H,8,Autocuration,1,,CHEMBL615208,BAO_0000019,,
89,,791,,B,,H,8,Autocuration,1,,CHEMBL615209,BAO_0000019,,
90,Liver,11375,,B,,D,9,Autocuration,1,,CHEMBL615210,BAO_0000251,2107.0,
91,Liver,11375,,B,,D,9,Autocuration,1,,CHEMBL615211,BAO_0000251,2107.0,
92,Liver,153,,B,,D,9,Autocuration,1,,CHEMBL615212,BAO_0000251,2107.0,
93,,8269,,B,,H,8,Expert,1,,CHEMBL615213,BAO_0000357,,
94,,8269,,B,,H,8,Expert,1,,CHEMBL615273,BAO_0000357,,
95,,17653,726.0,F,,N,1,Expert,1,,CHEMBL615274,BAO_0000219,,
96,,14277,726.0,F,,N,1,Intermediate,1,,CHEMBL615275,BAO_0000219,,
97,,1717,726.0,F,,N,1,Intermediate,1,,CHEMBL615276,BAO_0000219,,
98,,14091,726.0,F,,N,1,Intermediate,1,,CHEMBL615277,BAO_0000219,,
99,,14091,726.0,F,,N,1,Intermediate,1,,CHEMBL615326,BAO_0000219,,
100,,17653,,F,,N,1,Expert,1,,CHEMBL883130,BAO_0000218,,
101,,13105,726.0,F,,N,1,Intermediate,1,,CHEMBL884519,BAO_0000219,,
102,,1717,726.0,F,,N,1,Intermediate,1,,CHEMBL615327,BAO_0000219,,
103,,13105,726.0,A,,N,1,Intermediate,1,,CHEMBL615328,BAO_0000219,,
104,,13600,,F,,N,1,Intermediate,1,,CHEMBL615329,BAO_0000218,,
105,,13467,,F,,N,1,Intermediate,1,,CHEMBL615330,BAO_0000218,,
106,,17477,,F,,N,1,Expert,1,,CHEMBL615331,BAO_0000218,,
107,,1593,,F,,N,1,Intermediate,1,,CHEMBL615332,BAO_0000218,,
108,,1593,,F,,N,1,Intermediate,1,,CHEMBL615333,BAO_0000218,,
109,,15089,,F,,N,1,Intermediate,1,,CHEMBL615334,BAO_0000218,,
110,,15089,,F,,N,1,Intermediate,1,,CHEMBL615335,BAO_0000218,,
111,,1593,,F,,N,1,Intermediate,1,,CHEMBL615336,BAO_0000218,,
112,,1593,,F,,N,1,Intermediate,1,,CHEMBL615337,BAO_0000218,,
113,,13600,,F,,N,1,Intermediate,1,,CHEMBL615338,BAO_0000218,,
114,,13467,,F,,N,1,Intermediate,1,,CHEMBL615339,BAO_0000218,,
115,,13467,,F,,N,1,Intermediate,1,,CHEMBL615340,BAO_0000218,,
116,,14764,726.0,F,,N,1,Intermediate,1,,CHEMBL615341,BAO_0000219,,
117,,6531,,B,,U,0,Autocuration,1,,CHEMBL615342,BAO_0000251,,
118,,17322,,B,,U,0,Autocuration,1,,CHEMBL615343,BAO_0000019,,
