assay_id,assay_category,assay_tissue,variant_id,assay_organism,chembl_id,doc_id,assay_strain,tid,curated_by,assay_tax_id,description,assay_type,assay_test_type,assay_cell_type,assay_subcellular_fraction,relationship_type
1,,,,,CHEMBL615117,11087,,12052,Autocuration,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,H
2,,,,,CHEMBL615118,684,,22226,Autocuration,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,U
3,,,,,CHEMBL615119,15453,,22226,Autocuration,,,B,,,,U
4,,,,Bos taurus,CHEMBL615120,17841,,104729,Autocuration,9913.0,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,,H
5,,,,Homo sapiens,CHEMBL615121,17430,,80001,Intermediate,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,143B,,N
6,,,,Homo sapiens,CHEMBL615122,17430,,80001,Intermediate,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,143B,,N
7,,,,Mus musculus,CHEMBL615123,13799,,80001,Intermediate,10090.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,143B,,N
8,,,,Homo sapiens,CHEMBL615124,17774,,80001,Expert,9606.0,In vitro cell cytotoxicity was determined against 143B cell line,F,,143B,,N
9,,,,Homo sapiens,CHEMBL615125,3801,,80001,Intermediate,9606.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,143B,,N
10,,,,Homo sapiens,CHEMBL615126,17430,,80001,Intermediate,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,143B,,N
11,,,,Homo sapiens,CHEMBL615127,17430,,80001,Intermediate,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,143B,,N
12,,,,Homo sapiens,CHEMBL615128,17774,,80001,Expert,9606.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,143B,,N
