ASSI,DOI,ASST,ASSCT,TISI,Ti,Descr,ASTI,CONFISC,CEI,ASORG,SI,ASSTAI,RELAT,CUB,ASSST,SRASI,CHEI,BFOR,VAI
1,11087,B,,,12052,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,8,,,1,,H,Autocuration,,,CHEMBL615117,BAO_0000019,
2,684,F,,,22226,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,0,,,1,,U,Autocuration,,,CHEMBL615118,BAO_0000219,
3,15453,B,,,22226,,,0,,,1,,U,Autocuration,,,CHEMBL615119,BAO_0000019,
4,17841,B,,,104729,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,4,,Bos taurus,1,9913.0,H,Autocuration,,,CHEMBL615120,BAO_0000249,
5,17430,F,143B,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,1,163.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615121,BAO_0000219,
6,17430,F,143B,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,1,163.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615122,BAO_0000219,
7,13799,F,143B,,80001,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,1,163.0,Mus musculus,1,10090.0,N,Intermediate,,,CHEMBL615123,BAO_0000219,
8,17774,F,143B,,80001,In vitro cell cytotoxicity was determined against 143B cell line,,1,163.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615124,BAO_0000219,
9,3801,F,143B,,80001,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,1,163.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615125,BAO_0000219,
10,17430,F,143B,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,1,163.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615126,BAO_0000219,
11,17430,F,143B,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,1,163.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615127,BAO_0000219,
12,17774,F,143B,,80001,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,1,163.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615128,BAO_0000219,
13,11324,F,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,1,,Staphylococcus aureus,1,1280.0,N,Intermediate,,,CHEMBL857900,BAO_0000218,
14,11324,F,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,1,,Staphylococcus aureus,1,1280.0,N,Intermediate,,,CHEMBL615129,BAO_0000218,
15,11324,F,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,1,,Staphylococcus aureus,1,1280.0,N,Intermediate,,,CHEMBL615130,BAO_0000218,
