assay_id,assay_test_type,curated_by,confidence_score,cell_id,bao_format,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1,,Aht8curation,8,,BAOo00001p,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,Autocu5atiln,0,,BAlp000219,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,Augocurqtion,0,,BA800000w9,15453,,B,,,,,
4,,Autoc7rxtion,4,,nAO00p0249,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,9913.0,,
5,,Ihtermsdiate,1,336.0,BsO00002w9,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,
6,,Ihtermediat4,1,500.0,BAO00p0319,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,
7,,Interkediatf,1,222.0,BA900o0219,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,10090.0,,
8,,Experg,1,339.0,BAO0o00119,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,9606.0,,
9,,Imt3rmediate,1,390.0,BAO0o0p219,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,9606.0,,
10,,Intwrmeduate,1,342.0,vAO0000218,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,
11,,Intermeeizte,1,476.0,BAO00o0119,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,
12,,Exper6,1,300.0,BAO000022i,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,9606.0,,
13,,ontermediwte,1,,BwO9000218,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
14,,Internrdiate,1,,BAO09o0218,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
15,,Ihtermsdiate,1,,BAOo090218,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
16,,Intermedia62,1,,BAO000921i,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
