ASSI,ASSORGA,CUB,CHEI,CI,ASSCA,T,TII,ASSTY,VAI,Descri,ASSSUBCEFR,RELT,CONFSCO,SI,SRASSI,BAFO
7524,Rattus norvegicus,Intermediate,CHEMBL618647,,,50597,2113.0,A,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7525,Rattus norvegicus,Intermediate,CHEMBL618648,,,50597,2113.0,A,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,N,1,1,,BAO_0000218
7526,Rattus norvegicus,Intermediate,CHEMBL618649,,,50597,2113.0,A,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7527,Rattus norvegicus,Intermediate,CHEMBL618650,,,50597,2107.0,A,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7528,Rattus norvegicus,Intermediate,CHEMBL618651,,,50597,2107.0,A,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,N,1,1,,BAO_0000218
7529,Rattus norvegicus,Intermediate,CHEMBL876497,,,50597,2107.0,A,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7530,Rattus norvegicus,Intermediate,CHEMBL618652,,,50597,2048.0,A,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7531,Rattus norvegicus,Intermediate,CHEMBL618653,,,50597,2048.0,A,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,N,1,1,,BAO_0000218
7532,Rattus norvegicus,Intermediate,CHEMBL618654,,,50597,2048.0,A,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,N,1,1,,BAO_0000218
7533,Rattus norvegicus,Intermediate,CHEMBL618655,,,50597,,A,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,N,1,1,,BAO_0000218
7534,Rattus norvegicus,Intermediate,CHEMBL618656,,,50597,,A,,Compound was tested for solubility in water,,N,1,1,,BAO_0000218
7535,,Intermediate,CHEMBL618657,,,22229,,P,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,U,0,1,,BAO_0000100
7536,Rattus norvegicus,Intermediate,CHEMBL618658,,,50597,,A,,Solubility was determined,,N,1,1,,BAO_0000218
7537,Rattus norvegicus,Intermediate,CHEMBL618659,,,50597,,A,,solubility in water (ug/mL) at 37 degree C.,,N,1,1,,BAO_0000218
7538,Rattus norvegicus,Intermediate,CHEMBL618660,,,50597,,A,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,N,1,1,,BAO_0000218
7539,Rattus norvegicus,Intermediate,CHEMBL618661,,,50597,,A,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,N,1,1,,BAO_0000218
7540,Rattus norvegicus,Intermediate,CHEMBL873807,,,50597,,A,,Half life in rats,,N,1,1,,BAO_0000218
7541,Rattus norvegicus,Intermediate,CHEMBL618662,,,50597,,A,,Half life in Dawley rat,,N,1,1,,BAO_0000218
7542,Rattus norvegicus,Intermediate,CHEMBL618663,,,50597,,A,,Half life period after 3 mg/kg iv administration,,N,1,1,,BAO_0000218
7543,Rattus norvegicus,Intermediate,CHEMBL618664,,,50597,,A,,Half life period after 3 mg/kg iv administration in rat,,N,1,1,,BAO_0000218
7544,Rattus norvegicus,Intermediate,CHEMBL618665,,,50597,,A,,Half life period after 3 mg/kg iv administration in the rat,,N,1,1,,BAO_0000218
7545,Rattus norvegicus,Intermediate,CHEMBL876498,,,50597,,A,,Half life period in female Sprague-Dawley rats,,N,1,1,,BAO_0000218
7546,Rattus norvegicus,Intermediate,CHEMBL618666,,,50597,,A,,Half life period in rat,,N,1,1,,BAO_0000218
7547,Rattus norvegicus,Intermediate,CHEMBL620440,,,50597,,A,,Half-life in rats was determined,,N,1,1,,BAO_0000218
7548,Rattus norvegicus,Intermediate,CHEMBL620441,,,50597,,A,,Half-life in rats with metabolic oxidation,,N,1,1,,BAO_0000218
7549,Rattus norvegicus,Intermediate,CHEMBL620442,,,50597,,A,,Half-life in rats,,N,1,1,,BAO_0000218
7550,Rattus norvegicus,Intermediate,CHEMBL620443,,,50597,,A,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,N,1,1,,BAO_0000218
7551,Rattus norvegicus,Intermediate,CHEMBL620444,,,50597,,A,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,N,1,1,,BAO_0000218
7552,Rattus norvegicus,Intermediate,CHEMBL620445,,,50597,,A,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,N,1,1,,BAO_0000218
7553,Rattus norvegicus,Intermediate,CHEMBL620446,,,50597,,A,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,N,1,1,,BAO_0000218
7554,Rattus norvegicus,Intermediate,CHEMBL620447,,,50597,1969.0,A,,Biological half-life measured in plasma of rat,,N,1,1,,BAO_0000218
7555,Rattus norvegicus,Intermediate,CHEMBL621129,,,50597,1969.0,A,,Biological half-life measured in plasma of rat; 22-25,,N,1,1,,BAO_0000218
7556,Rattus norvegicus,Intermediate,CHEMBL621130,,,50597,1969.0,A,,Biological half-life measured in plasma of rat; 9-16,,N,1,1,,BAO_0000218
7557,Rattus norvegicus,Intermediate,CHEMBL873808,,,50597,,A,,Compound was evaluated for its half life when administered intravenously in rat,,N,1,1,,BAO_0000218
7558,Rattus norvegicus,Intermediate,CHEMBL876598,,,50597,,A,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,N,1,1,,BAO_0000218
7559,Rattus norvegicus,Intermediate,CHEMBL621131,,,50597,,A,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,N,1,1,,BAO_0000218
7560,Rattus norvegicus,Intermediate,CHEMBL621132,,,50597,,A,,Half life (T1/2) after oral administration in rat,,N,1,1,,BAO_0000218
