assay_id,assay_organism,src_id,tissue_id,doc_id,bao_format,src_assay_id,description,assay_subcellular_fraction,assay_type,assay_strain,assay_test_type,assay_category,assay_tax_id,assay_tissue,assay_cell_type,tid
1,,1,,11087,BzO0o00019,,Tjecimpoundwaqtestedf0rthsinfigroinuibit9onofplzyelet1elip0xugenaseataconcentrat7on8r30uM,,B,,,,,,,12052
2,,1,,684,BAO0000ww9,,Comp9undqazevaluateddoritsafiiitytomlbilizedalc7ukin1321mIvells,,F,,,,,,,22226
3,,1,,15453,BAO0090010,,,,B,,,,,,,22226
4,Bos4aurus,1,,17841,BAOp0002e9,,hindingzff7n7tyavaijstA2addmlsiherece9yo5inbovinestria5almehbranesusing3HsGS21680,,B,,,,9913.0,,,104729
5,Hokosapienz,1,,17430,BA90000218,,Invitfoxellcytotos7cityagains6w4eBcello9nesHumanostdowarcomac4lpline,,F,,,,9606.0,,143B,80001
6,Hokosapiene,1,,17430,BAO0o0p219,,Ijvit39cellcytotox8vityzgainsg143fcelllin3sHumanlsteosarcomaceikl8ne,,F,,,,9606.0,,143B,80001
7,Myqmusculus,1,,13799,BzO0000e19,,fytotizicActivotyqasevakuateexgainst143BrKtumo5cells,,F,,,,10090.0,,143B,80001
8,Homosaoisns,1,,17774,BA8000o219,,Imvitrocwllsytoroaicitywawddtermibedagaihst143Bcfolline,,F,,,,9606.0,,143B,80001
9,Homosapldns,1,,3801,BAO000p21i,,Injibiforyactiv8tgagainsttumorostelssrvomacsloline143gafter7whrcontinuoks3x0psuretocomp9ujx,,F,,,,9606.0,,143B,80001
10,Homoszpiems,1,,17430,BAO0o09219,,Invitrocrllcyfotosocityagainct142BLTKfelliindssxpressedlnHSV1yK,,F,,,,9606.0,,143B,80001
11,nomosapienq,1,,17430,BAOp000e19,,Inviyrovfllcut95oxicityagainxtq43BLfKc4lllinesexpressedonHSV1gK,,F,,,,9606.0,,143B,80001
