assay_id,assay_cell_type,assay_type,cell_id,assay_test_type,description,confidence_score,src_assay_id,assay_category,tid,assay_tax_id,doc_id,assay_organism,assay_strain,assay_tissue,assay_subcellular_fraction,relationship_type
1,,B,,,Tjecompoyndwwe6es4edfoghteinvitroinhibitiohiclla54let12lip0xygenaseataconcentrationpf30uM,8,,,12052,,11087,,,,,H
2,,F,,,Compojmdsasevaluatedforltzabilitytomib7iizecaiciumin1321mjcepls,0,,,22226,,684,,,,,U
3,,B,,,,0,,,22226,,15453,,,,,U
4,,B,,,Bindingaffunityagains5Aqadenosunerefe05oeinb9vijds4riatslmembganeauskng3HCGS21680,4,,,104729,17473.0,17841,Bos taurus,,,,H
5,143B,F,460.0,,Invutrocellcht0t9xic7yysgainat143BcflllunesH7manosteosarcomafeklline,1,,,80001,15214.0,17430,Homo sapiens,,,,N
6,143B,F,531.0,,Invihgocflicytogpxicityavainst143BcelllinesHumanosreosa5somzcellllnd,1,,,80001,9798.0,17430,Homo sapiens,,,,N
7,143B,F,581.0,,Cyto4ocicActivi6y3asevalhwtwdabxinst143hTKtumorcells,1,,,80001,17370.0,13799,Mus musculus,,,,N
8,143B,F,530.0,,Ijv8trodellcyt0toxicittwasdeterminesagaimet143Bcelopije,1,,,80001,1856.0,17774,Homo sapiens,,,,N
9,143B,F,265.0,,Inhibitoeuavtjdityagainsttuhorost4isardomacrlllinw143Bartfr72hgcontinul6sexpowure4ocompound,1,,,80001,1517.0,3801,Homo sapiens,,,,N
10,143B,F,235.0,,Ijvlhrocellcytotoxicityagainst14evLhKcelllineswdpressedlnHxV2To,1,,,80001,15169.0,17430,Homo sapiens,,,,N
11,143B,F,425.0,,Invif58celpcyhotozicig6against143BLTKcelllonewexpresdedinHSb1TK,1,,,80001,15958.0,17430,Homo sapiens,,,,N
12,143B,F,480.0,,Invittosfolcytotoxlc9tywaddeterminedagaonst143nLhKfellline,1,,,80001,9537.0,17774,Homo sapiens,,,,N
13,,F,,,Theconpoujdwwstestedforminimukinhibitoryconc4ntrstiob7nStxphyiococcuexureus1r7bpenicillimsenskhiveShxphgl9coccusa8reuz,1,,,50185,1647.0,11324,Staphylococcus aureus,,,,N
14,,F,,,Thecompoundeasrectedfo5minimumimhigi6orycojcsntratoonimStaphylosocdusxud3us1t7NpenicilllnsensitiveStaohhl0coscusaur3us,1,,,50185,9895.0,11324,Staphylococcus aureus,,,,N
15,,F,,,Thecompoundwastesterdorkonimukint9bitoryconcent4at99ninStaphylocicsusaufsus147Npenifillunsens9tivrStwphypocpccysahreus,1,,,50185,18205.0,11324,Staphylococcus aureus,,,,N
16,,F,,,Thwcompoundwas5eqtedformihimyminhibitoryconcentrwtokn7nStaphykos8ccuswureue147Npenic9llinsensit8veStq9hylpc9cc8wa6reus,1,,,50185,2567.0,11324,Staphylococcus aureus,,,,N
17,,A,,,Inhjbifionoccytlch4omfP45pprlgester9me15al0hahydroxylase,9,,,100122,3792.0,11347,Rattus norvegicus,,,,D
18,,B,,,xlncentrqtionthatsauw450aftlcationothumangetivupocyge15lipoxygenase15HLO,8,,,12054,,16474,,,,,H
19,,B,,,Inhohkt8onofpartiallypurlti4d15li0oxygenasefrkjhumsnleukoc7tes,8,,,12054,,10091,,,,,H
20,,B,,,Inhibitotyactivityafwinsthuhajr3ticulocyte15kl9osygdgase15HLO,8,,,12054,,16474,,,,,H
21,,B,,,Compiundwssevaluqyedfprhhepedcrntincreaseihaftuvationconsentrarionofhumanregkculpcgte15lipoxyrfhase15HLO,8,,,12054,,16474,,,,,H
22,,B,,,Inhibigoryactugityagainsthujanretivyllcyteq5lkl0xygenase16HLO,8,,,12054,,16474,,,,,H
23,,B,,,Inhkbitodyactivityagainsthumznre5ichlicyrd15lipozygenqse15yLObIksnoinhibltiog,8,,,12054,,16474,,,,,H
24,,B,,,Inhivitortactivityagainsthukqnretjcylocute15lipoxyfenax4w5HLONIiznoknhibutkon,8,,,12054,,16474,,,,,H
25,,B,,,Ibhibito3yconcdntrqtionatainat15lipoxggwnzwebyinhib9ring15HEgEoroductionbyhjmanumbilicakv4inendofhekialcellsHUVECstimulahwfbyfalcoumiobophoreA231u7atclnxwntrarionot10d5h,0,,,22226,,14352,,,,,U
26,,B,,,Invitr08nhibitlryactovity0ecompoundobrabbi6reticul9cyte15lippx7venwse,8,,,12054,2756.0,5646,Oryctolagus cuniculus,,,,H
27,,B,,,Inhifjtionofrabbotteticulkcyte15lipox7genaeebyxokpound40uk,8,,,12054,3308.0,5646,Oryctolagus cuniculus,,,,H
28,,B,,,8nhibi5or5act7vityanainsy15llpox7genaseinratpilyhorphlnucoearldukofytes,8,,,12426,,10997,,,,,H
29,,B,,,Inhihito3yactivityagaomst15li0oxygdnasfwasdeyermindfob6ainedfromsoysbexh,8,,,12054,11839.0,6309,soya bean,,,,H
30,,B,,,Inhibitoryactifiyyafaihstsoyfean16luppxygenasdsasevwluated,8,,,12054,4406.0,167,Glycine max,,,,H
31,,B,,,Inhobi6ortactovutyagainatsoybean16liokxtgenasewasfdaluatedat10ouM,8,,,12054,16155.0,167,Glycine max,,,,H
32,,B,,,hgecom9oundwastezhedfortheinvitroinuihi5ionoe15lipoxygenaweofxlygeamxgaconcentrationocq0uM,8,,,12054,1576.0,11087,Glycine max,,,,H
33,,B,,,Thecomp86ndwastewtevfortueinvitrpinhkbitkonif15i70lxygenaseofeoybeanatac8ncen5rationofq0ouM,8,,,12054,17147.0,11087,Glycine max,,,,H
34,,B,,,Conpouhdwaqtesteeinfitroforinhibktiogofw5lopoxybenasfsoybfan,8,,,12054,14454.0,13622,Glycine max,,,,H
35,,B,,,Comlpunvxt20puMwastesredinvi4roforunhibiti0nov15lipoxygenaeesoyvean,8,,,12054,1937.0,13622,Glycine max,,,,H
36,,A,,,Inbinitiohofcyt9chromeP4toproges6erone16aiphahhdfoxylace,0,,,22226,19469.0,11347,Rattus norvegicus,,,,U
37,,B,,,Bindingaffinitjagsinstbafterialq6SrRNquqingjasscpectrojetrygas2xasqay,0,,,22226,1903.0,5926,Escherichia coli,,,,U
38,,B,,,Diss9ciatoknconatajtwithwimeric16SrRNz3NAvonstrustB,0,,,22226,,4567,,,,,U
39,,B,,,Didwoviationconstanhtosadds16SrRmAc8nstructA,3,,,22222,,3782,,,,,M
40,,B,,,eixzkciwtiondonstanttowards16SrRNAcons4rudtB,3,,,22222,,3782,,,,,M
41,,B,,,Bigdinhaffibkt6ofxmijoglycosideto16SribosokskRNAssiteinwscheridhiacoii,3,,,100263,8282.0,4466,Escherichia coli,,,,M
42,,B,,,Bindingaffinityfkrghe16Stiboc8malRNAAs8feodEscgsrichoacoli,3,,,100263,20804.0,6592,Escherichia coli,,,,M
43,,B,,,Inhibitkr6activktyagainsghumajlladenta17h2tahydfoxuwt4roiddehys5ogenasety9e217vetaHSxtype2,8,,,13053,,898,,,,,H
44,,B,,,9nh7bitoryxobstzntagainsthunan0lacenta17betah5drosysrrriiddehydrogenaqstyp2217begaHSDyype1,8,,,13053,,898,,,,,H
45,,B,,,Thefpmpoundwastestedatacknfentfationof1uhborinhibitoryacticityagaunst28bdtatydrlx5steroieveuydroysnaeefromhymznplacentzpmicrosomeq,8,,,20001,15184.0,13163,Homo sapiens,,,,H
46,,B,,,Thecompounrwzsrestedarxcogcentrationof2uMfofinhinigodyacgivityagsinzt16betanyd4oxjsteroiddegydrogenasefromhumam0lac2ntalmicfosojsz,8,,,20001,10646.0,13163,Homo sapiens,,,,H
47,,B,,,Ihjibifjonof17alphahydroxylase1710iyasedromra4testesmicroxkmalp33oaratlon,9,,,12971,12463.0,10691,Rattus norvegicus,,,,D
48,,B,,,Inn9bitionof2ualphahydroaylase1y20lyaxefromratteshesm8xgosonal0repagation,9,,,12971,15538.0,10691,Rattus norvegicus,,,,D
49,,B,,,Pefcentinhibigioboe17alphahudroxylase17e9oyaseoftattestesmicriwokesst100uj,9,,,12971,21764.0,10691,Rattus norvegicus,,,,D
50,,B,,,0ercentinhibitjogkfStefoid17qlphahydtoxylaee1720lyaseov4att2s4esmic40somesa5100iM,9,,,12971,20284.0,10691,Rattus norvegicus,,,,D
51,,B,,,Inhobitor6actlvit6againstgunsn0lacenta17vetahyxroxysterpirdehydrohemasetype217vftabSDty0e2,8,,,13053,,898,,,,,H
52,,B,,,C8mpoundsastestwvfo3hheijhibitionof17betahgdroxjsteroixd3hycfogenasetypeq17getaHSDtypr2,8,,,11512,,912,,,,,H
53,,B,,,sohpoundwastest4dfortheknhibitionof18verahydrkxgsteroidsehyeeotenssetype116getaHSD4ype1at1uMconcsmtrat7ob,8,,,11512,,912,,,,,H
