ASI,SI,ASSTY,CONFSCO,ASSCETY,SRASSI,ASTET,T,Descr,TII,ASSORG,ASSSTR,CEI,ASCATE,ASSTAI,RELATY,CURB,CHI,BFO,VARII
1,1,B,8,,,,12052,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,,H,Autocuration,CHEMBL615117,BAO_0000019,
2,1,F,0,,,,22226,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,,U,Autocuration,CHEMBL615118,BAO_0000219,
3,1,B,0,,,,22226,,,,,,,,U,Autocuration,CHEMBL615119,BAO_0000019,
4,1,B,4,,,,104729,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,,,,9913.0,H,Autocuration,CHEMBL615120,BAO_0000249,
5,1,F,1,143B,,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,,163.0,,9606.0,N,Intermediate,CHEMBL615121,BAO_0000219,
6,1,F,1,143B,,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,,163.0,,9606.0,N,Intermediate,CHEMBL615122,BAO_0000219,
7,1,F,1,143B,,,80001,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,,163.0,,10090.0,N,Intermediate,CHEMBL615123,BAO_0000219,
8,1,F,1,143B,,,80001,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,,163.0,,9606.0,N,Expert,CHEMBL615124,BAO_0000219,
9,1,F,1,143B,,,80001,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,,163.0,,9606.0,N,Intermediate,CHEMBL615125,BAO_0000219,
10,1,F,1,143B,,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,,163.0,,9606.0,N,Intermediate,CHEMBL615126,BAO_0000219,
11,1,F,1,143B,,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,,163.0,,9606.0,N,Intermediate,CHEMBL615127,BAO_0000219,
12,1,F,1,143B,,,80001,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,,163.0,,9606.0,N,Expert,CHEMBL615128,BAO_0000219,
13,1,F,1,,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,1280.0,N,Intermediate,CHEMBL857900,BAO_0000218,
14,1,F,1,,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,1280.0,N,Intermediate,CHEMBL615129,BAO_0000218,
15,1,F,1,,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,1280.0,N,Intermediate,CHEMBL615130,BAO_0000218,
16,1,F,1,,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,1280.0,N,Intermediate,CHEMBL615131,BAO_0000218,
17,1,A,9,,,,100122,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL884521,BAO_0000357,
18,1,B,8,,,,12054,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,H,Autocuration,CHEMBL615132,BAO_0000357,
19,1,B,8,,,,12054,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,,H,Autocuration,CHEMBL615133,BAO_0000019,
20,1,B,8,,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,H,Autocuration,CHEMBL615134,BAO_0000357,
21,1,B,8,,,,12054,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,H,Autocuration,CHEMBL615135,BAO_0000357,
22,1,B,8,,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,H,Autocuration,CHEMBL615136,BAO_0000357,
23,1,B,8,,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,H,Autocuration,CHEMBL615137,BAO_0000357,
24,1,B,8,,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,H,Autocuration,CHEMBL615138,BAO_0000357,
25,1,B,0,,,,22226,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,,U,Autocuration,CHEMBL836324,BAO_0000219,
26,1,B,8,,,,12054,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Oryctolagus cuniculus,,,,9986.0,H,Autocuration,CHEMBL615139,BAO_0000357,
27,1,B,8,,,,12054,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Oryctolagus cuniculus,,,,9986.0,H,Autocuration,CHEMBL615140,BAO_0000357,
28,1,B,8,,,,12426,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,,H,Autocuration,CHEMBL615141,BAO_0000219,
29,1,B,8,,,,12054,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,soya bean,,,,3847.0,H,Autocuration,CHEMBL615142,BAO_0000357,
30,1,B,8,,,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL615143,BAO_0000357,
31,1,B,8,,,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL615144,BAO_0000357,
32,1,B,8,,,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL872867,BAO_0000357,
33,1,B,8,,,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL615145,BAO_0000357,
34,1,B,8,,,,12054,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL615146,BAO_0000357,
35,1,B,8,,,,12054,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,,,,3847.0,H,Autocuration,CHEMBL615147,BAO_0000357,
36,1,A,0,,,,22226,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Rattus norvegicus,,,,10116.0,U,Autocuration,CHEMBL615148,BAO_0000019,
37,1,B,0,,,,22226,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Escherichia coli,,,,562.0,U,Autocuration,CHEMBL615149,BAO_0000019,
38,1,B,0,,,,22226,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,,U,Autocuration,CHEMBL615150,BAO_0000019,
