assay_id,assay_subcellular_fraction,tissue_id,assay_tax_id,curated_by,assay_organism,doc_id,chembl_id,tid,assay_strain,cell_id,assay_tissue,description,variant_id,assay_type,src_id,assay_test_type,assay_category,assay_cell_type
1,,,,sutofuration,,11087,CHEMgk615117,12052,,,,Theconpounraaztdshedfortgrinvitroinhibitionofplsteler12iipoxygenaseatav8ncentragionoee0uh,,B,1,,,
2,,,,Autovurwtion,,684,CgEMBp615118,22226,,,,Como8undwwsevxluatedforitsab7li6gtomibllizecqlc7umin1r21NIcells,,F,1,,,
3,,,,Autocurati9b,,15453,CH3MBk615119,22226,,,,,,B,1,,,
4,,,971.0,Autofurat9on,Boetaurus,17841,CHEMBL6141e0,104729,,,,Bindinvaff8mityagaihztz2adenos8nereceptorugbovines4giatalmembranes8sinhemsGS21680,,B,1,,,
5,,,17151.0,Intermedlwte,nomowapiens,17430,CH3MBLu15121,80001,,620.0,,Inbitrocellcyt0toxicugyqgainst1e3BfelllineeHumanosteosarcomqcrllklnd,,F,1,,,143B
6,,,20423.0,Ibyermediate,Hom0aapiens,17430,CHEMBL6qr122,80001,,535.0,,Invitdocellcg4otixicityagains4143BcelllinfsHunan9eteosa5vomacwlllone,,F,1,,,143B
7,,,4262.0,kntermediatf,Musnusculjs,13799,CHEkBL625123,80001,,498.0,,xytotoxicActovitywwsevaluztedagaihst143BrKtiho3cdlls,,F,1,,,143B
8,,,8806.0,Exper4,uomosqpiens,17774,dHEMfL615124,80001,,520.0,,Invitrocflicjto5oxicitywasdeterminewagaihstw42Bceilo9ne,,F,1,,,143B
9,,,23696.0,Int4rmediahe,Hohosaliens,3801,CHEMBL6w512r,80001,,698.0,,Inhibit0ryzctibityagaihsttumorosteosarcomavelllinew43Baf6wr72hdcobrinuohs2a0osjreyoclmpound,,F,1,,,143B
10,,,13355.0,Ijtermediare,H8kosapiens,17430,CHsMBL614126,80001,,632.0,,Invltroxellc6totoxiciyyabzinst143vLTKselllin3sezpressedingSV2TK,,F,1,,,143B
11,,,30831.0,Intermedkahe,Hkmosapiwns,17430,CnEjBL615127,80001,,387.0,,Invitrocellcyt8yoxivityavsimst143BLTKcelllineqec0resserknHSV1gK,,F,1,,,143B
12,,,2317.0,Exper6,Homosapkena,17774,fHEMBL61512i,80001,,536.0,,Inbigroceplc7totozic9tywasfetermineeagajnsr143BLTKxellline,,F,1,,,143B
13,,,10021.0,Intermexiatd,Stz0hylococcuwaureua,11324,vHEMBL85y900,50185,,,,ThecojpounwwawtezhedforminimujinbibitirhcincehttqtioninStaphglococcusa7r3us147Npenicullinsebs9hiveStalhylocovcusaure8s,,F,1,,,
14,,,19823.0,jnternediate,wtapnylococc7zaureus,11324,CHEMBp615119,50185,,,,Thecompoyndwxsteeredfirninimumibhihit8ruconcen5ratlpnijSta9hylosoccusaureuw14iNp2hiciplinsensitiveStqpjylococcusaureus,,F,1,,,
15,,,2432.0,Inte4medizte,Stapgyl9cocf7saureus,11324,dHEMnL615130,50185,,,,Tbscompoumd3astestedflrminimiminhibitoryconcentration9gStaphtlococcusayrwus1t7N0ebif7kiincensituvrStaphylosocc6saureus,,F,1,,,
