assays_ASI,assays_Desc,assays_CUB,assays_ASSTI,assays_SASI,assays_ASSTY,assays_ASSSTR,assays_BFOR,assays_DI,assays_ASSUBCFRAC,assays_CI,assays_SI,assays_CHEI,assays_ASSCT,assays_ASSCA,assays_ASORG,assays_RELTY,assays_CONFISCO,assays_TII,assays_VARII
1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,Autocuration,,,B,,BAO_0000019,11087,,,1,CHEMBL615117,,,,H,8,,
2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,Autocuration,,,F,,BAO_0000219,684,,,1,CHEMBL615118,,,,U,0,,
3,,Autocuration,,,B,,BAO_0000019,15453,,,1,CHEMBL615119,,,,U,0,,
4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Autocuration,9913.0,,B,,BAO_0000249,17841,,,1,CHEMBL615120,,,Bos taurus,H,4,,
5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,9606.0,,F,,BAO_0000219,17430,,163.0,1,CHEMBL615121,143B,,Homo sapiens,N,1,,
6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,9606.0,,F,,BAO_0000219,17430,,163.0,1,CHEMBL615122,143B,,Homo sapiens,N,1,,
7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Intermediate,10090.0,,F,,BAO_0000219,13799,,163.0,1,CHEMBL615123,143B,,Mus musculus,N,1,,
8,In vitro cell cytotoxicity was determined against 143B cell line,Expert,9606.0,,F,,BAO_0000219,17774,,163.0,1,CHEMBL615124,143B,,Homo sapiens,N,1,,
9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Intermediate,9606.0,,F,,BAO_0000219,3801,,163.0,1,CHEMBL615125,143B,,Homo sapiens,N,1,,
10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,9606.0,,F,,BAO_0000219,17430,,163.0,1,CHEMBL615126,143B,,Homo sapiens,N,1,,
11,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,9606.0,,F,,BAO_0000219,17430,,163.0,1,CHEMBL615127,143B,,Homo sapiens,N,1,,
12,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Expert,9606.0,,F,,BAO_0000219,17774,,163.0,1,CHEMBL615128,143B,,Homo sapiens,N,1,,
13,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,1280.0,,F,,BAO_0000218,11324,,,1,CHEMBL857900,,,Staphylococcus aureus,N,1,,
14,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,1280.0,,F,,BAO_0000218,11324,,,1,CHEMBL615129,,,Staphylococcus aureus,N,1,,
15,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,1280.0,,F,,BAO_0000218,11324,,,1,CHEMBL615130,,,Staphylococcus aureus,N,1,,
16,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,1280.0,,F,,BAO_0000218,11324,,,1,CHEMBL615131,,,Staphylococcus aureus,N,1,,
17,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Expert,10116.0,,A,,BAO_0000357,11347,,,1,CHEMBL884521,,,Rattus norvegicus,D,9,,
18,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615132,,,,H,8,,
19,Inhibition of partially purified 15-lipoxygenase from human leukocytes,Autocuration,,,B,,BAO_0000019,10091,,,1,CHEMBL615133,,,,H,8,,
20,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615134,,,,H,8,,
21,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615135,,,,H,8,,
22,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615136,,,,H,8,,
23,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615137,,,,H,8,,
24,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,B,,BAO_0000357,16474,,,1,CHEMBL615138,,,,H,8,,
25,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",Autocuration,,,B,,BAO_0000219,14352,,,1,CHEMBL836324,,,,U,0,,
26,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Autocuration,9986.0,,B,,BAO_0000357,5646,,,1,CHEMBL615139,,,Oryctolagus cuniculus,H,8,,
27,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Autocuration,9986.0,,B,,BAO_0000357,5646,,,1,CHEMBL615140,,,Oryctolagus cuniculus,H,8,,
28,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,Autocuration,,,B,,BAO_0000219,10997,,,1,CHEMBL615141,,,,H,8,,
29,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,Autocuration,3847.0,,B,,BAO_0000357,6309,,,1,CHEMBL615142,,,soya bean,H,8,,
30,Inhibitory activity against soybean 15-lipoxygenase was evaluated,Autocuration,3847.0,,B,,BAO_0000357,167,,,1,CHEMBL615143,,,Glycine max,H,8,,
31,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Autocuration,3847.0,,B,,BAO_0000357,167,,,1,CHEMBL615144,,,Glycine max,H,8,,
32,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Autocuration,3847.0,,B,,BAO_0000357,11087,,,1,CHEMBL872867,,,Glycine max,H,8,,
33,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Autocuration,3847.0,,B,,BAO_0000357,11087,,,1,CHEMBL615145,,,Glycine max,H,8,,
34,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,3847.0,,B,,BAO_0000357,13622,,,1,CHEMBL615146,,,Glycine max,H,8,,
35,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,3847.0,,B,,BAO_0000357,13622,,,1,CHEMBL615147,,,Glycine max,H,8,,
36,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Autocuration,10116.0,,A,,BAO_0000019,11347,,,1,CHEMBL615148,,,Rattus norvegicus,U,0,,
37,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Autocuration,562.0,,B,,BAO_0000019,5926,,,1,CHEMBL615149,,,Escherichia coli,U,0,,
38,Dissociation constant with dimeric 16S rRNA RNA construct B,Autocuration,,,B,,BAO_0000019,4567,,,1,CHEMBL615150,,,,U,0,,
39,Dissociation constant towards 16S rRNA construct A,Intermediate,,,B,,BAO_0000225,3782,,,1,CHEMBL615151,,,,M,3,,
40,Dissociation constant towards 16S rRNA construct B,Intermediate,,,B,,BAO_0000225,3782,,,1,CHEMBL615152,,,,M,3,,
41,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Expert,562.0,,B,,BAO_0000225,4466,,,1,CHEMBL615153,,,Escherichia coli,M,3,,
42,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Expert,562.0,,B,,BAO_0000225,6592,,,1,CHEMBL615154,,,Escherichia coli,M,3,,
43,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,B,,BAO_0000019,898,,,1,CHEMBL615155,,,,H,8,,
44,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,B,,BAO_0000019,898,,,1,CHEMBL615156,,,,H,8,,
45,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,9606.0,,B,,BAO_0000019,13163,,,1,CHEMBL615157,,,Homo sapiens,H,8,,
46,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,9606.0,,B,,BAO_0000019,13163,,,1,CHEMBL615158,,,Homo sapiens,H,8,,
47,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,10116.0,,B,,BAO_0000019,10691,,,1,CHEMBL615159,,,Rattus norvegicus,D,9,,
48,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,10116.0,,B,,BAO_0000019,10691,,,1,CHEMBL615172,,,Rattus norvegicus,D,9,,
49,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,10116.0,,B,,BAO_0000019,10691,,,1,CHEMBL615173,,,Rattus norvegicus,D,9,,
50,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,10116.0,,B,,BAO_0000019,10691,,,1,CHEMBL615174,,,Rattus norvegicus,D,9,,
51,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,B,,BAO_0000019,898,,,1,CHEMBL884518,,,,H,8,,
52,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),Autocuration,,,B,,BAO_0000357,912,,,1,CHEMBL615175,,,,H,8,,
53,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,Autocuration,,,B,,BAO_0000357,912,,,1,CHEMBL615176,,,,H,8,,
54,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,Autocuration,,,B,,BAO_0000357,912,,,1,CHEMBL615177,,,,H,8,,
55,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Autocuration,10116.0,,B,,BAO_0000249,15103,Membranes,,1,CHEMBL615178,,,Rattus norvegicus,D,5,,
56,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Intermediate,9606.0,,F,,BAO_0000219,5116,,506.0,1,CHEMBL615179,1A9,,Homo sapiens,N,1,,
57,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Autocuration,10116.0,,F,,BAO_0000219,14578,,,1,CHEMBL615180,Oocytes,,Rattus norvegicus,D,7,,
58,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Autocuration,10116.0,,F,,BAO_0000219,14578,,,1,CHEMBL615181,Oocytes,,Rattus norvegicus,D,7,,
59,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Autocuration,10116.0,,F,,BAO_0000219,14578,,,1,CHEMBL615182,Oocytes,,Rattus norvegicus,D,7,,
60,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Expert,9606.0,,F,,BAO_0000219,4787,,506.0,1,CHEMBL615183,1A9,,Homo sapiens,N,1,,
61,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Intermediate,9606.0,,F,,BAO_0000219,4787,,506.0,1,CHEMBL615184,1A9,,Homo sapiens,N,1,,
62,Cytotoxic activity against human ovarian cancer (1A9) cell line,Intermediate,9606.0,,F,,BAO_0000219,3547,,506.0,1,CHEMBL615185,1A9,,Homo sapiens,N,1,,
63,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Intermediate,9606.0,,F,,BAO_0000219,3547,,506.0,1,CHEMBL615186,1A9,,Homo sapiens,N,1,,
