assay_type,doc_id,assay_test_type,assay_category,src_id,src_assay_id,assay_tissue,relationship_type,bao_format,description,assay_cell_type,cell_id,curated_by,assay_subcellular_fraction,chembl_id,assay_tax_id,tissue_id,assay_organism,assay_id,variant_id,confidence_score,assay_strain,tid
B,11087.0,,,1.0,,,H,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,Autocuration,,CHEMBL615117,,,,1.0,,8.0,,12052.0
F,684.0,,,1.0,,,U,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,Autocuration,,CHEMBL615118,,,,2.0,,0.0,,22226.0
B,15453.0,,,1.0,,,U,BAO_0000019,,,,Autocuration,,CHEMBL615119,,,,3.0,,0.0,,22226.0
B,17841.0,,,1.0,,,H,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Autocuration,,CHEMBL615120,9913.0,,Bos taurus,4.0,,4.0,,104729.0
F,17430.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),143B,163.0,Intermediate,,CHEMBL615121,9606.0,,Homo sapiens,5.0,,1.0,,80001.0
F,17430.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),143B,163.0,Intermediate,,CHEMBL615122,9606.0,,Homo sapiens,6.0,,1.0,,80001.0
F,13799.0,,,1.0,,,N,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,143B,163.0,Intermediate,,CHEMBL615123,10090.0,,Mus musculus,7.0,,1.0,,80001.0
F,17774.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,143B,163.0,Expert,,CHEMBL615124,9606.0,,Homo sapiens,8.0,,1.0,,80001.0
F,3801.0,,,1.0,,,N,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,143B,163.0,Intermediate,,CHEMBL615125,9606.0,,Homo sapiens,9.0,,1.0,,80001.0
F,17430.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,143B,163.0,Intermediate,,CHEMBL615126,9606.0,,Homo sapiens,10.0,,1.0,,80001.0
F,17430.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,143B,163.0,Intermediate,,CHEMBL615127,9606.0,,Homo sapiens,11.0,,1.0,,80001.0
F,17774.0,,,1.0,,,N,BAO_0000219,In vitro cell cytotoxicity was determined against 143B-LTK cell line,143B,163.0,Expert,,CHEMBL615128,9606.0,,Homo sapiens,12.0,,1.0,,80001.0
F,11324.0,,,1.0,,,N,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Intermediate,,CHEMBL857900,1280.0,,Staphylococcus aureus,13.0,,1.0,,50185.0
