assays_ss_ctgr,assays_rltnshp_tp,assays_td,assays_cll_d,assays_ss_sbclllr_frctn,assays_ss_tst_tp,assays_ss_tp,assays_tss_d,assays_chmbl_d,assays_cnfdnc_scr,assays_vrnt_d,assays_b_frmt,assays_dc_d,assays_dscrptn,assays_src_d,assays_src_ss_d,assays_ss_tss,assays_ss_rgnsm,assays_crtd_b,assays_ss_cll_tp,assays_ss_strn,assays_ss_d,assays_ss_tx_d
,N,50597,,,In vivo,A,2113.0,CHEMBL618647,1,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,Kidney,Rattus norvegicus,Intermediate,,,7524,10116.0
,N,50597,,,In vivo,A,2113.0,CHEMBL618648,1,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,1,,Kidney,Rattus norvegicus,Intermediate,,,7525,10116.0
,N,50597,,,In vivo,A,2113.0,CHEMBL618649,1,,BAO_0000218,9866,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,1,,Kidney,Rattus norvegicus,Intermediate,,,7526,10116.0
,N,50597,,,In vivo,A,2107.0,CHEMBL618650,1,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,Liver,Rattus norvegicus,Intermediate,,,7527,10116.0
,N,50597,,,In vivo,A,2107.0,CHEMBL618651,1,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,1,,Liver,Rattus norvegicus,Intermediate,,,7528,10116.0
,N,50597,,,In vivo,A,2107.0,CHEMBL876497,1,,BAO_0000218,9866,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,1,,Liver,Rattus norvegicus,Intermediate,,,7529,10116.0
,N,50597,,,In vivo,A,2048.0,CHEMBL618652,1,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,Lung,Rattus norvegicus,Intermediate,,,7530,10116.0
,N,50597,,,In vivo,A,2048.0,CHEMBL618653,1,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,1,,Lung,Rattus norvegicus,Intermediate,,,7531,10116.0
,N,50597,,,In vivo,A,2048.0,CHEMBL618654,1,,BAO_0000218,9866,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,1,,Lung,Rattus norvegicus,Intermediate,,,7532,10116.0
,N,50597,,,,A,,CHEMBL618655,1,,BAO_0000218,6351,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,1,,,Rattus norvegicus,Intermediate,,,7533,10116.0
,N,50597,,,,A,,CHEMBL618656,1,,BAO_0000218,1465,Compound was tested for solubility in water,1,,,Rattus norvegicus,Intermediate,,,7534,10116.0
,U,22229,,,,P,,CHEMBL618657,0,,BAO_0000100,5182,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),1,,,,Intermediate,,,7535,
,N,50597,,,,A,,CHEMBL618658,1,,BAO_0000218,17847,Solubility was determined,1,,,Rattus norvegicus,Intermediate,,,7536,10116.0
,N,50597,,,,A,,CHEMBL618659,1,,BAO_0000218,15339,solubility in water (ug/mL) at 37 degree C.,1,,,Rattus norvegicus,Intermediate,,,7537,10116.0
,N,50597,,,,A,,CHEMBL618660,1,,BAO_0000218,5202,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,1,,,Rattus norvegicus,Intermediate,,,7538,10116.0
,N,50597,,,,A,,CHEMBL618661,1,,BAO_0000218,1088,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1,,,Rattus norvegicus,Intermediate,,,7539,10116.0
,N,50597,,,,A,,CHEMBL873807,1,,BAO_0000218,3169,Half life in rats,1,,,Rattus norvegicus,Intermediate,,,7540,10116.0
,N,50597,,,,A,,CHEMBL618662,1,,BAO_0000218,5353,Half life in Dawley rat,1,,,Rattus norvegicus,Intermediate,,,7541,10116.0
,N,50597,,,In vivo,A,,CHEMBL618663,1,,BAO_0000218,2864,Half life period after 3 mg/kg iv administration,1,,,Rattus norvegicus,Intermediate,,,7542,10116.0
,N,50597,,,In vivo,A,,CHEMBL618664,1,,BAO_0000218,2864,Half life period after 3 mg/kg iv administration in rat,1,,,Rattus norvegicus,Intermediate,,,7543,10116.0
,N,50597,,,In vivo,A,,CHEMBL618665,1,,BAO_0000218,2864,Half life period after 3 mg/kg iv administration in the rat,1,,,Rattus norvegicus,Intermediate,,,7544,10116.0
,N,50597,,,,A,,CHEMBL876498,1,,BAO_0000218,6362,Half life period in female Sprague-Dawley rats,1,,,Rattus norvegicus,Intermediate,,,7545,10116.0
,N,50597,,,,A,,CHEMBL618666,1,,BAO_0000218,6249,Half life period in rat,1,,,Rattus norvegicus,Intermediate,,,7546,10116.0
,N,50597,,,,A,,CHEMBL620440,1,,BAO_0000218,3169,Half-life in rats was determined,1,,,Rattus norvegicus,Intermediate,,,7547,10116.0
,N,50597,,,,A,,CHEMBL620441,1,,BAO_0000218,3169,Half-life in rats with metabolic oxidation,1,,,Rattus norvegicus,Intermediate,,,7548,10116.0
,N,50597,,,,A,,CHEMBL620442,1,,BAO_0000218,3169,Half-life in rats,1,,,Rattus norvegicus,Intermediate,,,7549,10116.0
,N,50597,,,In vivo,A,,CHEMBL620443,1,,BAO_0000218,17260,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,,Rattus norvegicus,Intermediate,,,7550,10116.0
,N,50597,,,In vivo,A,,CHEMBL620444,1,,BAO_0000218,17260,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,,Rattus norvegicus,Intermediate,,,7551,10116.0
,N,50597,,,In vivo,A,,CHEMBL620445,1,,BAO_0000218,17260,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,,Rattus norvegicus,Intermediate,,,7552,10116.0
,N,50597,,,In vivo,A,,CHEMBL620446,1,,BAO_0000218,17260,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,,Rattus norvegicus,Intermediate,,,7553,10116.0
,N,50597,,,,A,1969.0,CHEMBL620447,1,,BAO_0000218,2879,Biological half-life measured in plasma of rat,1,,Plasma,Rattus norvegicus,Intermediate,,,7554,10116.0
,N,50597,,,,A,1969.0,CHEMBL621129,1,,BAO_0000218,2879,Biological half-life measured in plasma of rat; 22-25,1,,Plasma,Rattus norvegicus,Intermediate,,,7555,10116.0
,N,50597,,,,A,1969.0,CHEMBL621130,1,,BAO_0000218,2879,Biological half-life measured in plasma of rat; 9-16,1,,Plasma,Rattus norvegicus,Intermediate,,,7556,10116.0
