assay_strain,src_assay_id,description,cell_id,tid,assay_organism,curated_by,tissue_id,assay_tax_id,assay_id,assay_test_type,assay_cell_type,variant_id,assay_category,assay_tissue,assay_type,src_id,bao_format,doc_id,confidence_score,chembl_id,assay_subcellular_fraction,relationship_type
,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,12052,,Autocuration,,,1,,,,,,B,1,BAO_0000019,11087,8,CHEMBL615117,,H
,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,22226,,Autocuration,,,2,,,,,,F,1,BAO_0000219,684,0,CHEMBL615118,,U
,,,,22226,,Autocuration,,,3,,,,,,B,1,BAO_0000019,15453,0,CHEMBL615119,,U
,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,104729,Bos taurus,Autocuration,,9913.0,4,,,,,,B,1,BAO_0000249,17841,4,CHEMBL615120,,H
,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,80001,Homo sapiens,Intermediate,,9606.0,5,,143B,,,,F,1,BAO_0000219,17430,1,CHEMBL615121,,N
,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,80001,Homo sapiens,Intermediate,,9606.0,6,,143B,,,,F,1,BAO_0000219,17430,1,CHEMBL615122,,N
,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,163.0,80001,Mus musculus,Intermediate,,10090.0,7,,143B,,,,F,1,BAO_0000219,13799,1,CHEMBL615123,,N
,,In vitro cell cytotoxicity was determined against 143B cell line,163.0,80001,Homo sapiens,Expert,,9606.0,8,,143B,,,,F,1,BAO_0000219,17774,1,CHEMBL615124,,N
,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,163.0,80001,Homo sapiens,Intermediate,,9606.0,9,,143B,,,,F,1,BAO_0000219,3801,1,CHEMBL615125,,N
,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,80001,Homo sapiens,Intermediate,,9606.0,10,,143B,,,,F,1,BAO_0000219,17430,1,CHEMBL615126,,N
,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,80001,Homo sapiens,Intermediate,,9606.0,11,,143B,,,,F,1,BAO_0000219,17430,1,CHEMBL615127,,N
,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,163.0,80001,Homo sapiens,Expert,,9606.0,12,,143B,,,,F,1,BAO_0000219,17774,1,CHEMBL615128,,N
,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185,Staphylococcus aureus,Intermediate,,1280.0,13,,,,,,F,1,BAO_0000218,11324,1,CHEMBL857900,,N
,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185,Staphylococcus aureus,Intermediate,,1280.0,14,,,,,,F,1,BAO_0000218,11324,1,CHEMBL615129,,N
,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185,Staphylococcus aureus,Intermediate,,1280.0,15,,,,,,F,1,BAO_0000218,11324,1,CHEMBL615130,,N
,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185,Staphylococcus aureus,Intermediate,,1280.0,16,,,,,,F,1,BAO_0000218,11324,1,CHEMBL615131,,N
,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,100122,Rattus norvegicus,Expert,,10116.0,17,,,,,,A,1,BAO_0000357,11347,9,CHEMBL884521,,D
,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,12054,,Autocuration,,,18,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615132,,H
,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,12054,,Autocuration,,,19,,,,,,B,1,BAO_0000019,10091,8,CHEMBL615133,,H
,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,12054,,Autocuration,,,20,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615134,,H
,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,12054,,Autocuration,,,21,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615135,,H
,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,12054,,Autocuration,,,22,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615136,,H
,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,12054,,Autocuration,,,23,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615137,,H
,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,12054,,Autocuration,,,24,,,,,,B,1,BAO_0000357,16474,8,CHEMBL615138,,H
,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,22226,,Autocuration,,,25,,,,,,B,1,BAO_0000219,14352,0,CHEMBL836324,,U
,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,12054,Oryctolagus cuniculus,Autocuration,,9986.0,26,,,,,,B,1,BAO_0000357,5646,8,CHEMBL615139,,H
,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,12054,Oryctolagus cuniculus,Autocuration,,9986.0,27,,,,,,B,1,BAO_0000357,5646,8,CHEMBL615140,,H
,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,12426,,Autocuration,,,28,,,,,,B,1,BAO_0000219,10997,8,CHEMBL615141,,H
,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,12054,soya bean,Autocuration,,3847.0,29,,,,,,B,1,BAO_0000357,6309,8,CHEMBL615142,,H
,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,12054,Glycine max,Autocuration,,3847.0,30,,,,,,B,1,BAO_0000357,167,8,CHEMBL615143,,H
,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,12054,Glycine max,Autocuration,,3847.0,31,,,,,,B,1,BAO_0000357,167,8,CHEMBL615144,,H
,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,12054,Glycine max,Autocuration,,3847.0,32,,,,,,B,1,BAO_0000357,11087,8,CHEMBL872867,,H
,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,12054,Glycine max,Autocuration,,3847.0,33,,,,,,B,1,BAO_0000357,11087,8,CHEMBL615145,,H
,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,12054,Glycine max,Autocuration,,3847.0,34,,,,,,B,1,BAO_0000357,13622,8,CHEMBL615146,,H
,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,12054,Glycine max,Autocuration,,3847.0,35,,,,,,B,1,BAO_0000357,13622,8,CHEMBL615147,,H
,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,22226,Rattus norvegicus,Autocuration,,10116.0,36,,,,,,A,1,BAO_0000019,11347,0,CHEMBL615148,,U
,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,22226,Escherichia coli,Autocuration,,562.0,37,,,,,,B,1,BAO_0000019,5926,0,CHEMBL615149,,U
,,Dissociation constant with dimeric 16S rRNA RNA construct B,,22226,,Autocuration,,,38,,,,,,B,1,BAO_0000019,4567,0,CHEMBL615150,,U
,,Dissociation constant towards 16S rRNA construct A,,22222,,Intermediate,,,39,,,,,,B,1,BAO_0000225,3782,3,CHEMBL615151,,M
,,Dissociation constant towards 16S rRNA construct B,,22222,,Intermediate,,,40,,,,,,B,1,BAO_0000225,3782,3,CHEMBL615152,,M
,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,100263,Escherichia coli,Expert,,562.0,41,,,,,,B,1,BAO_0000225,4466,3,CHEMBL615153,,M
,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,100263,Escherichia coli,Expert,,562.0,42,,,,,,B,1,BAO_0000225,6592,3,CHEMBL615154,,M
,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053,,Autocuration,,,43,,,,,,B,1,BAO_0000019,898,8,CHEMBL615155,,H
,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053,,Autocuration,,,44,,,,,,B,1,BAO_0000019,898,8,CHEMBL615156,,H
,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,20001,Homo sapiens,Autocuration,,9606.0,45,,,,,,B,1,BAO_0000019,13163,8,CHEMBL615157,,H
,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,20001,Homo sapiens,Autocuration,,9606.0,46,,,,,,B,1,BAO_0000019,13163,8,CHEMBL615158,,H
,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,12971,Rattus norvegicus,Expert,,10116.0,47,,,,,,B,1,BAO_0000019,10691,9,CHEMBL615159,,D
,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,12971,Rattus norvegicus,Expert,,10116.0,48,,,,,,B,1,BAO_0000019,10691,9,CHEMBL615172,,D
,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,12971,Rattus norvegicus,Expert,,10116.0,49,,,,,,B,1,BAO_0000019,10691,9,CHEMBL615173,,D
,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,12971,Rattus norvegicus,Expert,,10116.0,50,,,,,,B,1,BAO_0000019,10691,9,CHEMBL615174,,D
,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053,,Autocuration,,,51,,,,,,B,1,BAO_0000019,898,8,CHEMBL884518,,H
,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,11512,,Autocuration,,,52,,,,,,B,1,BAO_0000357,912,8,CHEMBL615175,,H
,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,11512,,Autocuration,,,53,,,,,,B,1,BAO_0000357,912,8,CHEMBL615176,,H
,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,11512,,Autocuration,,,54,,,,,,B,1,BAO_0000357,912,8,CHEMBL615177,,H
,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,104740,Rattus norvegicus,Autocuration,,10116.0,55,,,,,,B,1,BAO_0000249,15103,5,CHEMBL615178,Membranes,D
,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,506.0,80002,Homo sapiens,Intermediate,,9606.0,56,,1A9,,,,F,1,BAO_0000219,5116,1,CHEMBL615179,,N
,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,104835,Rattus norvegicus,Autocuration,,10116.0,57,,Oocytes,,,,F,1,BAO_0000219,14578,7,CHEMBL615180,,D
,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,104821,Rattus norvegicus,Autocuration,,10116.0,58,,Oocytes,,,,F,1,BAO_0000219,14578,7,CHEMBL615181,,D
,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,104848,Rattus norvegicus,Autocuration,,10116.0,59,,Oocytes,,,,F,1,BAO_0000219,14578,7,CHEMBL615182,,D
,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,506.0,80002,Homo sapiens,Expert,,9606.0,60,,1A9,,,,F,1,BAO_0000219,4787,1,CHEMBL615183,,N
,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,506.0,80002,Homo sapiens,Intermediate,,9606.0,61,,1A9,,,,F,1,BAO_0000219,4787,1,CHEMBL615184,,N
,,Cytotoxic activity against human ovarian cancer (1A9) cell line,506.0,80002,Homo sapiens,Intermediate,,9606.0,62,,1A9,,,,F,1,BAO_0000219,3547,1,CHEMBL615185,,N
,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,506.0,80002,Homo sapiens,Intermediate,,9606.0,63,,1A9,,,,F,1,BAO_0000219,3547,1,CHEMBL615186,,N
,,Effective dose of compound against replication of 1A9 cell line was evaluated,506.0,80002,Homo sapiens,Intermediate,,9606.0,64,,1A9,,,,F,1,BAO_0000219,6726,1,CHEMBL615187,,N
,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,506.0,80002,Homo sapiens,Expert,,9606.0,65,,1A9,,,,F,1,BAO_0000219,3455,1,CHEMBL885343,,N
,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),506.0,80002,Homo sapiens,Intermediate,,9606.0,66,,1A9,,,,F,1,BAO_0000219,5726,1,CHEMBL615188,,N
,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,506.0,80002,Homo sapiens,Intermediate,,9606.0,67,,1A9,,,,F,1,BAO_0000219,5726,1,CHEMBL615189,,N
,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,506.0,80002,Homo sapiens,Intermediate,,9606.0,68,,1A9,,,,F,1,BAO_0000219,5726,1,CHEMBL615190,,N
,,Inhibitory activity against Taxol resistant 1A9 cell lines,506.0,80002,Homo sapiens,Intermediate,,9606.0,69,,1A9,,,,F,1,BAO_0000219,3395,1,CHEMBL615191,,N
,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,506.0,80002,Homo sapiens,Expert,,9606.0,70,,1A9,,,,F,1,BAO_0000219,3415,1,CHEMBL615192,,N
,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,506.0,80002,Homo sapiens,Expert,,9606.0,71,,1A9,,,,F,1,BAO_0000219,3415,1,CHEMBL827083,,N
,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,506.0,80002,Homo sapiens,Expert,,9606.0,72,,1A9,,,,F,1,BAO_0000219,17099,1,CHEMBL615193,,N
,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,506.0,80002,Homo sapiens,Intermediate,,9606.0,73,,1A9,,,,F,1,BAO_0000219,17099,1,CHEMBL615194,,N
,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,506.0,80002,Homo sapiens,Intermediate,,9606.0,74,,1A9,,,,F,1,BAO_0000219,17099,1,CHEMBL615195,,N
,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,506.0,80002,Homo sapiens,Intermediate,,9606.0,75,,1A9,,,,F,1,BAO_0000219,17099,1,CHEMBL615196,,N
,,Inhibitory concentration against Jurkat cells,503.0,81072,Homo sapiens,Intermediate,,9606.0,76,,Jurkat,,,,F,1,BAO_0000219,17721,1,CHEMBL615197,,N
,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,22226,,Intermediate,,,77,,,,,,F,1,BAO_0000019,1229,0,CHEMBL615198,,U
,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,100121,Rattus norvegicus,Expert,,10116.0,78,,,,,,A,1,BAO_0000357,11347,9,CHEMBL615199,,D
,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,11231,,Expert,,,79,,,,,,B,1,BAO_0000357,17117,8,CHEMBL615200,,H
,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,11231,,Expert,,,80,,,,,,B,1,BAO_0000357,17117,8,CHEMBL615201,,H
,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,11231,,Expert,,,81,,,,,,B,1,BAO_0000357,17117,8,CHEMBL615202,,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,11231,Candida albicans,Autocuration,,5476.0,82,,,,,,B,1,BAO_0000251,11375,8,CHEMBL615203,Microsomes,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,11231,Candida albicans,Autocuration,,5476.0,83,,,,,,B,1,BAO_0000251,11375,8,CHEMBL615204,Microsomes,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,11231,Saccharomyces cerevisiae,Autocuration,,4932.0,84,,,,,,B,1,BAO_0000251,11375,8,CHEMBL615205,Microsomes,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,11231,Saccharomyces cerevisiae,Autocuration,,4932.0,85,,,,,,B,1,BAO_0000251,11375,8,CHEMBL615206,Microsomes,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,12083,Sus scrofa,Autocuration,2107.0,9823.0,86,,,,,Liver,B,1,BAO_0000251,11375,8,CHEMBL615207,Microsomes,H
,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,11231,Rattus norvegicus,Autocuration,,10116.0,87,,,,,,B,1,BAO_0000019,791,8,CHEMBL827084,,H
,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,11231,Rattus norvegicus,Autocuration,,10116.0,88,,,,,,B,1,BAO_0000019,791,8,CHEMBL615208,,H
,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,11231,Rattus norvegicus,Autocuration,,10116.0,89,,,,,,B,1,BAO_0000019,791,8,CHEMBL615209,,H
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,12083,Rattus norvegicus,Autocuration,2107.0,10116.0,90,,,,,Liver,B,1,BAO_0000251,11375,9,CHEMBL615210,Microsomes,D
