assays_ss_strn,assays_src_d,assays_ss_cll_tp,assays_vrnt_d,assays_ss_tst_tp,assays_ss_rgnsm,assays_b_frmt,assays_ss_tp,assays_rltnshp_tp,assays_src_ss_d,assays_ss_d,assays_chmbl_d,assays_ss_tss,assays_ss_sbclllr_frctn,assays_dc_d,assays_tss_d,assays_crtd_b,assays_ss_tx_d,assays_dscrptn,assays_cnfdnc_scr,assays_cll_d,assays_td,assays_ss_ctgr
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7524,CHEMBL618647,Kidney,,9866,2113.0,Intermediate,10116.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7525,CHEMBL618648,Kidney,,9866,2113.0,Intermediate,10116.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7526,CHEMBL618649,Kidney,,9866,2113.0,Intermediate,10116.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7527,CHEMBL618650,Liver,,9866,2107.0,Intermediate,10116.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7528,CHEMBL618651,Liver,,9866,2107.0,Intermediate,10116.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7529,CHEMBL876497,Liver,,9866,2107.0,Intermediate,10116.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7530,CHEMBL618652,Lung,,9866,2048.0,Intermediate,10116.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7531,CHEMBL618653,Lung,,9866,2048.0,Intermediate,10116.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7532,CHEMBL618654,Lung,,9866,2048.0,Intermediate,10116.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7533,CHEMBL618655,,,6351,,Intermediate,10116.0,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7534,CHEMBL618656,,,1465,,Intermediate,10116.0,Compound was tested for solubility in water,1,,50597,
