curated_by,assay_category,src_id,assay_cell_type,assay_strain,description,assay_subcellular_fraction,chembl_id,relationship_type,confidence_score,src_assay_id,cell_id,assay_organism,assay_tax_id,bao_format,tid,variant_id,assay_id,assay_tissue,doc_id,assay_type,assay_test_type,tissue_id
Autocuration,,1,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,CHEMBL615117,H,8,,,,,BAO_0000019,12052,,1,,11087,B,,
Autocuration,,1,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,CHEMBL615118,U,0,,,,,BAO_0000219,22226,,2,,684,F,,
Autocuration,,1,,,,,CHEMBL615119,U,0,,,,,BAO_0000019,22226,,3,,15453,B,,
Autocuration,,1,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,CHEMBL615120,H,4,,,Bos taurus,9913.0,BAO_0000249,104729,,4,,17841,B,,
Intermediate,,1,143B,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615121,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,5,,17430,F,,
Intermediate,,1,143B,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615122,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,6,,17430,F,,
Intermediate,,1,143B,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,CHEMBL615123,N,1,,163.0,Mus musculus,10090.0,BAO_0000219,80001,,7,,13799,F,,
Expert,,1,143B,,In vitro cell cytotoxicity was determined against 143B cell line,,CHEMBL615124,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,8,,17774,F,,
Intermediate,,1,143B,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,CHEMBL615125,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,9,,3801,F,,
Intermediate,,1,143B,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615126,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,10,,17430,F,,
Intermediate,,1,143B,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615127,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,11,,17430,F,,
Expert,,1,143B,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,CHEMBL615128,N,1,,163.0,Homo sapiens,9606.0,BAO_0000219,80001,,12,,17774,F,,
Intermediate,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL857900,N,1,,,Staphylococcus aureus,1280.0,BAO_0000218,50185,,13,,11324,F,,
Intermediate,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615129,N,1,,,Staphylococcus aureus,1280.0,BAO_0000218,50185,,14,,11324,F,,
Intermediate,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615130,N,1,,,Staphylococcus aureus,1280.0,BAO_0000218,50185,,15,,11324,F,,
