td,ss_tss,ss_tp,vrnt_d,cll_d,b_frmt,crtd_b,cnfdnc_scr,rltnshp_tp,tss_d,src_d,ss_strn,ss_cll_tp,ss_tst_tp,chmbl_d,ss_ctgr,ss_d,ss_sbclllr_frctn,src_ss_d,dscrptn,dc_d,ss_rgnsm,ss_tx_d
50597,Kidney,A,,,BAO_0000218,Intermediate,1,N,2113.0,1,,,In vivo,CHEMBL618647,,7524,,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,Kidney,A,,,BAO_0000218,Intermediate,1,N,2113.0,1,,,In vivo,CHEMBL618648,,7525,,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,10116.0
50597,Kidney,A,,,BAO_0000218,Intermediate,1,N,2113.0,1,,,In vivo,CHEMBL618649,,7526,,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,Liver,A,,,BAO_0000218,Intermediate,1,N,2107.0,1,,,In vivo,CHEMBL618650,,7527,,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,Liver,A,,,BAO_0000218,Intermediate,1,N,2107.0,1,,,In vivo,CHEMBL618651,,7528,,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,10116.0
50597,Liver,A,,,BAO_0000218,Intermediate,1,N,2107.0,1,,,In vivo,CHEMBL876497,,7529,,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,Lung,A,,,BAO_0000218,Intermediate,1,N,2048.0,1,,,In vivo,CHEMBL618652,,7530,,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,Lung,A,,,BAO_0000218,Intermediate,1,N,2048.0,1,,,In vivo,CHEMBL618653,,7531,,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,10116.0
50597,Lung,A,,,BAO_0000218,Intermediate,1,N,2048.0,1,,,In vivo,CHEMBL618654,,7532,,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618655,,7533,,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,6351,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618656,,7534,,,Compound was tested for solubility in water,1465,Rattus norvegicus,10116.0
22229,,P,,,BAO_0000100,Intermediate,0,U,,1,,,,CHEMBL618657,,7535,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),5182,,
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618658,,7536,,,Solubility was determined,17847,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618659,,7537,,,solubility in water (ug/mL) at 37 degree C.,15339,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618660,,7538,,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,5202,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618661,,7539,,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1088,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL873807,,7540,,,Half life in rats,3169,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618662,,7541,,,Half life in Dawley rat,5353,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL618663,,7542,,,Half life period after 3 mg/kg iv administration,2864,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL618664,,7543,,,Half life period after 3 mg/kg iv administration in rat,2864,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL618665,,7544,,,Half life period after 3 mg/kg iv administration in the rat,2864,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL876498,,7545,,,Half life period in female Sprague-Dawley rats,6362,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL618666,,7546,,,Half life period in rat,6249,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL620440,,7547,,,Half-life in rats was determined,3169,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL620441,,7548,,,Half-life in rats with metabolic oxidation,3169,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,,CHEMBL620442,,7549,,,Half-life in rats,3169,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL620443,,7550,,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,17260,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL620444,,7551,,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,17260,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL620445,,7552,,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,17260,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL620446,,7553,,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,17260,Rattus norvegicus,10116.0
50597,Plasma,A,,,BAO_0000218,Intermediate,1,N,1969.0,1,,,,CHEMBL620447,,7554,,,Biological half-life measured in plasma of rat,2879,Rattus norvegicus,10116.0
50597,Plasma,A,,,BAO_0000218,Intermediate,1,N,1969.0,1,,,,CHEMBL621129,,7555,,,Biological half-life measured in plasma of rat; 22-25,2879,Rattus norvegicus,10116.0
50597,Plasma,A,,,BAO_0000218,Intermediate,1,N,1969.0,1,,,,CHEMBL621130,,7556,,,Biological half-life measured in plasma of rat; 9-16,2879,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL873808,,7557,,,Compound was evaluated for its half life when administered intravenously in rat,3184,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL876598,,7558,,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,4891,Rattus norvegicus,10116.0
50597,,A,,,BAO_0000218,Intermediate,1,N,,1,,,In vivo,CHEMBL621131,,7559,,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,429,Rattus norvegicus,10116.0
