assay_tissue,bao_format,assay_strain,relationship_type,assay_subcellular_fraction,description,src_id,assay_cell_type,assay_tax_id,assay_type,assay_organism,tissue_id,confidence_score,curated_by,chembl_id,src_assay_id,assay_id,assay_test_type,variant_id,tid,doc_id,cell_id,assay_category
,BAO_0000019,,H,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,,,B,,,8,Autocuration,CHEMBL615117,,1,,,12052,11087,,
,BAO_0000219,,U,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,1,,,F,,,0,Autocuration,CHEMBL615118,,2,,,22226,684,,
,BAO_0000019,,U,,,1,,,B,,,0,Autocuration,CHEMBL615119,,3,,,22226,15453,,
,BAO_0000249,,H,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,1,,9913.0,B,Bos taurus,,4,Autocuration,CHEMBL615120,,4,,,104729,17841,,
,BAO_0000219,,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,143B,9606.0,F,Homo sapiens,,1,Intermediate,CHEMBL615121,,5,,,80001,17430,163.0,
,BAO_0000219,,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,143B,9606.0,F,Homo sapiens,,1,Intermediate,CHEMBL615122,,6,,,80001,17430,163.0,
,BAO_0000219,,N,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,143B,10090.0,F,Mus musculus,,1,Intermediate,CHEMBL615123,,7,,,80001,13799,163.0,
,BAO_0000219,,N,,In vitro cell cytotoxicity was determined against 143B cell line,1,143B,9606.0,F,Homo sapiens,,1,Expert,CHEMBL615124,,8,,,80001,17774,163.0,
,BAO_0000219,,N,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,143B,9606.0,F,Homo sapiens,,1,Intermediate,CHEMBL615125,,9,,,80001,3801,163.0,
,BAO_0000219,,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,143B,9606.0,F,Homo sapiens,,1,Intermediate,CHEMBL615126,,10,,,80001,17430,163.0,
,BAO_0000219,,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,143B,9606.0,F,Homo sapiens,,1,Intermediate,CHEMBL615127,,11,,,80001,17430,163.0,
,BAO_0000219,,N,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,143B,9606.0,F,Homo sapiens,,1,Expert,CHEMBL615128,,12,,,80001,17774,163.0,
,BAO_0000218,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,1280.0,F,Staphylococcus aureus,,1,Intermediate,CHEMBL857900,,13,,,50185,11324,,
,BAO_0000218,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,1280.0,F,Staphylococcus aureus,,1,Intermediate,CHEMBL615129,,14,,,50185,11324,,
,BAO_0000218,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,1280.0,F,Staphylococcus aureus,,1,Intermediate,CHEMBL615130,,15,,,50185,11324,,
,BAO_0000218,,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,1280.0,F,Staphylococcus aureus,,1,Intermediate,CHEMBL615131,,16,,,50185,11324,,
,BAO_0000357,,D,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,1,,10116.0,A,Rattus norvegicus,,9,Expert,CHEMBL884521,,17,,,100122,11347,,
,BAO_0000357,,H,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),1,,,B,,,8,Autocuration,CHEMBL615132,,18,,,12054,16474,,
,BAO_0000019,,H,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,1,,,B,,,8,Autocuration,CHEMBL615133,,19,,,12054,10091,,
,BAO_0000357,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,,B,,,8,Autocuration,CHEMBL615134,,20,,,12054,16474,,
,BAO_0000357,,H,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),1,,,B,,,8,Autocuration,CHEMBL615135,,21,,,12054,16474,,
,BAO_0000357,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,,B,,,8,Autocuration,CHEMBL615136,,22,,,12054,16474,,
,BAO_0000357,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,,B,,,8,Autocuration,CHEMBL615137,,23,,,12054,16474,,
,BAO_0000357,,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,,B,,,8,Autocuration,CHEMBL615138,,24,,,12054,16474,,
,BAO_0000219,,U,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",1,,,B,,,0,Autocuration,CHEMBL836324,,25,,,22226,14352,,
,BAO_0000357,,H,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,1,,9986.0,B,Oryctolagus cuniculus,,8,Autocuration,CHEMBL615139,,26,,,12054,5646,,
,BAO_0000357,,H,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),1,,9986.0,B,Oryctolagus cuniculus,,8,Autocuration,CHEMBL615140,,27,,,12054,5646,,
,BAO_0000219,,H,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,1,,,B,,,8,Autocuration,CHEMBL615141,,28,,,12426,10997,,
,BAO_0000357,,H,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,1,,3847.0,B,soya bean,,8,Autocuration,CHEMBL615142,,29,,,12054,6309,,
,BAO_0000357,,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL615143,,30,,,12054,167,,
,BAO_0000357,,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL615144,,31,,,12054,167,,
,BAO_0000357,,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL872867,,32,,,12054,11087,,
,BAO_0000357,,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL615145,,33,,,12054,11087,,
,BAO_0000357,,H,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL615146,,34,,,12054,13622,,
,BAO_0000357,,H,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,3847.0,B,Glycine max,,8,Autocuration,CHEMBL615147,,35,,,12054,13622,,
