variant_id,doc_id,confidence_score,bao_format,description,tid,assay_test_type,assay_tissue,chembl_id,curated_by,assay_tax_id,assay_subcellular_fraction,relationship_type,assay_category,assay_type,assay_id,assay_strain,cell_id,assay_organism,src_id,src_assay_id,tissue_id,assay_cell_type
,11087,8,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,,,CHEMBL615117,Autocuration,,,H,,B,1,,,,1,,,
,684,0,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,,,CHEMBL615118,Autocuration,,,U,,F,2,,,,1,,,
,15453,0,BAO_0000019,,22226,,,CHEMBL615119,Autocuration,,,U,,B,3,,,,1,,,
,17841,4,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,,,CHEMBL615120,Autocuration,9913.0,,H,,B,4,,,Bos taurus,1,,,
,17430,1,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,,,CHEMBL615121,Intermediate,9606.0,,N,,F,5,,163.0,Homo sapiens,1,,,143B
,17430,1,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,,,CHEMBL615122,Intermediate,9606.0,,N,,F,6,,163.0,Homo sapiens,1,,,143B
,13799,1,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,,,CHEMBL615123,Intermediate,10090.0,,N,,F,7,,163.0,Mus musculus,1,,,143B
,17774,1,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,80001,,,CHEMBL615124,Expert,9606.0,,N,,F,8,,163.0,Homo sapiens,1,,,143B
,3801,1,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,,,CHEMBL615125,Intermediate,9606.0,,N,,F,9,,163.0,Homo sapiens,1,,,143B
,17430,1,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,,,CHEMBL615126,Intermediate,9606.0,,N,,F,10,,163.0,Homo sapiens,1,,,143B
,17430,1,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,,,CHEMBL615127,Intermediate,9606.0,,N,,F,11,,163.0,Homo sapiens,1,,,143B
