ASSI,ASTETY,CHEI,ASSTR,ASCETY,DOI,RELATT,CONFSCO,CUB,SI,SRASI,CI,BFO,TII,VARII
7524,In vivo,CHEMBL618647,,,9866,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7525,In vivo,CHEMBL618648,,,9866,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7526,In vivo,CHEMBL618649,,,9866,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7527,In vivo,CHEMBL618650,,,9866,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7528,In vivo,CHEMBL618651,,,9866,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7529,In vivo,CHEMBL876497,,,9866,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7530,In vivo,CHEMBL618652,,,9866,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7531,In vivo,CHEMBL618653,,,9866,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7532,In vivo,CHEMBL618654,,,9866,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7533,,CHEMBL618655,,,6351,N,1,Intermediate,1,,,BAO_0000218,,
7534,,CHEMBL618656,,,1465,N,1,Intermediate,1,,,BAO_0000218,,
7535,,CHEMBL618657,,,5182,U,0,Intermediate,1,,,BAO_0000100,,
7536,,CHEMBL618658,,,17847,N,1,Intermediate,1,,,BAO_0000218,,
7537,,CHEMBL618659,,,15339,N,1,Intermediate,1,,,BAO_0000218,,
7538,,CHEMBL618660,,,5202,N,1,Intermediate,1,,,BAO_0000218,,
7539,,CHEMBL618661,,,1088,N,1,Intermediate,1,,,BAO_0000218,,
7540,,CHEMBL873807,,,3169,N,1,Intermediate,1,,,BAO_0000218,,
7541,,CHEMBL618662,,,5353,N,1,Intermediate,1,,,BAO_0000218,,
7542,In vivo,CHEMBL618663,,,2864,N,1,Intermediate,1,,,BAO_0000218,,
7543,In vivo,CHEMBL618664,,,2864,N,1,Intermediate,1,,,BAO_0000218,,
7544,In vivo,CHEMBL618665,,,2864,N,1,Intermediate,1,,,BAO_0000218,,
7545,,CHEMBL876498,,,6362,N,1,Intermediate,1,,,BAO_0000218,,
7546,,CHEMBL618666,,,6249,N,1,Intermediate,1,,,BAO_0000218,,
7547,,CHEMBL620440,,,3169,N,1,Intermediate,1,,,BAO_0000218,,
7548,,CHEMBL620441,,,3169,N,1,Intermediate,1,,,BAO_0000218,,
7549,,CHEMBL620442,,,3169,N,1,Intermediate,1,,,BAO_0000218,,
7550,In vivo,CHEMBL620443,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7551,In vivo,CHEMBL620444,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7552,In vivo,CHEMBL620445,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7553,In vivo,CHEMBL620446,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7554,,CHEMBL620447,,,2879,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7555,,CHEMBL621129,,,2879,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7556,,CHEMBL621130,,,2879,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7557,In vivo,CHEMBL873808,,,3184,N,1,Intermediate,1,,,BAO_0000218,,
7558,In vivo,CHEMBL876598,,,4891,N,1,Intermediate,1,,,BAO_0000218,,
7559,In vivo,CHEMBL621131,,,429,N,1,Intermediate,1,,,BAO_0000218,,
7560,In vivo,CHEMBL621132,,,5656,N,1,Intermediate,1,,,BAO_0000218,,
7561,In vivo,CHEMBL621133,,,4413,N,1,Intermediate,1,,,BAO_0000218,,
7562,In vivo,CHEMBL621312,,,3598,N,1,Expert,1,,,BAO_0000218,,
7563,,CHEMBL621313,,,17267,N,1,Intermediate,1,,,BAO_0000218,,
7564,,CHEMBL621314,,,4727,N,1,Intermediate,1,,,BAO_0000218,178.0,
7565,In vivo,CHEMBL621315,,,17651,N,1,Intermediate,1,,,BAO_0000218,,
7566,In vivo,CHEMBL621316,,,17651,N,1,Intermediate,1,,,BAO_0000218,,
7567,,CHEMBL621317,,,401,N,1,Intermediate,1,,,BAO_0000218,,
7568,,CHEMBL621318,,,4942,N,1,Intermediate,1,,,BAO_0000218,,
7569,In vivo,CHEMBL621319,,,17735,N,1,Intermediate,1,,,BAO_0000218,,
7570,In vivo,CHEMBL621377,,,6056,N,1,Intermediate,1,,,BAO_0000218,,
7571,,CHEMBL621378,,,5213,N,1,Intermediate,1,,,BAO_0000218,,
7572,In vivo,CHEMBL876599,,,6616,N,1,Intermediate,1,,,BAO_0000218,,
7573,In vivo,CHEMBL621379,,,5937,N,1,Intermediate,1,,,BAO_0000218,,
7574,,CHEMBL621380,,,5819,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7575,,CHEMBL621381,,,5819,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7576,,CHEMBL618515,,,6803,N,1,Intermediate,1,,,BAO_0000218,,
7577,In vivo,CHEMBL618516,,,17804,N,1,Intermediate,1,,,BAO_0000218,,
7578,In vivo,CHEMBL618517,,,17804,N,1,Intermediate,1,,,BAO_0000218,,
7579,,CHEMBL618518,,,5948,N,1,Intermediate,1,,,BAO_0000218,,
7580,In vivo,CHEMBL618519,,,1916,N,1,Intermediate,1,,,BAO_0000218,,
7581,In vivo,CHEMBL618698,,,1916,N,1,Intermediate,1,,,BAO_0000218,,
7582,In vivo,CHEMBL618862,,,1916,N,1,Intermediate,1,,,BAO_0000218,,
7583,In vivo,CHEMBL618863,,,4890,N,1,Intermediate,1,,,BAO_0000218,,
7584,In vivo,CHEMBL618864,,,17764,N,1,Intermediate,1,,,BAO_0000218,,
7585,In vivo,CHEMBL618865,,,4727,N,1,Intermediate,1,,,BAO_0000218,,
7586,In vivo,CHEMBL618866,,,17509,N,1,Intermediate,1,,,BAO_0000218,,
7587,In vivo,CHEMBL618867,,,17509,N,1,Intermediate,1,,,BAO_0000218,,
7588,,CHEMBL875828,,,6597,N,1,Intermediate,1,,,BAO_0000218,,
7589,In vivo,CHEMBL618868,,,17735,N,1,Intermediate,1,,,BAO_0000218,,
7590,,CHEMBL618869,,,6597,N,1,Intermediate,1,,,BAO_0000218,,
7591,In vivo,CHEMBL618870,,,17670,N,1,Intermediate,1,,,BAO_0000218,,
7592,,CHEMBL618871,,,1696,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7593,,CHEMBL618872,,,1742,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7594,,CHEMBL873816,,,17800,N,1,Intermediate,1,,,BAO_0000218,,
7595,,CHEMBL618873,,,12923,U,0,Autocuration,1,,,BAO_0000218,,
7596,,CHEMBL621602,,,11954,U,0,Autocuration,1,,,BAO_0000019,,
7597,,CHEMBL621603,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7598,,CHEMBL621604,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7599,,CHEMBL621605,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7600,,CHEMBL621606,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7601,,CHEMBL621607,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7602,,CHEMBL621608,,,11954,U,0,Autocuration,1,,,BAO_0000218,,
7603,,CHEMBL621609,,,5237,U,0,Autocuration,1,,,BAO_0000019,,
7604,,CHEMBL621610,,,4026,U,0,Autocuration,1,,,BAO_0000218,,
7605,,CHEMBL621611,,,5237,N,1,Intermediate,1,,,BAO_0000218,,
7606,,CHEMBL621612,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7607,,CHEMBL622308,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7608,,CHEMBL622309,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
