assay_id,src_id,assay_tax_id,assay_cell_type,relationship_type,curated_by,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_strain,assay_tissue
1,1,,,H,Autocuration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,1,,,U,Autocuration,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,1,,,U,Autocuration,15453,,B,,,,,
4,1,9913.0,,H,Autocuration,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,,
5,1,9606.0,143B,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,,
6,1,9606.0,143B,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,,
7,1,10090.0,143B,N,Intermediate,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,,
8,1,9606.0,143B,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,,
9,1,9606.0,143B,N,Intermediate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,,
10,1,9606.0,143B,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,,
11,1,9606.0,143B,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,,
12,1,9606.0,143B,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,,
13,1,1280.0,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
14,1,1280.0,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
15,1,1280.0,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
16,1,1280.0,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
17,1,10116.0,,D,Expert,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,,
18,1,,,H,Autocuration,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,1,,,H,Autocuration,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,1,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,1,,,H,Autocuration,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,1,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,1,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,1,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,1,,,U,Autocuration,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,1,9986.0,,H,Autocuration,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,,
27,1,9986.0,,H,Autocuration,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,,
28,1,,,H,Autocuration,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,1,3847.0,,H,Autocuration,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,,
30,1,3847.0,,H,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,,
31,1,3847.0,,H,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,,
32,1,3847.0,,H,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,,
33,1,3847.0,,H,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,,
34,1,3847.0,,H,Autocuration,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,,
35,1,3847.0,,H,Autocuration,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,,
36,1,10116.0,,U,Autocuration,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,,
37,1,562.0,,U,Autocuration,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,,
