assay_id,confidence_score,variant_id,tissue_id,relationship_type,curated_by,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
1,8,,,H,Autocuration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,0,,,U,Autocuration,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,0,,,U,Autocuration,15453,,B,,,,,
4,4,,,H,Autocuration,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,9913.0,
5,1,,,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,
6,1,,,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,
7,1,,,N,Intermediate,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,10090.0,
8,1,,,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,9606.0,
9,1,,,N,Intermediate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,9606.0,
10,1,,,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,
11,1,,,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,
12,1,,,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,9606.0,
13,1,,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
14,1,,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
15,1,,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
16,1,,,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
17,9,,,D,Expert,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
18,8,,,H,Autocuration,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,8,,,H,Autocuration,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,8,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,8,,,H,Autocuration,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,8,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,8,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,8,,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,0,,,U,Autocuration,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,8,,,H,Autocuration,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986.0,
27,8,,,H,Autocuration,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986.0,
28,8,,,H,Autocuration,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,8,,,H,Autocuration,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0,
30,8,,,H,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0,
