assay_id,assay_subcellular_fraction,assay_organism,description,relationship_type,assay_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id
7524,,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL618647,,BAO_0000218,2113.0,
7525,,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,N,A,1,Intermediate,1,,CHEMBL618648,,BAO_0000218,2113.0,
7526,,Rattus norvegicus,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL618649,,BAO_0000218,2113.0,
7527,,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL618650,,BAO_0000218,2107.0,
7528,,Rattus norvegicus,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,N,A,1,Intermediate,1,,CHEMBL618651,,BAO_0000218,2107.0,
7529,,Rattus norvegicus,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL876497,,BAO_0000218,2107.0,
7530,,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL618652,,BAO_0000218,2048.0,
7531,,Rattus norvegicus,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,N,A,1,Intermediate,1,,CHEMBL618653,,BAO_0000218,2048.0,
7532,,Rattus norvegicus,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,N,A,1,Intermediate,1,,CHEMBL618654,,BAO_0000218,2048.0,
7533,,Rattus norvegicus,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,N,A,1,Intermediate,1,,CHEMBL618655,,BAO_0000218,,
7534,,Rattus norvegicus,Compound was tested for solubility in water,N,A,1,Intermediate,1,,CHEMBL618656,,BAO_0000218,,
7535,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),U,P,0,Intermediate,1,,CHEMBL618657,,BAO_0000100,,
7536,,Rattus norvegicus,Solubility was determined,N,A,1,Intermediate,1,,CHEMBL618658,,BAO_0000218,,
7537,,Rattus norvegicus,solubility in water (ug/mL) at 37 degree C.,N,A,1,Intermediate,1,,CHEMBL618659,,BAO_0000218,,
7538,,Rattus norvegicus,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,N,A,1,Intermediate,1,,CHEMBL618660,,BAO_0000218,,
7539,,Rattus norvegicus,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,N,A,1,Intermediate,1,,CHEMBL618661,,BAO_0000218,,
7540,,Rattus norvegicus,Half life in rats,N,A,1,Intermediate,1,,CHEMBL873807,,BAO_0000218,,
7541,,Rattus norvegicus,Half life in Dawley rat,N,A,1,Intermediate,1,,CHEMBL618662,,BAO_0000218,,
7542,,Rattus norvegicus,Half life period after 3 mg/kg iv administration,N,A,1,Intermediate,1,,CHEMBL618663,,BAO_0000218,,
7543,,Rattus norvegicus,Half life period after 3 mg/kg iv administration in rat,N,A,1,Intermediate,1,,CHEMBL618664,,BAO_0000218,,
7544,,Rattus norvegicus,Half life period after 3 mg/kg iv administration in the rat,N,A,1,Intermediate,1,,CHEMBL618665,,BAO_0000218,,
7545,,Rattus norvegicus,Half life period in female Sprague-Dawley rats,N,A,1,Intermediate,1,,CHEMBL876498,,BAO_0000218,,
7546,,Rattus norvegicus,Half life period in rat,N,A,1,Intermediate,1,,CHEMBL618666,,BAO_0000218,,
7547,,Rattus norvegicus,Half-life in rats was determined,N,A,1,Intermediate,1,,CHEMBL620440,,BAO_0000218,,
7548,,Rattus norvegicus,Half-life in rats with metabolic oxidation,N,A,1,Intermediate,1,,CHEMBL620441,,BAO_0000218,,
7549,,Rattus norvegicus,Half-life in rats,N,A,1,Intermediate,1,,CHEMBL620442,,BAO_0000218,,
7550,,Rattus norvegicus,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,A,1,Intermediate,1,,CHEMBL620443,,BAO_0000218,,
7551,,Rattus norvegicus,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,A,1,Intermediate,1,,CHEMBL620444,,BAO_0000218,,
7552,,Rattus norvegicus,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,N,A,1,Intermediate,1,,CHEMBL620445,,BAO_0000218,,
7553,,Rattus norvegicus,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,N,A,1,Intermediate,1,,CHEMBL620446,,BAO_0000218,,
7554,,Rattus norvegicus,Biological half-life measured in plasma of rat,N,A,1,Intermediate,1,,CHEMBL620447,,BAO_0000218,1969.0,
7555,,Rattus norvegicus,Biological half-life measured in plasma of rat; 22-25,N,A,1,Intermediate,1,,CHEMBL621129,,BAO_0000218,1969.0,
7556,,Rattus norvegicus,Biological half-life measured in plasma of rat; 9-16,N,A,1,Intermediate,1,,CHEMBL621130,,BAO_0000218,1969.0,
7557,,Rattus norvegicus,Compound was evaluated for its half life when administered intravenously in rat,N,A,1,Intermediate,1,,CHEMBL873808,,BAO_0000218,,
7558,,Rattus norvegicus,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,N,A,1,Intermediate,1,,CHEMBL876598,,BAO_0000218,,
7559,,Rattus norvegicus,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,N,A,1,Intermediate,1,,CHEMBL621131,,BAO_0000218,,
7560,,Rattus norvegicus,Half life (T1/2) after oral administration in rat,N,A,1,Intermediate,1,,CHEMBL621132,,BAO_0000218,,
7561,,Rattus norvegicus,Half life of compound after iv administration of 20 mg/kg dose in rat,N,A,1,Intermediate,1,,CHEMBL621133,,BAO_0000218,,
7562,,Rattus norvegicus,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,N,A,1,Expert,1,,CHEMBL621312,,BAO_0000218,,
7563,,Rattus norvegicus,Half life of compound was determined in rat,N,A,1,Intermediate,1,,CHEMBL621313,,BAO_0000218,,
7564,,Rattus norvegicus,Half life of compound was determined in rat blood,N,A,1,Intermediate,1,,CHEMBL621314,,BAO_0000218,178.0,
7565,,Rattus norvegicus,Half life at 1 mg/kg was determined in rat,N,A,1,Intermediate,1,,CHEMBL621315,,BAO_0000218,,
7566,,Rattus norvegicus,Half life at 10 mg/kg was determined in rat,N,A,1,Intermediate,1,,CHEMBL621316,,BAO_0000218,,
7567,,Rattus norvegicus,Half life in rats,N,A,1,Intermediate,1,,CHEMBL621317,,BAO_0000218,,
7568,,Rattus norvegicus,Half life in rats in hours,N,A,1,Intermediate,1,,CHEMBL621318,,BAO_0000218,,
7569,,Rattus norvegicus,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,N,A,1,Intermediate,1,,CHEMBL621319,,BAO_0000218,,
7570,,Rattus norvegicus,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,N,A,1,Intermediate,1,,CHEMBL621377,,BAO_0000218,,
7571,,Rattus norvegicus,Half life was determined,N,A,1,Intermediate,1,,CHEMBL621378,,BAO_0000218,,
7572,,Rattus norvegicus,Half life after i.v. administration,N,A,1,Intermediate,1,,CHEMBL876599,,BAO_0000218,,
7573,,Rattus norvegicus,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,N,A,1,Intermediate,1,,CHEMBL621379,,BAO_0000218,,
7574,,Rattus norvegicus,Half life in rat plasma,N,A,1,Intermediate,1,,CHEMBL621380,,BAO_0000218,1969.0,
7575,,Rattus norvegicus,Half life in rat plasma; Not detected,N,A,1,Intermediate,1,,CHEMBL621381,,BAO_0000218,1969.0,
7576,,Rattus norvegicus,Half life in rats,N,A,1,Intermediate,1,,CHEMBL618515,,BAO_0000218,,
7577,,Rattus norvegicus,Half life period of compound was determined after peroral administration,N,A,1,Intermediate,1,,CHEMBL618516,,BAO_0000218,,
7578,,Rattus norvegicus,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,N,A,1,Intermediate,1,,CHEMBL618517,,BAO_0000218,,
7579,,Rattus norvegicus,Half life period in rat,N,A,1,Intermediate,1,,CHEMBL618518,,BAO_0000218,,
7580,,Rattus norvegicus,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,N,A,1,Intermediate,1,,CHEMBL618519,,BAO_0000218,,
7581,,Rattus norvegicus,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,N,A,1,Intermediate,1,,CHEMBL618698,,BAO_0000218,,
7582,,Rattus norvegicus,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,N,A,1,Intermediate,1,,CHEMBL618862,,BAO_0000218,,
7583,,Rattus norvegicus,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,N,A,1,Intermediate,1,,CHEMBL618863,,BAO_0000218,,
7584,,Rattus norvegicus,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,N,A,1,Intermediate,1,,CHEMBL618864,,BAO_0000218,,
7585,,Rattus norvegicus,Half life time in rat the dose of 2 mg/kg,N,A,1,Intermediate,1,,CHEMBL618865,,BAO_0000218,,
7586,,Rattus norvegicus,Half-life 24 hr after 10 mg/kg iv administration in rats,N,A,1,Intermediate,1,,CHEMBL618866,,BAO_0000218,,
7587,,Rattus norvegicus,Half-life 24 hr after 2 mg/kg iv administration in rats,N,A,1,Intermediate,1,,CHEMBL618867,,BAO_0000218,,
7588,,Rattus norvegicus,Half-life consistent with the observed metabolic steady state in rats,N,A,1,Intermediate,1,,CHEMBL875828,,BAO_0000218,,
