assay_id,curated_by,assay_organism,variant_id,assay_strain,doc_id,assay_category,assay_test_type,assay_subcellular_fraction,tid,assay_type,description,assay_tax_id,assay_tissue,assay_cell_type,relationship_type,confidence_score
1,Auyochration,,,,11087,,,,12052,B,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,H,8
2,Au4ocutation,,,,684,,,,22226,F,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,U,0
3,Autkcu3ation,,,,15453,,,,22226,B,,,,,U,0
4,wutocutation,Bosta6rus,,,17841,,,,104729,B,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,9913.0,,,H,4
5,Intermedistf,H8nosapiens,,,17430,,,,80001,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,,143B,N,1
6,untermediatd,Homosa9i3ns,,,17430,,,,80001,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,,143B,N,1
7,Intermediay3,Musmusculkc,,,13799,,,,80001,F,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,10090.0,,143B,N,1
8,Exper5,Homoszoiens,,,17774,,,,80001,F,In vitro cell cytotoxicity was determined against 143B cell line,9606.0,,143B,N,1
9,Ibterjediate,Homlsaplens,,,3801,,,,80001,F,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,9606.0,,143B,N,1
10,8nterjediate,monosapiens,,,17430,,,,80001,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,,143B,N,1
11,lntwrmediate,Homlzapiens,,,17430,,,,80001,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,,143B,N,1
12,Expdrt,bomksapiens,,,17774,,,,80001,F,In vitro cell cytotoxicity was determined against 143B-LTK cell line,9606.0,,143B,N,1
13,Ibterm2diate,Staphylocovfusw6reus,,,11324,,,,50185,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,,,N,1
