assay_id,assay_organism,tissue_id,chembl_id,description,assay_test_type,doc_id,assay_tissue,tid,variant_id,assay_category,bao_format,src_assay_id,curated_by,assay_subcellular_fraction,assay_tax_id,assay_type,assay_strain,assay_cell_type
1,,,CHEMBL615117,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,11087,,12052,,,BAO_0000019,,Autocuration,,,B,,
2,,,CHEMBL615118,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,684,,22226,,,BAO_0000219,,Autocuration,,,F,,
3,,,CHEMBL615119,,,15453,,22226,,,BAO_0000019,,Autocuration,,,B,,
4,Bos taurus,,CHEMBL615120,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,17841,,104729,,,BAO_0000249,,Autocuration,,9913.0,B,,
5,Homo sapiens,,CHEMBL615121,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,17430,,80001,,,BAO_0000219,,Intermediate,,9606.0,F,,143B
6,Homo sapiens,,CHEMBL615122,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,17430,,80001,,,BAO_0000219,,Intermediate,,9606.0,F,,143B
7,Mus musculus,,CHEMBL615123,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,13799,,80001,,,BAO_0000219,,Intermediate,,10090.0,F,,143B
8,Homo sapiens,,CHEMBL615124,In vitro cell cytotoxicity was determined against 143B cell line,,17774,,80001,,,BAO_0000219,,Expert,,9606.0,F,,143B
9,Homo sapiens,,CHEMBL615125,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,3801,,80001,,,BAO_0000219,,Intermediate,,9606.0,F,,143B
10,Homo sapiens,,CHEMBL615126,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,17430,,80001,,,BAO_0000219,,Intermediate,,9606.0,F,,143B
11,Homo sapiens,,CHEMBL615127,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,17430,,80001,,,BAO_0000219,,Intermediate,,9606.0,F,,143B
12,Homo sapiens,,CHEMBL615128,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,17774,,80001,,,BAO_0000219,,Expert,,9606.0,F,,143B
13,Staphylococcus aureus,,CHEMBL857900,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,50185,,,BAO_0000218,,Intermediate,,1280.0,F,,
14,Staphylococcus aureus,,CHEMBL615129,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,50185,,,BAO_0000218,,Intermediate,,1280.0,F,,
15,Staphylococcus aureus,,CHEMBL615130,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,50185,,,BAO_0000218,,Intermediate,,1280.0,F,,
16,Staphylococcus aureus,,CHEMBL615131,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,11324,,50185,,,BAO_0000218,,Intermediate,,1280.0,F,,
17,Rattus norvegicus,,CHEMBL884521,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,11347,,100122,,,BAO_0000357,,Expert,,10116.0,A,,
18,,,CHEMBL615132,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
19,,,CHEMBL615133,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,10091,,12054,,,BAO_0000019,,Autocuration,,,B,,
20,,,CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
21,,,CHEMBL615135,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
22,,,CHEMBL615136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
23,,,CHEMBL615137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
24,,,CHEMBL615138,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,16474,,12054,,,BAO_0000357,,Autocuration,,,B,,
25,,,CHEMBL836324,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,14352,,22226,,,BAO_0000219,,Autocuration,,,B,,
26,Oryctolagus cuniculus,,CHEMBL615139,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,5646,,12054,,,BAO_0000357,,Autocuration,,9986.0,B,,
27,Oryctolagus cuniculus,,CHEMBL615140,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,5646,,12054,,,BAO_0000357,,Autocuration,,9986.0,B,,
28,,,CHEMBL615141,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,10997,,12426,,,BAO_0000219,,Autocuration,,,B,,
29,soya bean,,CHEMBL615142,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,6309,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
30,Glycine max,,CHEMBL615143,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,167,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
31,Glycine max,,CHEMBL615144,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,167,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
32,Glycine max,,CHEMBL872867,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,11087,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
33,Glycine max,,CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,11087,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
