assays_ASI,assays_ASSORG,assays_ASCA,assays_TII,assays_ASSTI,assays_ASTT,assays_ASST,assays_SRI,assays_SRASSI,assays_DOI,assays_RELT,assays_Ti,assays_ASSCT,assays_CONFISC,assays_ASSTIS,assay_type,assays_CHEI,assays_CI,assays_BFO,assays_VARI
7524,Rattus norvegicus,,2113.0,10116.0,In vivo,,1,,9866,N,50597,,1,Kidney,A,CHEMBL618647,,BAO_0000218,
7525,Rattus norvegicus,,2113.0,10116.0,In vivo,,1,,9866,N,50597,,1,Kidney,A,CHEMBL618648,,BAO_0000218,
7526,Rattus norvegicus,,2113.0,10116.0,In vivo,,1,,9866,N,50597,,1,Kidney,A,CHEMBL618649,,BAO_0000218,
7527,Rattus norvegicus,,2107.0,10116.0,In vivo,,1,,9866,N,50597,,1,Liver,A,CHEMBL618650,,BAO_0000218,
7528,Rattus norvegicus,,2107.0,10116.0,In vivo,,1,,9866,N,50597,,1,Liver,A,CHEMBL618651,,BAO_0000218,
7529,Rattus norvegicus,,2107.0,10116.0,In vivo,,1,,9866,N,50597,,1,Liver,A,CHEMBL876497,,BAO_0000218,
7530,Rattus norvegicus,,2048.0,10116.0,In vivo,,1,,9866,N,50597,,1,Lung,A,CHEMBL618652,,BAO_0000218,
7531,Rattus norvegicus,,2048.0,10116.0,In vivo,,1,,9866,N,50597,,1,Lung,A,CHEMBL618653,,BAO_0000218,
7532,Rattus norvegicus,,2048.0,10116.0,In vivo,,1,,9866,N,50597,,1,Lung,A,CHEMBL618654,,BAO_0000218,
7533,Rattus norvegicus,,,10116.0,,,1,,6351,N,50597,,1,,A,CHEMBL618655,,BAO_0000218,
7534,Rattus norvegicus,,,10116.0,,,1,,1465,N,50597,,1,,A,CHEMBL618656,,BAO_0000218,
7535,,,,,,,1,,5182,U,22229,,0,,P,CHEMBL618657,,BAO_0000100,
7536,Rattus norvegicus,,,10116.0,,,1,,17847,N,50597,,1,,A,CHEMBL618658,,BAO_0000218,
7537,Rattus norvegicus,,,10116.0,,,1,,15339,N,50597,,1,,A,CHEMBL618659,,BAO_0000218,
7538,Rattus norvegicus,,,10116.0,,,1,,5202,N,50597,,1,,A,CHEMBL618660,,BAO_0000218,
7539,Rattus norvegicus,,,10116.0,,,1,,1088,N,50597,,1,,A,CHEMBL618661,,BAO_0000218,
7540,Rattus norvegicus,,,10116.0,,,1,,3169,N,50597,,1,,A,CHEMBL873807,,BAO_0000218,
7541,Rattus norvegicus,,,10116.0,,,1,,5353,N,50597,,1,,A,CHEMBL618662,,BAO_0000218,
7542,Rattus norvegicus,,,10116.0,In vivo,,1,,2864,N,50597,,1,,A,CHEMBL618663,,BAO_0000218,
7543,Rattus norvegicus,,,10116.0,In vivo,,1,,2864,N,50597,,1,,A,CHEMBL618664,,BAO_0000218,
7544,Rattus norvegicus,,,10116.0,In vivo,,1,,2864,N,50597,,1,,A,CHEMBL618665,,BAO_0000218,
7545,Rattus norvegicus,,,10116.0,,,1,,6362,N,50597,,1,,A,CHEMBL876498,,BAO_0000218,
7546,Rattus norvegicus,,,10116.0,,,1,,6249,N,50597,,1,,A,CHEMBL618666,,BAO_0000218,
7547,Rattus norvegicus,,,10116.0,,,1,,3169,N,50597,,1,,A,CHEMBL620440,,BAO_0000218,
7548,Rattus norvegicus,,,10116.0,,,1,,3169,N,50597,,1,,A,CHEMBL620441,,BAO_0000218,
7549,Rattus norvegicus,,,10116.0,,,1,,3169,N,50597,,1,,A,CHEMBL620442,,BAO_0000218,
7550,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL620443,,BAO_0000218,
7551,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL620444,,BAO_0000218,
7552,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL620445,,BAO_0000218,
7553,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL620446,,BAO_0000218,
7554,Rattus norvegicus,,1969.0,10116.0,,,1,,2879,N,50597,,1,Plasma,A,CHEMBL620447,,BAO_0000218,
7555,Rattus norvegicus,,1969.0,10116.0,,,1,,2879,N,50597,,1,Plasma,A,CHEMBL621129,,BAO_0000218,
7556,Rattus norvegicus,,1969.0,10116.0,,,1,,2879,N,50597,,1,Plasma,A,CHEMBL621130,,BAO_0000218,
7557,Rattus norvegicus,,,10116.0,In vivo,,1,,3184,N,50597,,1,,A,CHEMBL873808,,BAO_0000218,
7558,Rattus norvegicus,,,10116.0,In vivo,,1,,4891,N,50597,,1,,A,CHEMBL876598,,BAO_0000218,
7559,Rattus norvegicus,,,10116.0,In vivo,,1,,429,N,50597,,1,,A,CHEMBL621131,,BAO_0000218,
7560,Rattus norvegicus,,,10116.0,In vivo,,1,,5656,N,50597,,1,,A,CHEMBL621132,,BAO_0000218,
7561,Rattus norvegicus,,,10116.0,In vivo,,1,,4413,N,50597,,1,,A,CHEMBL621133,,BAO_0000218,
7562,Rattus norvegicus,,,10116.0,In vivo,,1,,3598,N,50597,,1,,A,CHEMBL621312,,BAO_0000218,
7563,Rattus norvegicus,,,10116.0,,,1,,17267,N,50597,,1,,A,CHEMBL621313,,BAO_0000218,
7564,Rattus norvegicus,,178.0,10116.0,,,1,,4727,N,50597,,1,Blood,A,CHEMBL621314,,BAO_0000218,
7565,Rattus norvegicus,,,10116.0,In vivo,,1,,17651,N,50597,,1,,A,CHEMBL621315,,BAO_0000218,
7566,Rattus norvegicus,,,10116.0,In vivo,,1,,17651,N,50597,,1,,A,CHEMBL621316,,BAO_0000218,
7567,Rattus norvegicus,,,10116.0,,,1,,401,N,50597,,1,,A,CHEMBL621317,,BAO_0000218,
7568,Rattus norvegicus,,,10116.0,,,1,,4942,N,50597,,1,,A,CHEMBL621318,,BAO_0000218,
7569,Rattus norvegicus,,,10116.0,In vivo,,1,,17735,N,50597,,1,,A,CHEMBL621319,,BAO_0000218,
7570,Rattus norvegicus,,,10116.0,In vivo,,1,,6056,N,50597,,1,,A,CHEMBL621377,,BAO_0000218,
7571,Rattus norvegicus,,,10116.0,,,1,,5213,N,50597,,1,,A,CHEMBL621378,,BAO_0000218,
7572,Rattus norvegicus,,,10116.0,In vivo,,1,,6616,N,50597,,1,,A,CHEMBL876599,,BAO_0000218,
7573,Rattus norvegicus,,,10116.0,In vivo,,1,,5937,N,50597,,1,,A,CHEMBL621379,,BAO_0000218,
7574,Rattus norvegicus,,1969.0,10116.0,,,1,,5819,N,50597,,1,Plasma,A,CHEMBL621380,,BAO_0000218,
7575,Rattus norvegicus,,1969.0,10116.0,,,1,,5819,N,50597,,1,Plasma,A,CHEMBL621381,,BAO_0000218,
7576,Rattus norvegicus,,,10116.0,,,1,,6803,N,50597,,1,,A,CHEMBL618515,,BAO_0000218,
7577,Rattus norvegicus,,,10116.0,In vivo,,1,,17804,N,50597,,1,,A,CHEMBL618516,,BAO_0000218,
7578,Rattus norvegicus,,,10116.0,In vivo,,1,,17804,N,50597,,1,,A,CHEMBL618517,,BAO_0000218,
7579,Rattus norvegicus,,,10116.0,,,1,,5948,N,50597,,1,,A,CHEMBL618518,,BAO_0000218,
7580,Rattus norvegicus,,,10116.0,In vivo,,1,,1916,N,50597,,1,,A,CHEMBL618519,,BAO_0000218,
7581,Rattus norvegicus,,,10116.0,In vivo,,1,,1916,N,50597,,1,,A,CHEMBL618698,,BAO_0000218,
7582,Rattus norvegicus,,,10116.0,In vivo,,1,,1916,N,50597,,1,,A,CHEMBL618862,,BAO_0000218,
7583,Rattus norvegicus,,,10116.0,In vivo,,1,,4890,N,50597,,1,,A,CHEMBL618863,,BAO_0000218,
7584,Rattus norvegicus,,,10116.0,In vivo,,1,,17764,N,50597,,1,,A,CHEMBL618864,,BAO_0000218,
7585,Rattus norvegicus,,,10116.0,In vivo,,1,,4727,N,50597,,1,,A,CHEMBL618865,,BAO_0000218,
7586,Rattus norvegicus,,,10116.0,In vivo,,1,,17509,N,50597,,1,,A,CHEMBL618866,,BAO_0000218,
7587,Rattus norvegicus,,,10116.0,In vivo,,1,,17509,N,50597,,1,,A,CHEMBL618867,,BAO_0000218,
7588,Rattus norvegicus,,,10116.0,,,1,,6597,N,50597,,1,,A,CHEMBL875828,,BAO_0000218,
7589,Rattus norvegicus,,,10116.0,In vivo,,1,,17735,N,50597,,1,,A,CHEMBL618868,,BAO_0000218,
7590,Rattus norvegicus,,,10116.0,,,1,,6597,N,50597,,1,,A,CHEMBL618869,,BAO_0000218,
7591,Rattus norvegicus,,,10116.0,In vivo,,1,,17670,N,50597,,1,,A,CHEMBL618870,,BAO_0000218,
7592,Rattus norvegicus,,1969.0,10116.0,,,1,,1696,N,50597,,1,Plasma,A,CHEMBL618871,,BAO_0000218,
7593,Rattus norvegicus,,1969.0,10116.0,,,1,,1742,N,50597,,1,Plasma,A,CHEMBL618872,,BAO_0000218,
7594,Rattus norvegicus,,,10116.0,,,1,,17800,N,50597,,1,,A,CHEMBL873816,,BAO_0000218,
7595,,,,,,,1,,12923,U,22224,,0,,A,CHEMBL618873,,BAO_0000218,
7596,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621602,,BAO_0000019,
7597,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621603,,BAO_0000218,
7598,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621604,,BAO_0000218,
7599,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621605,,BAO_0000218,
7600,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621606,,BAO_0000218,
7601,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621607,,BAO_0000218,
