id,Style,ABV,Beer_Name,Brew_Factory_Name
0,American Strong Ale,8 %,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;
1,Amber Ale,6 %,4 Hands Reprise Centennial Red Ale,4 Hands Brewing Company
2,India Pale Ale &#40; IPA &#41;,6.50 %,10 Barrel Backdraft IPA,10 Barrel Brewing &#40; AB InBev &#41;
3,Amber Ale,-,Gore Range Fly Fisher Red Ale,Gore Range Brewery
4,Stout,5.50 %,Naked Dove Nice & Naughty Christmas Ale,Naked Dove Brewing
5,Amber Ale,5.80 %,10 Barrel Amber Waves of Grain,10 Barrel Brewing &#40; AB InBev &#41;
6,Brown Ale,4.70 %,Barley Station Bushwacker Brown,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;
7,Amber Ale,5.50 %,Blackfoot River MacKenzie River Driftboat Amber,Blackfoot River Brewing
8,Amber Ale,8 %,Brewerie Apparition Amber Ale,The Brewerie at Union Station
9,Irish Ale,5.20 %,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works
10,Belgian Ale,5 %,3 Sheeps Rebel Kent The First - Red Wine Barrel,3 Sheeps Brewing Company
11,Amber Ale,5 %,Esbjerg Mikrobryg Amber Ale,_ lgod Bryghus
12,Amber Ale,4.80 %,Red Duck Amber Ale,Purrumbete Brewing
13,Amber Ale,5.20 %,Big Rig Rideau Red,Big Rig Brewery
14,Amber Ale,5.70 %,Quimera Amber Ale,Casa Cervecera Quinta Normal
15,Amber Ale,5.50 %,People_s Aberrant Amber,People_s Brewing Company
16,Amber Ale,5.30 %,Northwest Chinook Copper Ale,Northwest Brewing Company
17,Amber Ale,5.30 %,11 Below Oso Bueno Amber Ale,11 Below Brewing Company
18,Amber Ale,5.50 %,Mt. Shasta Abner Weed Amber Ale,Mt. Shasta Brewing Company
19,Amber Ale,6.90 %,Burley Oak Assawoman Amber,Burley Oak Brewing Company
20,Amber Ale,5 %,Catawba Valley Indian Head Red,Catawba Valley Brewing Company
21,Amber Ale,6.10 %,Grayton Beer 1890 Founder_s Ale,Grayton Beer
22,American Strong Ale,8.50 %,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company
23,American Pale Ale,6 %,Sherwood Mistress Jades Hemp Ale,Sherwood Brewing Company
24,American Pale Ale,5.50 %,Cumberland Red Tape Pale Ale,Cumberland Brewing &#40; BC &#41;
25,Premium Bitter/ESB,5.70 %,Birrificio CitaBiunda Cinnamon Girl,Birrificio CitaBiunda
26,Amber Ale,5.10 %,Blue Elephant Red Devil,Blue Elephant Craft Brew House
27,Amber Ale,5.90 %,Fairhope I Drink Therefore I Amber,Fairhope Brewing Company
28,Amber Ale,5.30 %,Revolution Battle of Wil_s,Revolution Brewing Company
29,Amber Ale,5.10 %,MacTarnahans Amber Ale &#40; Macs Ale &#41;,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;
30,Foreign Stout,7.50 %,Beryl_s Firecatcher,Beryl_s Beer Company
31,Amber Ale,-,Back Street Rita Red Ale,Back Street Brewery
32,Spice/Herb/Vegetable,8 %,Exile Chill Clinton Double Hemp Amber Ale,Exile Brewing Company
33,Amber Ale,6.50 %,Backwoods Big Cedar I.R.A,Backwoods Brewing Company
34,Amber Ale,4.70 %,Durham Red Dragon,County Durham Brewing
35,Amber Ale,5.30 %,Palmetto Amber Ale,Palmetto Brewing Company
36,Irish Ale,6.30 %,Constantine Red Rooster Irish Ale,Constantine Brewing Company
37,Spice/Herb/Vegetable,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company
38,Amber Ale,5 %,Big Bear Mountain Red Ant Hill Red Ale,Big Bear Mountain Brewery
39,Amber Ale,5.40 %,Veterans United Scout Dog 44,Veterans United Craft Brewery
40,Amber Lager/Vienna,5.50 %,Black Lotus Red Tao,Black Lotus Brewing Company
41,Amber Ale,5.80 %,Out of Bounds Rusted Butte Red Ale,Out of Bounds Brewing Company
42,Amber Ale,6 %,Persimmon Hollow Paddle Wheeler Red Ale,Persimmon Hollow Brewing Company
43,Amber Ale,5.30 %,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e
44,Amber Ale,6 %,Rock Art Stowe Mountain Lodge Hourglass Ale,Rock Art Brewery
45,Irish Ale,6.50 %,Motorworks Roll Cage Red Ale,Motorworks Brewing
46,Smoked,-,Back Yard Rainmaker Ale,Back Yard Brewing Company
47,Golden Ale/Blond Ale,5.30 %,Abbeydale Absolution,Abbeydale
48,Amber Ale,5 %,Argilla Amber Ale,Argilla Brewing Company
49,Bitter,4 %,Bays Topsail,Bays
50,Amber Ale,7.10 %,Cannonball Creek Victorville Red,Cannonball Creek Brewing Company
51,Amber Ale,-,RJ King Wingwalker Winter Brew &#40; -2007 &#41;,City Brewery &#40; Melanie Brewing Co &#41;
52,Sweet Stout,6.80 %,Breakside Mocha Salted Caramel Stout,Breakside Brewery
53,Specialty Grain,5.80 %,Legends Bistro Plucky Rooster Ale,Legends Bistro
54,American Pale Ale,5.50 %,23 Brewing Company # 1 Pale Ale &#40; # 1 &#28129; &#33394; &#33406; &#29246; &#41;,23 Brewing Company
55,Amber Ale,5 %,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company
56,India Pale Ale &#40; IPA &#41;,7 %,Half Acre Ginger Twin India Red Ale,Half Acre Beer Company
57,Amber Ale,8.60 %,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing
58,Amber Ale,7.20 %,Begyle Pancake Junkie,Begyle Brewing Company
59,India Pale Ale &#40; IPA &#41;,7 %,Naked City Screening Room Red,Naked City Brewing
60,Amber Ale,6.50 %,Block 15 Ridgeback Red,Block 15 Brewery
61,Amber Ale,5.10 %,Du Lac Saint-Jean Boutefeu,Microbrasserie du Lac Saint-Jean
62,Amber Ale,5.10 %,Generations Pretzel City Amber,Generations Brewing Company
63,American Strong Ale,9 %,Marble Imperial Red Ale,Marble Brewery
64,American Strong Ale,7.70 %,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company
65,Amber Ale,-,8th Wonder Coffee Mocha Feight,8th Wonder Brewery
66,Amber Ale,5.40 %,Old Rail Rusted Rail Ale,Old Rail Brewing Company
67,American Pale Ale,-,Black Rock Anthracite Ale,Black Rock Brewing Company
68,Amber Ale,5 %,Paradox Red Ale,Paradox Brewery
69,Sour/Wild Ale,3.25 %,Brewers Art Scarlet Fever,The Brewers Art
70,Amber Ale,-,Bricktown 46 Star Oklahoma Amber Ale,Bricktown Brewery
71,Amber Ale,5 %,Franklins Rubber Chicken Red Ale,Brewery & General Store
72,Amber Ale,6.30 %,Falling Sky Retrograde Red,Falling Sky Brewing
73,Belgian Ale,5.50 %,18th Street Barrel Aged Cock Fight,18th Street Brewery
74,Spice/Herb/Vegetable,8.50 %,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company
75,American Strong Ale,10.80 %,Ladyface Reyes Adobe Imperial Red,Ladyface Ale Companie
76,Irish Ale,6.10 %,Town Hall Festivus 2014,Minneapolis Town Hall Brewery
77,Amber Ale,5.20 %,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery
78,Irish Ale,-,Echo Indian Red Ale,Echo Brewing Company
79,India Pale Ale &#40; IPA &#41;,6 %,Mother Earth Righteously Hopped Red IPA,Mother Earth Brew Company
80,Black IPA,4.90 %,Bike Dog Lost and Found,Bike Dog Brewing Company
81,Amber Ale,5.80 %,Big Bear Grizzly Red Ale,Big Bear Brewing Company
82,American Strong Ale,8.10 %,Middleton Bobcat Imperial Red,Middleton Brewing
83,Amber Ale,6 %,City Star Red Necktar,City Star Brewing
84,Amber Ale,5.80 %,Brass Cannon Muzzle Flash Amber Ale,Brass Cannon Brewing
85,Amber Ale,6 %,Five Points Hook Island Red,Five Points Brewing Company
86,KÃ ¶ lsch,8 %,Beaus Haters Gon na Hate,Beaus All Natural Brewing Co. .
87,Oktoberfest/M Ã $ rzen,5.60 %,American Sky Bomber Series # 3 - Red Tail Oktoberfest,Hudson Brewing Company
88,Brown Ale,5 %,Ocho Reales Ale,Sierra Madre Brewing Co. ( Mexico )
89,Amber Ale,5.50 %,American Sky Amber Salute,Hudson Brewing Company
90,American Strong Ale,7.80 %,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;
91,Spice/Herb/Vegetable,5.60 %,Blue Moon Spiced Amber Ale,Coors Brewing Company &#40; MillerCoors &#41;
92,India Pale Ale &#40; IPA &#41;,6.20 %,Burnside Too Sticky to Roll,Burnside Brewing Company &#40; OR &#41;
93,Sour/Wild Ale,5 %,Angry Chair Let My Peaches Be,Angry Chair Brewing
94,Amber Ale,7.20 %,River City &#40; CA &#41; Woodenhead Ale,River City &#40; CA &#41; Brewing
95,Amber Ale,5.10 %,Uncle Billys Hill Country Organic Amber,Uncle Billys Brew & Que Smokehouse & Brewery
96,Amber Ale,6.10 %,Chama River Sunset Red,Chama River Brewing Company
97,Amber Ale,6.60 %,Three Heads Loopy Oatmeal Red Ale,Custom Brewcrafters
98,Amber Ale,4.20 %,Anacortes Especial Red Ale,Rockfish Grill & Anacortes Brewery
99,Irish Ale,-,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point
100,Mead,12 %,Blue Dog Red Collar Mead,Blue Dog Mead Company
101,Stout,5 %,Crooked Can Captain McSwaggers,Crooked Can Brewing Company
102,Amber Ale,5 %,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery
103,Amber Ale,5.80 %,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery
104,California Common,5.10 %,Avery Red Table Common,Avery Brewing Company
105,Sour Red/Brown,-,Bristol Skull & Bones Flanders Red,Bristol Brewing Company
106,Amber Ale,5.70 %,Barley Forge El Paisano,Barley Forge Brewing Company
107,Amber Ale,5.25 %,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery
108,Amber Ale,5.50 %,Gold Camp Georgia_s Agave Amber Ale,Gold Camp Brewing Company
109,German Hefeweizen,5.50 %,Area 51 Planet Red Ale,Area 51 Craft Brewery
110,Amber Ale,5.50 %,Columbus Kashmir,Columbus Brewing Company
111,Amber Ale,-,Bull City Reel Amber,Bull City Burger and Brewery
112,Amber Ale,6.20 %,Solvang Dansk Amber Ale,Solvang Brewing Company
113,Amber Ale,6.80 %,Peak Organic Espresso Amber Ale,Shipyard Brewing Company
114,Golden Ale/Blond Ale,3.80 %,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery
115,Amber Ale,5 %,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company
116,Amber Ale,5.10 %,Roundabout Rusted Route Amber Ale,Roundabout Brewery
117,American Strong Ale,7 %,Iron Hill Big Rye Wibby,Iron Hill Lancaster
118,Amber Lager/Vienna,5 %,4 Hands Vigilante,4 Hands Brewing Company
119,Doppelbock,8 %,Boxing Cat Dragons Fire Doppelbock,Boxing Cat Brewery
120,Amber Ale,5 %,Hamburg House Dressing,Hamburg Brewing Company
121,Amber Ale,7 %,Green Man Blood of My Enemies,Green Man Brewery
122,Bitter,3.60 %,Allendale Evening Chronicle Christmas Beer,Allendale
123,Brown Ale,4.50 %,14th Star Maple Session Brown Ale,14th Star Brewing Company
124,American Strong Ale,11 %,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing
125,Amber Ale,5.50 %,Kettle House Lake Missoula Amber,Kettle House Brewing Company
126,Belgian Strong Ale,-,5 Seasons North Ossabaw Island Ale,5 Seasons North
127,Scottish Ale,6.80 %,Yeastie Boys Hud-a-wa _ Strong,Invercargill Brewery
128,Amber Ale,5.50 %,Haymarket Jananna Dance Red Headed Ale,Haymarket Pub & Brewery
129,India Pale Ale &#40; IPA &#41;,6 %,Independence Brewing ROOD,Independence Brewing Co. .
130,Golden Ale/Blond Ale,4.30 %,Abbeydale Moonshine,Abbeydale
131,American Strong Ale,7.10 %,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids
132,Amber Ale,4.10 %,Woodcock Brothers Amber Ale # 1,Woodcock Brothers Brewing Company
133,Amber Ale,6.40 %,Blind Tiger Little Red Corvette,Blind Tiger
134,India Pale Ale &#40; IPA &#41;,7.10 %,Modus Operandi Former Tenant,Modus Operandi Brewing Co. .
135,American Strong Ale,6.90 %,Glasstown Founders Ale,Glasstown Brewing Company
136,Amber Ale,6.60 %,Mountain Toad Apex Amber,Mountain Toad Brewing
137,Belgian Ale,5.30 %,DaDo Bier Red Ale,DaDo Bier
138,Session IPA,4 %,Coalition Simple India Style Session Ale,Coalition Brewing
139,Amber Ale,5.60 %,Downtown Joes Tail Waggin Amber Ale,Downtown Joes Restaurant & Brewery
140,Amber Ale,5 %,Alexander Keiths Red &#40; Amber Ale &#41;,Oland Brewery &#40; AB-InBev &#41;
141,Amber Ale,7.60 %,Denizens Big Red Norm,Denizens Brewing Company
142,Amber Ale,5.20 %,Coastal Empire Southern Delight,Coastal Empire Beer Co. .
143,American Strong Ale,8.80 %,Big Island / Caldera Red Sea Imperial Red Gose,Big Island Brewhaus
144,Amber Ale,9 %,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery
145,Amber Ale,4 %,Roosters Brewing Two-Bit Amber,Roosters Brewing Co. &#40; US &#41;
146,Brown Ale,8 %,51st Ward Conscious Sedation,Church Street Brewing Company
147,Amber Ale,5.20 %,Great Baraboo Snake Eye Canyon Red Ale,Great Baraboo Brewing Company
148,Amber Ale,-,Bold City European Street Cafe Lamp Post Ale,Bold City Brewery
149,Amber Ale,5.50 %,River Horse Special Ale,River Horse Brewing Company
150,Golden Ale/Blond Ale,4 %,Adkin Alfred_s Galaxy,Adkin
151,Amber Lager/Vienna,5 %,Boxing Cat Ringside Red,Boxing Cat Brewery
152,American Strong Ale,8 %,Cucamonga Jacked Up Red,Cucamonga Brewing Company
153,Amber Ale,5.50 %,North Star Horizons Amber Ale,North Star Craft Brewery
