Fiscal year,Organisation type,Organisation ID,Organisation name,CountryRegion percent,CIDA business delivery model (old),Enviromental sustainability (marker),Status,Amount spent,Project Browser country ID,Bilateral aid (international marker),Maximum CIDA contribution (project-level),Trade development (marker),Branch name,Sector ID,Project number,Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
200i2010,CajadianPrlfk4Making,Indkrmatilnnohavailable,Ihf93mationnotavailqble,0.08123966107188657,Direftive,0,Coosed,195521.96255845093,BD,1,87249730.07531253,0,OGMAsiaPasibic,15150,A017716001,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
10092010,vanadian0rofjtMakkng,Infogjxfionnotavailable,Info5jationnotavaikavle,0.15453175288178891,Didective,0,xlosed,432018.1987622603,BD,1,5984185.332734324,0,OGMAsia9axific,24040,A017716001,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,Canariah0roritMaking,knformafiomnotacailable,Infofmationn9tacailabl4,0.36231666759009584,Di3ective,0,Coosed,673114.9491283547,BD,1,28996365.05643058,0,OGMAzialacific,25020,A017716001,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092019,CajadianNonlrotitMak9ng,10050,Departm4ntlfF9reignAffaorssnvIntefnationaly4ade,0.35472510225774445,Direc6ive,0,Cloced,1102676.6213731985,PS,1,16787203.617444042,0,EGMEurlpsMiddl2EastandMahhren,99810,A018652001,B3100,D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,0.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
10092010,CanadiagNobPr8f9tMaking,10050,DepwdtmegtlfgoreignzffairsandIn42rnational5rade,0.1728726275056004,R2sp0nsive,0,Clos3d,659234.1913008834,ML,1,87430878.3536947,0,WGMSkfSsharanAfrica,16020,A018893001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009e010,xanadixnhonProfitMakigg,10050,DepagtmentofForeignAvfa93sancIjte4natiogalTrace,0.22161559884828871,Rezp8nsive,0,vlosed,373774.98196441226,ML,1,43372945.3445829,0,WGMSubcaharanAv5ica,32310,A018893001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,CanarianhonlrofitMakibg,10050,De0artmentofFote8bnAffak3sandInhermationalyrade,0.47879198926649436,Resplnqive,0,xlosed,961532.7720724391,ML,1,13556689.98299139,0,WGMSubSahafzmAfrica,43030,A018893001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920w0,CagxdiahNonProfitMakijg,10050,Departm3ntorForeignArbairsandInt2rnatipbzlTrqde,0.09661522269311884,Res9ondive,0,Cl8sed,308458.17411441356,PK,1,8247036.802658811,0,OGMAs8aPacibic,15110,A019043001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,CanwdianjonProfihMakijg,10050,De0a3rkentofFordignAffairsandlntednationapTradd,0.00957808102649782,Res00nsive,0,Cposed,476065.4669256838,PK,1,77852249.45754436,0,OGMAs9a9acific,15111,A019043001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanadianNonPrlvitMajinh,10050,DepartmentofForeignsffa7rsagdIjternwt9ojaoT4ade,0.3719831249993846,Respons9fe,0,Ckosed,110800.81855910845,PK,1,23190100.32126452,0,OGMAsizoacific,16010,A019043001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,CanaciahProfifMzking,1000378,eEVPARFINANCIAkCONq7LT9NGLTD,0.624159888157725,Responqiv4,0,Cllsed,266365.7231695106,JM,1,16434643.433857378,0,NGMAmeeidas,24040,A019362001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,CagaxianProfigMaiing,1001165,MMLYNCHvOgSUkTANTSINTrRNwTI9NAL,0.23945787064852328,Respogsivw,0,Ciosed,92155.88418200475,JM,1,49169220.53279496,0,NGMzmrricas,24040,A019362001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,CqnadianProfitMwuint,1000335,CowaferIbterja5ionalInc,0.3753906371018937,Directlve,1,Cloqed,12501.278162222981,EG,1,77355897.37940247,0,EyMEugopeMiddleEastahdjsghreb,15150,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanadiajP5ofitMzklng,1000335,Cowa4erInternzt8ohalInc,0.35961779325160026,sirective,1,Cl0sed,28063.823707337513,EG,1,19552238.819263473,0,EGMEuropeModeleEasfahdnaghreb,24030,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,CsnadiznProditMakinh,1000335,CowayerIn4ernati9galInc,0.18203894736952403,Directide,1,Closdd,356802.31445254694,EG,1,16999759.721009664,0,EGM3udopeMiddleEaxtandMagjreh,25010,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920w0,CznadianProvitMal9ng,1000335,ClwaferIjtefnationalInc,0.5131178519535542,Direftive,1,Closef,500762.0793222249,EG,1,44076080.31782834,0,EGMEuropeMuxdlrEactandMaggreb,32110,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
q0092010,Canadiaml4ofutMaking,1000335,CowagerInfernat8onxlInc,0.7555621141410833,Direc6ive,1,Clozed,626933.2594637296,EG,1,8061232.143325459,0,EGMEuropdMlddleEas5andMarheeb,32130,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092p10,xanadiqnPfofitMaling,1000335,Cowqteg8nternationalInx,0.44154943455547196,Di4ective,1,Closdd,13171.003386872995,EG,1,28830798.203421824,0,EGnwuropeMiddleEastwndMxvhreb,32182,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,CanadiamlrobitMaiing,1000335,CowaterIjtwrnationslInd,0.187053662668513,Direcrive,1,Cl8sed,501719.9167874024,EG,1,65180698.45228226,0,EtMEuro9eMiddleEashandMagt5eb,41010,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092019,CajadianPr8fitMak9jg,1000335,Cowa4erIbt2rnatiinalInc,0.0921327237999365,firective,1,dlosed,739534.7728327375,EG,1,1466813.5988878012,0,EGMEkropeMiddle4asgsndMaghreg,41020,A019608001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20992010,CanadiqnNkh0rofitMaking,10050,DepadtmemtorForeigjAfeaidwandIgternztionalTrade,0.48635995274160504,Direvtive,0,Cloced,729977.1485239549,DZ,1,38972163.90557637,0,3GMfuropeMucdleEasrandMaghreb,43010,A020161001,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,*Algeria,0.0,0.998334353,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,vanaxianNonProtutMaking,10050,Depa3tm2nfofForeignzffai3sandInternz6oonzlTrade,0.792202550688119,Directiv2,0,Clowed,890140.7922689265,HT,1,15253637.28614878,0,jGMAhericas,15150,A020195001,B4400,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
