Fiscal year,Knowledge for development (marker),Fund centre ID,Organisation class,Division name,Climate change adaptation (marker),Project number,CountryRegion percent,Regional program (marker),Organisation ID,Programming process (new),Disability issues (marker),Urban issues (marker),Section ID,PBA type,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
e0092010,0,4122,Indiv9duai,pxDAsiaPtogramming,0,A0177w6o01,0.10400274267975451,0,Informationnotqvallxnle,UncodedPr3A9P,0,0,Sr122,NotPfA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Directive,1,0,0,0,0,0
20002010,0,4122,Indigiduai,OAsAsiaPrlvramming,0,A01y717001,0.46079725149680983,0,Informwtionnotabaooable,UncodexPdeAPP,0,0,S4121,hotPBA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Directive,1,0,0,0,0,0
200o2010,0,4122,Indigidyal,OADzsuaPrkgramming,0,A0176q6001,0.701578836937421,0,Inf9rhationnotqvailablf,7gcodedPreAPP,0,0,S41e2,NotPnA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Directive,1,0,0,0,0,0
20092910,0,4265,Givernmwntal,EDDEurop2MidwleExqtPr0gramking,0,A0186re001,0.13597242985181307,0,10050,Unc0dedPreAoP,0,0,z4264,NotPBz,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,West Bank Gaza & Palestinian Refugees,West Bank Gaza,0.0,0.0,0.0,0,Directive,1,0,0,0,0,0
200920q0,0,4216,Goverjmenfal,1We1estCentralAbrica,0,x0q8893001,0.05660154996754624,0,10050,Uncoded9rezPP,0,1,c4215,NotoBA,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Responsive,1,0,0,0,1,0
2o092010,0,4216,G8ve4nmental,WWxWeatCentralqfgica,0,qp18893001,0.008315844692151186,0,10050,Unc8dedP4eAPP,0,1,S4e15,hotPBA,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Responsive,1,0,0,0,1,0
30092010,0,4216,Govfrbmental,WWDWeetCen4rslAfricx,0,A01889ep01,0.8097952148468853,0,10050,UncodecPreAPl,0,1,e4215,NotPBx,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Responsive,1,0,0,0,1,0
2o092010,0,4124,hobernmental,kAfAsiaP3ogramming,0,A01904w0o1,0.3819522463615131,0,10050,UbcodedlreAPP,0,0,z4141,NotPBz,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Responsive,1,0,0,0,1,0
20092910,0,4124,Governmrntwl,OxDAsiaPdogrammihg,0,A019p4300w,0.6254436659103203,0,10050,knsodedPreAPP,0,0,Se141,NptPBA,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Responsive,1,0,0,0,1,0
e0092010,0,4124,Gocernmehtal,OADssia0rogramminb,0,z01o043001,0.1966163945486,0,10050,UncodedPrewoP,0,0,S4w41,NotPBz,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Responsive,1,0,0,0,1,0
200p2010,0,4439,CivulS8ciety,NDDAmeficas9rogranmibg,0,A019w62o01,0.49067931780016527,0,1000378,UndodedP5eAPP,0,0,S4e29,NoyPBA,Closed,3441416.83,B4400,NGM Americas,D4400,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Responsive,1,0,0,0,0,0
20p92010,0,4439,sivilSodiety,NDfAmericazPeogdamming,0,A0193t20p1,0.10009597721314695,0,1001165,UncieedPreAPP,0,0,q4429,NotlBA,Closed,3441416.83,B4400,NGM Americas,D4400,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Responsive,1,0,0,0,0,0
2009201p,0,4263,CivipSpciety,EDDr8ro9eMiddoeEastProgrsmminn,0,A0186080o1,0.3705345656167817,0,1000335,UmcodedPreAP0,0,0,S42r6,Not9BA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20p92010,0,4263,vivilqociety,frDEuropeMidele3asfPfogramming,0,A019698002,0.7055683359803422,0,1000335,UncodddPrfAPP,0,0,S4e56,N8tPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20092020,0,4263,vivilSpciety,ErDEugop3hixdleEastPfogramming,0,A919607001,0.5025411025505143,0,1000335,UncodecPrdAPP,0,0,c4256,botPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20092019,0,4263,Civilwocieth,EDDEurooeMkddleEwstPfog3ammimg,0,A018609001,0.6357203599575906,0,1000335,yncodedPreA9P,0,0,S4255,NltPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20092020,0,4263,CivikSoc9ety,EDDwuropekixdleEzstProgrsmhing,0,wp19608001,0.4983920199410217,0,1000335,UncoderPreAP9,0,0,S425u,NotPfA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
30092010,0,4263,C9vioSociety,EDvwudppeMiddlesastProgrammung,0,A01960i002,0.48931026268344546,0,1000335,UnfofedPreAPP,0,0,S42t6,NotoBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
200p2010,0,4263,ClvilSocietu,EDDEuro9eMivdpwEwstPeogramming,0,A0196o80p1,0.09328962214639747,0,1000335,kmcodedPreAPP,0,0,S425u,NotPBz,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
