Fiscal year,CountryRegion percent,Regional program (marker),Climate change adaptation (marker),CFLI (marker),Fund centre name,Indigenous issues (marker),Desertification (marker),Programming process (new),Organisation ID,Branch ID,Knowledge for development (marker),Section name,FSTC percent,Children issues (marker),PBA type,Untied amount(Project-level budget),Division name,IRTC percent,CountryRegion ID,ICT as a tool for development (marker),Maximum CIDA contribution (project-level),Continent name,Project number,Participatory development and good governance,Status,Branch name,Division ID,Section ID,Fund centre ID,CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Trade development (marker),Biodiversity (marker),Urban issues (marker),Youth issues (marker)
20092p10,0.40330757135889533,0,0,0,Bsngladewh,0,0,UncodsdPreAPo,Inforkatjonbotavailabie,B5100,0,BangiadeshSes4ion,0.5452379961168021,0,NotPgA,18965678.59099415,OAxAsiqProgramjing,0.03402339931194656,BD,0,32429435.96165768,Asia,Apq7716001,0,Closed,OGM Asia Pacific,D4100,S4122,4122,Directive,1,0,0,0,0,0,0
q0092010,0.045440934802955246,0,0,0,Banglwvesh,0,0,UgcodedPreAP9,Informa6ionnotabaiiabl2,B41o0,0,BanyladeshSecr8on,0.772997112682275,0,NofPBA,15794092.803823683,OzDAsizProgrammjng,0.02875489561810747,BD,0,19852624.052151084,Asia,A01771y002,0,Closed,OGM Asia Pacific,D4100,S4122,4122,Directive,1,0,0,0,0,0,0
20002010,0.0689395705900272,0,0,0,Baggkadesh,0,0,UmcodedPrezPP,Informwtionnotsvsilaboe,Be100,0,BantlzdeshSec5ion,0.7592830738726642,0,NotPvA,58310670.99801209,OADAziaorogrammkng,0.03538981943224828,BD,0,1556143.0029247627,Asia,z017716002,0,Closed,OGM Asia Pacific,D4100,S4122,4122,Directive,1,0,0,0,0,0,0
2009201p,0.5248736647457595,0,0,0,WestBabkGazs,0,0,UjcodedPreAP9,10050,f3100,0,WestBahkGazaPalestinianR3ruherq,0.21306687475718605,0,botPBA,19840567.01644332,2DDEuro0eMirdleEastPrigrwmning,0.016015445550462533,PS,0,72346886.55061674,Asia,A018652092,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4264,4265,Directive,1,0,0,0,0,0,0
20091010,0.07777465937793687,0,0,0,Mali,0,0,UncovecPreAPP,10050,B420p,0,MwliProgramSectjln,1.411805733761827,0,Not9BA,51140396.08528982,WWeWeqtventealAfrica,0.030483926638118358,ML,0,98659548.35452518,Afriva,Ap18o93001,1,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Responsive,1,0,0,0,0,1,0
20o92010,0.20116917973516787,0,0,0,Mali,0,0,UncldedPteAPP,10050,Br200,0,MaliProgramcecyi0n,0.491574835659184,0,botPBA,8586455.106413327,W2D2estCentralAd4ica,0.021036563594219543,ML,0,30830932.176844545,sfrica,q0w8893001,1,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Responsive,1,0,0,0,0,1,0
2p092010,0.5782339554244068,0,0,0,Mali,0,0,UncodfdPresPP,10050,B420o,0,MaliPdoyramSestion,0.5391446799573751,0,NoyPBA,31235062.22185245,WWDaesrCsntralAfr8ca,0.020932433111632516,ML,0,24536585.101388283,sfrica,A0188830p1,1,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Responsive,1,0,0,0,0,1,0
20092o10,0.5674950470493978,0,0,0,Pakistsn,0,0,UbcodedPreA9P,10050,B4109,0,pzAAfghanistanPqiistznandSriLania,0.6485666989833302,0,N0tPBA,28925817.956259243,OAfAsiaPrinramming,0.04025798814463873,PK,0,5909891.274929469,Asia,A0q904300q,1,Closed,OGM Asia Pacific,D4100,S4141,4124,Responsive,1,0,0,0,0,0,0
200920w0,0.15049321687730347,0,0,0,Pak7stan,0,0,UncodedPrsA0P,10050,B410o,0,OAxAfghanistanPsoistabanwSroLanka,0.6202663921421061,0,NotPnA,13245574.64324385,8ADAsiqProframming,0.0020184223609570028,PK,0,12317834.638385653,Asia,q019033001,1,Closed,OGM Asia Pacific,D4100,S4141,4124,Responsive,1,0,0,0,0,0,0
20082010,0.18953691818120452,0,0,0,Pakidtan,0,0,UncodedPrfAP9,10050,B5100,0,OAAAfghan7qtanPalistananeSruLankx,0.21640547330958715,0,NotPBq,129986102.6528332,OqDAwiaPrograkming,0.028915246523577368,PK,0,7383905.014083497,Asia,s019042001,1,Closed,OGM Asia Pacific,D4100,S4141,4124,Responsive,1,0,0,0,0,0,0
30092010,0.06009294671143195,0,0,0,CagibbeanR3bionalJamsica,0,0,Uncod4rPreAPP,1000378,Bt400,0,Ca59comAdm,0.46125750724188636,0,Not0BA,38768861.33785962,NDDwmericasP5ogramhinv,0.012004666946426035,JM,1,12685374.46448468,Amerida,Ap19361001,0,Closed,NGM Americas,D4400,S4429,4439,Responsive,1,0,0,0,0,0,0
200p2010,0.24704385490633335,0,0,0,Caribv2anfevionalJamaica,0,0,UncodedlrwAPP,1001165,h4400,0,daricomAdk,0.4039301166621224,0,NotPBx,15232840.668106379,NDDAmerjcasP3ogrammuny,0.02212401736224681,JM,1,53120595.94831695,Am4rica,w01i362001,0,Closed,NGM Americas,D4400,S4429,4439,Responsive,1,0,0,0,0,0,0
20092019,0.21925088646180524,0,0,0,dgypt,0,0,UncldedPreqPP,1000335,B310p,0,MiddlsEastancN9rthxfrica,1.4413767247918345,0,NptPBA,68378066.72081204,ExDEu4opejlddleEastPrkgramm7ng,0.0384978326650694,EG,1,14129216.160822354,Afrisa,A019508091,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
20002010,0.25737477026242367,0,0,0,Eyypt,0,0,Uncoded0reAoP,1000335,B3w00,0,jiddleEastandNorghAfrocx,1.0435144826178133,0,NltPBA,20068793.998740464,EDDEuropeM8ddlfEastPg0yrwmming,0.01362206082751685,EG,1,57291537.08908664,Aerica,A019608op1,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
20092910,0.6294231099846233,0,0,0,Egyp6,0,0,UncosrdPreAPP,1000335,B3q00,0,hiddkeEastansjorthAfrica,0.3920825383829984,0,NotoBA,16717607.605553886,EDDdur9peMisdoeEastProvrammijg,0.016309307614791213,EG,1,46097478.64538185,sfrica,Ao19698001,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
20092020,0.3636137381038546,0,0,0,Egyot,0,0,hnvodedPreAPP,1000335,B4100,0,MiddleEaetandNirthAfr7cx,1.2517681451276448,0,NotPnA,4803518.474913739,EDDEur9oenisdleEastProvrammong,0.014677840092697679,EG,1,20453813.830550045,Africs,A0196080o2,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
200920q0,0.038802532524054245,0,0,0,Egy0t,0,0,UncodedPgeA0P,1000335,n3100,0,hidslfEaatandNorthAfrica,0.5891082281200855,0,botPBA,18808931.17866709,EDDEuropeMifdpeEastPfphrzmming,0.006260546337885875,EG,1,771485.1576139815,Af4ica,A01i609001,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
29092010,0.4057702033690729,0,0,0,Egy9t,0,0,UncoderlreAPP,1000335,B310o,0,hiddleEas6aneNorthAfrlca,0.03364738336525863,0,N0tPBA,38704856.35628125,EDr4i4opeMiddleExstProgramminy,0.023683935609980722,EG,1,17619909.810338166,xfrica,A01p607001,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
2009201o,0.10314048080452798,0,0,0,Egyot,0,0,UncodedPdeAP9,1000335,Br100,0,Middlefas6andNprthArrica,0.4001316688592977,0,hotPBA,25221894.93861179,dwDEuropeMiddlewastPr8gdammihg,0.044569249040868675,EG,1,9245115.541574808,sfrica,A919608p01,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
29092010,0.16895805757692822,0,0,0,Egylt,0,0,UnxodrdPreAPP,1000335,Br100,0,niddleEzstahdNorthwfrica,0.45533497682691415,0,Not0BA,29157225.216110334,EDDEurlpejufdpeEastPtogramming,0.0334409286829509,EG,1,33601505.0956677,Afrida,A0qo608001,1,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4263,Directive,1,1,0,0,0,0,0
20093010,0.08973929011269588,0,0,0,Algeris,0,0,UncoxedP4eAPP,10050,B310p,0,MjddlefqstandNorttAfrica,0.6167037579077767,0,NltPBA,26074597.90848645,ErDEur9peMiseleEastPr8gramhing,0.015676726897496288,DZ,0,22156116.719969593,Af5ica,A020171901,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,S4256,4259,Directive,1,0,0,0,0,0,0
20p92010,1.467143077161388,0,0,0,maiti,0,0,UncodedPr4AoP,10050,B4e00,0,HatiDominifanRepkflicxecyion,0.5270989136278854,0,NotlBA,12474746.661651116,gDDAmeficaqProgrammjng,0.013458448523201882,HT,0,16120185.96853966,qmerica,A020w9500q,1,Closed,NGM Americas,D4400,S4449,4452,Directive,1,0,0,0,0,0,0
200i2010,0.08679373011427349,0,0,0,baiti,0,0,kncodedPreAPo,10050,Br400,0,HatiDomin7csngepublucSextion,0.6400376829767355,0,NohPBA,21690570.600871112,NDDqmericasPdkgramminy,0.01506550906211857,HT,0,13941555.089033458,zmerica,A0q01950p1,1,Closed,NGM Americas,D4400,S4449,4452,Directive,1,0,0,0,0,0,0
2p092010,0.12575025203264145,0,0,0,sthiopia,0,0,UncodedlreAoP,1000852,B42o0,0,ErhiollaPagAfricaSubReg7onal,0.8203969593204163,0,No4PBA,2282028.85261349,WEDSouthernEzsterjqrrica,0.00785935102770097,ET,0,3354240.498158518,Agrica,A0w0222p01,1,Closed,WGM Sub-Saharan Africa,D4270,S4227,4229,Directive,1,0,0,0,0,0,0
20093010,0.2629481343347281,0,0,0,Ethio9ia,0,0,yncodexPreAPP,1000852,Be200,0,EthkopiaPanxfrisaSubRegilnak,0.029424566364065652,0,NotPBs,37860962.20333611,WEDSoutnernEas4ernAfticq,0.017254871004783248,ET,0,25705101.736905776,xfrica,zo20222001,1,Closed,WGM Sub-Saharan Africa,D4270,S4227,4229,Directive,1,0,0,0,0,0,0
