fsclr,rgnlprgrm(mrkr),prjctbrwsrcntrd,cntrrgnd,cdbsnssdlvrmdl(ld),fndcntrd,mntspnt,sctnd,dsrtfctn(mrkr),prjctnmbr,nvrmntlsstnblt(mrkr),prtcptrdvlpmntndgdgvrnnc,dsbltsss(mrkr),rgnstnnm,cntnntd,bdvrst(mrkr),rbnsss(mrkr),chldrnsss(mrkr),thsss(mrkr),ndgnssss(mrkr),ctstlfrdvlpmnt(mrkr),knwldgfrdvlpmnt(mrkr),gndrqlt(mrkr),rgnstnd,rgnstntp,rgnstnclss,rgnstnsb-clss,cntnntnm,cntrrgnnm,cntrrgnprcnt,sctrd,sctrnm,sctrprcnt
2009/2010,0,X3,X3,Core Funding,5291,75768.0,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,3,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia,Asia MC,0.22,33140,Multilateral trade negotiations,0.14
2009/2010,0,X3,X3,Core Funding,5291,273306.0,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,3,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia,Asia MC,0.22,99810,Sectors not specified,0.505
2009/2010,0,X4,X4,Core Funding,5291,210969.6,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,5,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.32,12191,Medical services,0.268
2009/2010,0,X4,X4,Core Funding,5291,36998.4,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,5,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.32,14015,Water resources conservation (including data collection),0.047
2009/2010,0,X4,X4,Core Funding,5291,31488.0,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,5,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.32,23510,Nuclear energy electric power plants,0.04
2009/2010,0,X4,X4,Core Funding,5291,110208.0,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,5,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.32,33140,Multilateral trade negotiations,0.14
2009/2010,0,X4,X4,Core Funding,5291,397536.0,S5602,0,M013170001,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,5,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.32,99810,Sectors not specified,0.505
2009/2010,0,SV,SV,Responsive,5303,300000.0,S5320,0,M013171001,0,0,0,PAHO - Pan American Health Organization,1,0,0,0,0,0,0,0,0,1001300,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,America,El Salvador,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,X1,X1,Core Funding,5311,1500000.0,S5330,0,M013172001,0,0,0,ICRC Appeals via CRCS,2,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Africa,Africa MC,0.5,72010,Material relief assistance and services,1.0
2009/2010,0,X2,X2,Core Funding,5311,450000.0,S5330,0,M013172001,0,0,0,ICRC Appeals via CRCS,1,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,America,Americas MC,0.15,72010,Material relief assistance and services,1.0
