Fiscal year,Biodiversity (marker),Bilateral aid (international marker),Regional program (marker),PBA type,Section name,FSTC percent,Climate change mitigation (marker),Organisation type,Branch name,Organisation sub-class,CountryRegion ID,Status,Amount spent,Continent ID,Urban issues (marker),Children issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation name,Organisation class,Continent name,Project Browser country ID,CountryRegion name,CountryRegion percent,Sector ID,Sector name,Sector percent
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X3,Closed,75768.0,3,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Asia,X3,Asia MC,0.22,33140,Multilateral trade negotiations,0.14
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X3,Closed,273306.0,3,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Asia,X3,Asia MC,0.22,99810,Sectors not specified,0.505
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,210969.6,5,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,Europe MC,0.32,12191,Medical services,0.268
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,36998.4,5,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,Europe MC,0.32,14015,Water resources conservation (including data collection),0.047
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,31488.0,5,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,Europe MC,0.32,23510,Nuclear energy electric power plants,0.04
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,110208.0,5,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,Europe MC,0.32,33140,Multilateral trade negotiations,0.14
2009/2010,0,0,0,Not PBA,MIO United Nations,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,397536.0,5,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,Europe MC,0.32,99810,Sectors not specified,0.505
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,REGIONAL ORGANIZATION,SV,Closed,300000.0,1,0,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Multilateral,America,SV,El Salvador,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X1,Terminating,1500000.0,2,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Africa,X1,Africa MC,0.5,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X2,Terminating,450000.0,1,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,America,X2,Americas MC,0.15,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X3,Terminating,900000.0,3,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,Asia MC,0.3,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X4,Terminating,150000.0,5,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Europe,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X1,Terminating,1500000.0,2,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Africa,X1,Africa MC,0.5,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X2,Terminating,450000.0,1,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,America,X2,Americas MC,0.15,72010,Material relief assistance and services,1.0
