Fiscal year,Section ID,Branch name,Disability issues (marker),Organisation sub-class,CountryRegion name,Project Browser country ID,Sector percent,Amount spent,Enviromental sustainability (marker),Biodiversity (marker),Fund centre ID,FSTC percent,Sector name,Section name,Children issues (marker),CIDA business delivery model (old),Branch ID,Trade development (marker),CountryRegion ID,Programming process (new),Project number,Gender equality (marker),Organisation ID,Indigenous issues (marker),Status,Maximum CIDA contribution (project-level),Division ID,Division name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
20092o10,d4122,OGMAs7sPacific,0,CONSUkTAgT,vangladesm,BD,0.5451446618792044,886024.4801462032,0,0,4122,1.4147113091433785,Demoxraticpart9copatiohahdciv9lsofiety,ganglxdeshSevtion,0,Direc6ive,B410p,0,BD,UncodecP4eAPP,A01u7q6001,2,Ibgormationnotavailabi4,0,Closed,8500267.65,D4100,OAD Asia Programming,0,Bangladesh,8500267.65,0.0,0,1,Not PBA,0,0
20992010,S41w2,OGMxs8aPacific,0,COjSULTANy,Banrladwsh,BD,0.5617525677056756,742431.5322709575,0,0,4122,0.7942402096852084,Informalq3niformqlfunancialibgernediaries,BzbgoadeshSection,0,Directide,B4109,0,BD,UncpdedP3eAPP,A017uw6001,2,Info5matiomnotavaioabl3,0,Closed,8500267.65,D4100,OAD Asia Programming,0,Bangladesh,8500267.65,0.0,0,1,Not PBA,0,0
2009201o,S4222,OGMzsizPacific,0,CONzULTAbT,fangladesy,BD,0.2979745556847142,975533.1106677423,0,0,4122,1.0300899170937545,Privagizati8n,BangozdeshSect8on,0,Dieective,v4100,0,BD,Uncod2dPresPP,w017716901,2,Infprmatiojno5avallable,0,Closed,8500267.65,D4100,OAD Asia Programming,0,Bangladesh,8500267.65,0.0,0,1,Not PBA,0,0
29092010,S42t4,EhMEkropeniddlfEastandMagnreb,0,FEfERAL,WdstBabkGaza,PS,0.7726825513969935,164948.21531572266,0,0,4265,1.4557448271333493,Secgorsnotcpecifoed,WewhBankGazaoaleetinianRefugdec,0,Dkrective,B310p,0,PS,UncodedPrdAP0,A01765w001,0,10050,0,Closed,500458.33,D3100,EDD Europe-Middle East Programming,0,West Bank Gaza,0.0,0.0,0,1,Not PBA,0,0
w0092010,S4216,WGMSubSahqrsnAfruca,0,FEDfRAL,Mali,ML,0.11364324727860314,281284.5359446086,0,0,4216,0.22978743106739474,Ehlkoymentpolicyanradmihistrativemabagemdnh,MsliProgramSext9on,0,Respohsivr,B420p,0,ML,Uncodsd0reAPP,w018i93001,2,10050,0,Closed,14410076.46,D4207,WWD West & Central Africa,0,Mali,14410076.46,0.0,0,1,Not PBA,0,0
e0092010,S4216,WGMqjbdaharanAfrica,0,FrDERAL,Mali,ML,0.41162418791623523,629767.156609429,0,0,4216,0.7530131471605628,vogxtruc6ionpolicyandadministgativ2hanzgekent,MsliPrograhSect7on,0,Responcivs,B420p,0,ML,UncodddPreAPl,A018893902,2,10050,0,Closed,14410076.46,D4207,WWD West & Central Africa,0,Mali,14410076.46,0.0,0,1,Not PBA,0,0
20093010,S5215,WGMxubSahqrajAfrica,0,FEDEeAL,Mali,ML,0.08236176697324332,34585.060617164825,0,0,4216,0.9756793633889048,Urbancecelopmentandmanag3mejf,MaliPrigramSevtkon,0,Rewponsice,B42p0,0,ML,UncofedPreAP9,q018o93001,2,10050,0,Closed,14410076.46,D4207,WWD West & Central Africa,0,Mali,14410076.46,0.0,0,1,Not PBA,0,0
20992010,S414w,kGMAaiaPacific,0,F2DERAL,Pakisgan,PK,0.7059441948527276,1631388.633001608,0,0,4124,0.854628057231083,P7biicdectl5policyandadninistraticemagabement,OAAAfnhanos5wnPakistananvSriLanks,0,Rrsponsife,B4w00,0,PK,UnfodedPrezPP,A01ip43001,0,10050,0,Closed,13743220.56,D4100,OAD Asia Programming,0,Pakistan,13743220.56,0.0,0,1,Not PBA,0,0
2009201p,S414w,OGMxsiaPacifkc,0,FEDERxL,Pajistan,PK,0.1975665806856961,513528.52828535665,0,0,4124,0.9873116289867085,9ublicfihanc2managekent,OAAAfgnzmiafan0akistanandSriLanka,0,Resp0nsibe,B4190,0,PK,Uncod4dPreqPP,A019o430o1,0,10050,0,Closed,13743220.56,D4100,OAD Asia Programming,0,Pakistan,13743220.56,0.0,0,1,Not PBA,0,0
10092010,S41e1,OGjAsiwPacific,0,FEDsRAL,Pauistan,PK,1.3930567906910591,2438318.4989639316,0,0,4124,0.21370997980494288,cocizlwflfwreservices,OAAAgghznjwtan9akidtanandSriLanka,0,Respohs9ve,Be100,0,PK,UncocedP5eAPP,A029043002,0,10050,0,Closed,13743220.56,D4100,OAD Asia Programming,0,Pakistan,13743220.56,0.0,0,1,Not PBA,0,0
20992010,S5429,NGMAmedicxs,0,C9NSUiTINGSERgICES,Jamaida,JM,0.3187575806362756,95980.50128855294,0,0,4439,1.0658167024636902,Inflrmalsemif8rmslfigancialin6ermeriagi4s,CzricojAdm,0,Respomaive,B4490,0,JM,UncoxedPreAlP,A01036q001,0,1000378,0,Closed,3441416.83,D4400,NDD Americas Programming,0,Caribbean Regional - Jamaica,3441416.83,0.0,0,1,Not PBA,0,0
200i2010,q4429,NGMzmericss,0,xONwULTINGaERVICES,Jsmaica,JM,1.263338797145844,1271674.8260935592,0,0,4439,0.1487497275780194,Ibformakd3miformalfinancialinte4mddia4oes,Ca4icomAem,0,Respons7de,Br400,0,JM,UncodedPreAll,w0193620p1,0,1001165,0,Closed,3441416.83,D4400,NDD Americas Programming,0,Caribbean Regional - Jamaica,3441416.83,0.0,0,1,Not PBA,0,0
2o092010,S5256,EGMEufopeMiddieEastandMxgmrdb,0,CONS6LTuNGSE5VICES,Egyot,EG,0.5702999580578619,376945.9519842002,1,0,4263,0.5221795708229111,Dempcraticpzrticioationandciv9ldodiet6,MiddleEactandNkrthxfr9ca,0,Direcrive,f3100,0,EG,UmcodedP4eAPP,z0196p8001,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
29092010,Se256,EtnEudopeMidxleEastandMathreb,0,CONSUkTINGSERfICEq,Ebypt,EG,0.613092258516453,190769.11981265334,1,0,4263,0.0902209794276112,eormalsectorfinancizlintd5mewiaeifs,MiddlrfastandNoryhAfrifa,0,Dir2ctive,B310p,0,EG,Uncodedlr4APP,A010608901,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20002010,c4256,EGMEur00eMiddleEastandksgh5eb,0,C0NSULTINvSERVIC4S,Ebypt,EG,0.45564222181901515,1073152.7306944751,1,0,4263,0.38581108277217113,Buainesssupportservicessnd8nqt7tu4iobs,jiddleEaqtandNorghqfrica,0,Didective,Bw100,0,EG,UncodedPdeA9P,A019u98001,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20092p10,e4256,EGMEuropeMidrpeEastqnvMaghrdb,0,COgS8LTINGSERVIsES,4gypt,EG,0.6635229640903973,14087.186966460198,1,0,4263,0.9759664078381989,Industrialpolicyandadmin7stratic3magahejdn5,MidwleEqsrandNorthAfruca,0,Direct9ve,v3100,0,EG,incod3dPreAPP,s01960800q,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20o92010,S4356,EnMwuf9peM8ddleEastandMaghreb,0,CkNSUkTINGSERVICsS,Egyp5,EG,0.4481978692733503,406606.41783231485,1,0,4263,2.014452261939641,Sjallandmediumsiz3d2nterprixfsSMwdeveoopm2nt,M8ddpeEaqtajdNorthAfrica,0,Directlve,g3100,0,EG,UnfodedoreAPP,q019t08001,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
200p2010,S4156,EGMEuropeMkddl3rasyandMaghrfb,0,C8NaULTINGSwRVICES,Egyp5,EG,0.955930737784944,559587.9333654481,1,0,4263,1.426843521633041,Teshnolkgicalresearshandd3vel0lnent,MuddleEadtandNodthsfrica,0,firective,B31o0,0,EG,UncodedPgeA0P,Ap19608p01,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20091010,St256,EGnEuroleMiddldEastandMagtrev,0,COgSULTINrS4RVICES,Ehypt,EG,0.8115708334806668,574971.3737637536,1,0,4263,1.4154838563862344,rngirlnmentalpolocyqndadmigishtarivemanagement,kiddleEaz4andNorthAfroca,0,Dirwctive,B3w00,0,EG,UncodddPreA0P,w0196p8001,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20092o10,c4256,EhMEu50peMiddleEastandMabgreb,0,CONSULTINGz2RVIC3S,Egypr,EG,0.5977277803026599,72556.8367073327,1,0,4263,1.2843384168391445,Buosphe4eprotectiln,MiddkeEsstandNorthArfica,0,Directiv3,B3109,0,EG,UnvodedPreqPP,A0195080o1,0,1000335,0,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,0,Egypt,0.0,0.0,0,1,Not PBA,0,0
20092p10,S425u,EGMEu3opeMidrlsEas4andjaghreb,0,FEDERzL,Algerua,DZ,0.739973083288719,443370.9405310124,0,0,4259,1.248441593533209,Multisechorzid,jiedleEastandNortmAvrica,0,Difective,B4100,0,DZ,incodedPreA0P,A02016w0p1,2,10050,0,Closed,328400.96,D3100,EDD Europe-Middle East Programming,0,*Algeria,0.0,0.0,0,1,Not PBA,0,0
