FisY,Sta,KnoFDevelo,PrNu,CliChaMiti,OrgN,GeEqu,CFLI,DiID,RegProg,CouRegPe,EnvSust,SectID,FSTCPer,OrgCl,OrganiTy,CouRegID,ICTAATFDev,BrN,ContiID,SeID,BilatAiMar,AmoSp,ContNa,YoIs,ProgrPro,SectNa,SecPer,BrID,CouRegNa,PartDevAnGoGov,CliChAdap,IndiIs,DisaIs,OrganiS,Deser,TraDevel,Biod,UrbIs,ChiIss,OrganiID,ProBroCounID,SecN
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.22,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X3,1,MFM Global Issues and Development,3,33140,0,75768.0,Asia,0,Uncoded: Pre-APP,MIO United Nations,0.14,B5100,Asia MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X3,Multilateral trade negotiations
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.22,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X3,1,MFM Global Issues and Development,3,99810,0,273306.0,Asia,0,Uncoded: Pre-APP,MIO United Nations,0.505,B5100,Asia MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X3,Sectors not specified
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.32,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X4,1,MFM Global Issues and Development,5,12191,0,210969.6,Europe,0,Uncoded: Pre-APP,MIO United Nations,0.268,B5100,Europe MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X4,Medical services
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.32,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X4,1,MFM Global Issues and Development,5,14015,0,36998.4,Europe,0,Uncoded: Pre-APP,MIO United Nations,0.047,B5100,Europe MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X4,Water resources conservation (including data collection)
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.32,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X4,1,MFM Global Issues and Development,5,23510,0,31488.0,Europe,0,Uncoded: Pre-APP,MIO United Nations,0.04,B5100,Europe MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X4,Nuclear energy electric power plants
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.32,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X4,1,MFM Global Issues and Development,5,33140,0,110208.0,Europe,0,Uncoded: Pre-APP,MIO United Nations,0.14,B5100,Europe MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X4,Multilateral trade negotiations
2009/2010,Closed,1,M013170001,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,0,D5600,0,0.32,1,S5602,0.0,Multilateral,Foreign Non-Profit Making,X4,1,MFM Global Issues and Development,5,99810,0,397536.0,Europe,0,Uncoded: Pre-APP,MIO United Nations,0.505,B5100,Europe MC,1,0,0,0,UNITED NATIONS,0,0,0,0,0,1005967,X4,Sectors not specified
2009/2010,Closed,0,M013171001,0,PAHO - Pan American Health Organization,0,0,D5301,0,1.0,0,S5320,0.0,Multilateral,Foreign Non-Profit Making,SV,0,MFM Global Issues and Development,1,72010,1,300000.0,America,0,Uncoded: Pre-APP,MHI International Humanitarian Assis ops,1.0,B5100,El Salvador,0,0,0,0,REGIONAL ORGANIZATION,0,0,0,0,0,1001300,SV,Material relief assistance and services
2009/2010,Terminating,0,M013172001,0,ICRC Appeals via CRCS,1,0,D5301,0,0.5,0,S5330,0.0,Civil Society,Canadian Non-Profit Making,X1,0,MFM Global Issues and Development,2,72010,1,1500000.0,Africa,0,Uncoded: Pre-APP,MHO Huma Organization & Food Assistance,1.0,B5100,Africa MC,0,0,0,0,INTERNATIONAL NGO,0,0,0,0,0,1014663,X1,Material relief assistance and services
2009/2010,Terminating,0,M013172001,0,ICRC Appeals via CRCS,1,0,D5301,0,0.15,0,S5330,0.0,Civil Society,Canadian Non-Profit Making,X2,0,MFM Global Issues and Development,1,72010,1,450000.0,America,0,Uncoded: Pre-APP,MHO Huma Organization & Food Assistance,1.0,B5100,Americas MC,0,0,0,0,INTERNATIONAL NGO,0,0,0,0,0,1014663,X2,Material relief assistance and services
