Fiscal year,Gender equality (marker),Sector ID,Regional program (marker),Project Browser country ID,Project number,Sector name,Biodiversity (marker),Organisation class,Untied amount(Project-level budget),Section name,Maximum CIDA contribution (project-level),Children issues (marker),Enviromental sustainability (marker),ICT as a tool for development (marker),Amount spent,Section ID,Sector percent,Branch ID,Fund centre ID,Fund centre name,Status,IRTC percent,Division ID,Youth issues (marker),FSTC percent,Knowledge for development (marker),Trade development (marker),CFLI (marker),Indigenous issues (marker),CountryRegion ID,Programming process (new),Participatory development and good governance,Urban issues (marker),Continent name,Disability issues (marker),Organisation ID,Organisation name,Organisation type,Organisation sub-class,Continent ID,CountryRegion name,CountryRegion percent
2009/2010,0,33140,0,X3,M013170001,Multilateral trade negotiations,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,75768.0,S5602,0.14,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X3,Uncoded: Pre-APP,1,0,Asia,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,3,Asia MC,0.22
2009/2010,0,99810,0,X3,M013170001,Sectors not specified,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,273306.0,S5602,0.505,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X3,Uncoded: Pre-APP,1,0,Asia,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,3,Asia MC,0.22
2009/2010,0,12191,0,X4,M013170001,Medical services,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,210969.6,S5602,0.268,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.32
2009/2010,0,14015,0,X4,M013170001,Water resources conservation (including data collection),0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,36998.4,S5602,0.047,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.32
2009/2010,0,23510,0,X4,M013170001,Nuclear energy electric power plants,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,31488.0,S5602,0.04,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.32
2009/2010,0,33140,0,X4,M013170001,Multilateral trade negotiations,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,110208.0,S5602,0.14,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.32
2009/2010,0,99810,0,X4,M013170001,Sectors not specified,0,Multilateral,2460000.0,MIO United Nations,2460000.0,0,1,1,397536.0,S5602,0.505,B5100,5291,UN - CORE,Closed,0.0,D5600,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.32
2009/2010,0,72010,0,SV,M013171001,Material relief assistance and services,0,Multilateral,300000.0,MHI International Humanitarian Assis ops,300000.0,0,0,0,300000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,SV,Uncoded: Pre-APP,0,0,America,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,REGIONAL ORGANIZATION,1,El Salvador,1.0
2009/2010,1,72010,0,X1,M013172001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,1500000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X1,Uncoded: Pre-APP,0,0,Africa,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,2,Africa MC,0.5
2009/2010,1,72010,0,X2,M013172001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,450000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X2,Uncoded: Pre-APP,0,0,America,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,1,Americas MC,0.15
2009/2010,1,72010,0,X3,M013172001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,900000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia MC,0.3
2009/2010,1,72010,0,X4,M013172001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,150000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X4,Uncoded: Pre-APP,0,0,Europe,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,5,Europe MC,0.05
2009/2010,1,72010,0,X1,M013173001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,1500000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X1,Uncoded: Pre-APP,0,0,Africa,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,2,Africa MC,0.5
2009/2010,1,72010,0,X2,M013173001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,450000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X2,Uncoded: Pre-APP,0,0,America,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,1,Americas MC,0.15
2009/2010,1,72010,0,X3,M013173001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,900000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia MC,0.3
2009/2010,1,72010,0,X4,M013173001,Material relief assistance and services,0,Civil Society,3000000.0,MHO Huma Organization & Food Assistance,3000000.0,0,0,0,150000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Terminating,0.0,D5301,0,0.0,0,0,0,0,X4,Uncoded: Pre-APP,0,0,Europe,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,5,Europe MC,0.05
2009/2010,0,72010,0,LK,M013174001,Material relief assistance and services,0,Civil Society,500000.0,MHI International Humanitarian Assis ops,500000.0,0,1,0,500000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,LK,Uncoded: Pre-APP,0,0,Asia,0,1015332,Mines Advisory Group,Foreign Non-Profit Making,NGO,3,Sri Lanka,1.0
2009/2010,0,72010,0,LK,M013175001,Material relief assistance and services,0,Civil Society,500000.0,MHI International Humanitarian Assis ops,500000.0,0,1,0,500000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,LK,Uncoded: Pre-APP,0,0,Asia,0,1015331,The Halo Trust,Foreign Non-Profit Making,NGO,3,Sri Lanka,1.0
2009/2010,0,72050,0,X1,M013176001,Relief co-ordination; protection and support services,0,Civil Society,600000.0,MHO Huma Organization & Food Assistance,600000.0,0,1,0,150000.0,S5330,1.0,B5100,5230,MHO Inst Strengtherning,Closed,0.0,D5301,0,0.0,1,0,0,0,X1,Uncoded: Pre-APP,1,0,Africa,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,2,Africa MC,0.5
2009/2010,0,72050,0,X2,M013176001,Relief co-ordination; protection and support services,0,Civil Society,600000.0,MHO Huma Organization & Food Assistance,600000.0,0,1,0,30000.0,S5330,1.0,B5100,5230,MHO Inst Strengtherning,Closed,0.0,D5301,0,0.0,1,0,0,0,X2,Uncoded: Pre-APP,1,0,America,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,1,Americas MC,0.1
